순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
"

35.  
",Do it! 알고리즘 코딩 테스트 - 자바 편,김종관 (지은이) , 이지스퍼블리싱 (주) , 2022년 4월,4.0,좋은 부모,컴퓨터/인터넷,22000
"

36.  
",이것이 자바다,신용권 (지은이) , 한빛미디어 , 2022년 9월,4.5,좋은 부모,컴퓨터/인터넷,25920
"

37.  
",도메인 주도 개발 시작하기,최범균 (지은이) , 한빛미디어 , 2022년 4월,5.0,좋은 부모,컴퓨터/인터넷,20160
"

38.  
","눈치껏 못 배웁니다, 일센스",공여사들 (지은이) , 21세기북스 , 2021년 5월,5.0,좋은 부모,컴퓨터/인터넷,12800
"

39.  
",Do it! Vue.js 입문,장기효 (지은이) , 이지스퍼블리싱 , 2018년 2월,4.5,좋은 부모,컴퓨터/인터넷,10500
"

40.  
",Real MySQL 8.0 2,"이성욱, 백은빈 (지은이) ", 위키북스 , 2021년 12월,4.0,좋은 부모,컴퓨터/인터넷,24000
"

41.  
",UX/UI 디자이너를 위한 실무 피그마,클레어 정 (지은이) , 한빛미디어 , 2022년 11월,5.0,좋은 부모,컴퓨터/인터넷,18720
"

42.  
",Do it! 조코딩의 프로그래밍 입문,"김형태, 조동근(조코딩) (지은이) ", 이지스퍼블리싱 (주) , 2022년 7월,5.0,좋은 부모,컴퓨터/인터넷,12000
"

43.  
",소프트웨어 아키텍처 101,"마크 리처즈, 닐 포드 (지은이), 이일웅 (옮긴이) ", 한빛미디어 , 2021년 11월,5.0,좋은 부모,컴퓨터/인터넷,23040
"

44.  
",도커 교과서,"엘튼 스톤맨 (지은이), 심효섭 (옮긴이) ", 길벗 , 2022년 8월,5.0,좋은 부모,컴퓨터/인터넷,28800
"

45.  
","좋은 코드, 나쁜 코드","톰 롱 (지은이), 차건회 (옮긴이) ", 제이펍 , 2022년 9월,5.0,좋은 부모,컴퓨터/인터넷,21000
"

46.  
",된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) , 2022년 1월,5.0,좋은 부모,컴퓨터/인터넷,12000
