,알라딘_순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
366,"

67.  
",우리는 모두 조금은 이상한 것을 믿는다,"대니얼 록스턴, 니콜라 고브리트 (지은이), 스켑틱 협회 편집부 (엮은이) ", 바다출판사 , 2022년 9월,4.5,과학,자연/과학,"12,800"
367,"

68.  
",최종 경고 : 6도의 멸종,"마크 라이너스 (지은이), 김아림 (옮긴이) ", 세종(세종서적) , 2022년 7월,5.0,과학,자연/과학,"14,000"
368,"

69.  
",프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) , 2022년 2월,5.0,과학,자연/과학,"35,000"
369,"

70.  
",지구의 짧은 역사,"앤드루 H. 놀 (지은이), 이한음 (옮긴이) ", 다산사이언스 , 2021년 10월,4.5,과학,자연/과학,"12,600"
370,"

71.  
",지구를 구할 여자들,"카트리네 마르살 (지은이), 김하현 (옮긴이) ", 부키 , 2022년 9월,5.0,과학,자연/과학,"12,500"
371,"

72.  
",에덴의 용,"칼 세이건 (지은이), 임지원 (옮긴이) ", 사이언스북스 , 2017년 9월,4.5,과학,자연/과학,"12,800"
372,"

73.  
",가까운 사람이 자기애성 성격 장애일 때,"우도 라우흐플라이슈 (지은이), 장혜경 (옮긴이) ", 심심 , 2021년 3월,4.5,과학,자연/과학,"13,500"
373,"

74.  
",호르몬과 건강의 비밀,요하네스 뷔머 (지은이) , 현대지성 , 2020년 12월,5.0,과학,자연/과학,"9,000"
374,"

75.  
",개미와 공작,"헬레나 크로닌 (지은이), 홍승효 (옮긴이) ", 사이언스북스 , 2017년 3월,3.5,과학,자연/과학,"28,000"
375,"

76.  
",10대 놀라운 뇌 불안한 뇌 아픈 뇌,김붕년 (지은이) , (주)대성 , 2021년 8월,5.0,과학,자연/과학,"9,400"
376,"

77.  
",프로그래머를 위한 확률과 통계,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 , 2019년 6월,5.0,과학,자연/과학,"25,600"
377,"

78.  
",작은 것들이 만든 거대한 세계,"멀린 셸드레이크 (지은이), 김은영 (옮긴이), 홍승범 (감수) ", 아날로그(글담) , 2021년 5월,5.0,과학,자연/과학,"14,000"
378,"

79.  
",해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) , 2021년 7월,0.0,과학,자연/과학,"26,000"
379,"

80.  
",콘택트 1,"칼 세이건 (지은이), 이상원 (옮긴이) ", 사이언스북스 , 2019년 8월,4.5,과학,자연/과학,"8,000"
380,"

81.  
",복잡한 세상을 이기는 수학의 힘,"류쉐펑 (지은이), 이서연 (옮긴이), 김지혜 (감수) ", 미디어숲 , 2023년 1월,5.0,과학,자연/과학,"15,400"
381,"

82.  
",게놈 익스프레스,"조진호 (지은이), 김우재 (감수) ", 위즈덤하우스 , 2016년 8월,4.5,과학,자연/과학,"14,700"
382,"

83.  
",10대의 뇌,"에이미 엘리스 넛 (지은이), 김성훈 (옮긴이) ", 웅진지식하우스 , 2020년 2월,4.5,과학,자연/과학,"12,600"
383,"

84.  
","기억하는 뇌, 망각하는 뇌",이인아 (지은이) , 21세기북스 , 2022년 7월,5.0,과학,자연/과학,"13,600"
384,"

85.  
",죽는 게 참 어렵습니다,"김영화, 김호성, 나경희 (지은이) ", 시사IN북 , 2021년 12월,4.0,과학,자연/과학,"10,400"
385,"

86.  
",나우 : 시간의 물리학,"리처드 뮬러 (지은이), 장종훈, 강형구 (옮긴이) ", 바다출판사 , 2021년 8월,4.0,과학,자연/과학,"18,000"
386,"

87.  
",칼만 필터는 어렵지 않아,김성필 (지은이) , 한빛아카데미(교재) , 2020년 12월,4.5,과학,자연/과학,"26,000"
387,"

88.  
",겸손한 목격자들 : 철새·경락·자폐증·성형의 현장에 연루되다,"임소연, 김연화, 성한아 (지은이) ", 에디토리얼 , 2022년 2월,5.0,과학,자연/과학,"12,000"
388,"

89.  
",다윈 지능,최재천 (지은이) , 사이언스북스 , 2023년 2월,0.0,과학,자연/과학,"16,000"
389,"

90.  
",심리음향학,오세진 (지은이) , 시그마프레스 , 2014년 6월,4.0,과학,자연/과학,"12,000"
390,"

91.  
",신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 , 2022년 5월,0.0,과학,자연/과학,"13,200"
391,"

92.  
",상대성 이론,"알베르트 아인슈타인 (지은이), 장헌영 (옮긴이) ", 지식을만드는지식 , 2012년 9월,4.5,과학,자연/과학,"14,400"
392,"

93.  
",수학보다 데이터 문해력,정성규 (지은이) , EBS BOOKS , 2022년 12월,5.0,과학,자연/과학,"11,900"
393,"

94.  
",위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) , 2022년 12월,5.0,과학,자연/과학,"29,000"
394,"

95.  
",라파엘로가 사랑한 철학자들,김종성 (지은이) , 비제이퍼블릭 , 2023년 2월,5.0,과학,자연/과학,"16,000"
395,"

96.  
",이토록 재밌는 의학 이야기,김은중 (지은이) , 반니 , 2022년 10월,5.0,과학,자연/과학,"17,000"
396,"

97.  
",가상현실과 증강현실의 역사,공병훈 (지은이) , 세계와나 , 2017년 1월,0.0,과학,자연/과학,"3,500"
397,"

98.  
",전지적 건설 엔지니어 시점 : 철근 콘크리트를 사랑하는 일,양동신 (지은이) , 김영사 , 2023년 1월,5.0,과학,자연/과학,"8,510"
398,"

99.  
",동물지,"아리스토텔레스 (지은이), 서경주 (옮긴이), 김대웅 (해설) ", 노마드 , 2023년 2월,0.0,과학,자연/과학,"49,000"
399,"

100.  
",양자 역학이란 무엇인가,"마이클 워커 (지은이), 조진혁 (옮긴이), 이강영 (감수) ", 처음북스 , 2023년 2월,5.0,과학,자연/과학,"18,400"
400,"

1.  
",이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 , 2019년 2월,4.0,대학교재/전문서적,강의지원도서,"14,000"
401,"

2.  
",이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 (지은이) , 한빛미디어 , 2020년 9월,5.0,대학교재/전문서적,강의지원도서,"24,480"
402,"

3.  
",파이썬 알고리즘 인터뷰,"박상길 (지은이), 정진호 (그림) ", 책만 , 2020년 10월,5.0,대학교재/전문서적,강의지원도서,"30,400"
403,"

4.  
",프셉마음 - 산부인과편,정유정 (지은이) , 드림널스 , 2022년 4월,0.0,대학교재/전문서적,강의지원도서,"23,200"
404,"

5.  
",보육교사 장기 미종사자 직무교육,"윤매자, 하수연, 정연옥 (지은이) ", 공동체 , 2022년 12월,0.0,대학교재/전문서적,강의지원도서,"12,000"
405,"

6.  
",Do it! 알고리즘 코딩 테스트 - 자바 편,김종관 (지은이) , 이지스퍼블리싱 (주) , 2022년 4월,4.0,대학교재/전문서적,강의지원도서,"22,000"
406,"

7.  
",이것이 자바다,신용권 (지은이) , 한빛미디어 , 2022년 9월,4.5,대학교재/전문서적,강의지원도서,"25,920"
407,"

8.  
",의존성 성격장애와 회피성 성격장애,"민병배, 남기숙 (지은이) ", 학지사 , 2018년 10월,5.0,대학교재/전문서적,강의지원도서,"7,600"
408,"

9.  
",틸리 서양철학사,"프랭크 틸리 (지은이), 김기찬 (옮긴이) ", 현대지성 , 2020년 3월,4.5,대학교재/전문서적,강의지원도서,"15,500"
409,"

10.  
",ChatGPT와 DALLE2로 인공지능 내맘대로 다루기,초보AI (지은이) , e퍼플 , 2023년 2월,4.0,대학교재/전문서적,강의지원도서,"12,000"
410,"

11.  
",Do it! 점프 투 파이썬 -전면 개정판,박응용 (지은이) , 이지스퍼블리싱 , 2019년 6월,4.5,대학교재/전문서적,강의지원도서,"13,000"
411,"

12.  
",한국전문소생술 4판,대한심폐소생협회 (지은이) , 군자출판사 , 2021년 11월,5.0,대학교재/전문서적,강의지원도서,"10,000"
412,"

13.  
",헤드 퍼스트 디자인 패턴,"케이시 시에라, 버트 베이츠, 엘리자베스 롭슨 (지은이) ", 한빛미디어 , 2022년 4월,5.0,대학교재/전문서적,강의지원도서,"25,920"
413,"

14.  
",비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 , 2022년 8월,5.0,대학교재/전문서적,강의지원도서,"13,000"
414,"

15.  
",프셉마음 - 약물편,"남소희, 허연정 (지은이) ", 드림널스 , 2022년 4월,4.0,대학교재/전문서적,강의지원도서,"20,000"
415,"

16.  
",아동 심리치료 치료계획서,"Arthur E. Jongsma, Jr., L. Mark Peterson, William P. McInnis, Timothy J. Bruce (지은이), 송영혜 (옮긴이) ", 시그마프레스 , 2015년 9월,5.0,대학교재/전문서적,강의지원도서,"16,100"
416,"

17.  
",프셉마음 : 신경과편,신사랑 (지은이) , 드림널스 , 2022년 6월,4.5,대학교재/전문서적,강의지원도서,"23,200"
417,"

18.  
",한국불교미술사,"정은우, 안귀숙, 김리나 (지은이) ", 미진사 , 2021년 7월,5.0,대학교재/전문서적,강의지원도서,"20,000"
418,"

19.  
",그림으로 보는 건설현장의 안전관리,이병수 (지은이) , 성안당 , 2022년 8월,5.0,대학교재/전문서적,강의지원도서,"39,200"
419,"

20.  
",탄소 농업 (미래를 바꾸는),허북구 (지은이) , 중앙생활사 , 2022년 8월,5.0,대학교재/전문서적,강의지원도서,"12,000"
420,"

21.  
",직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 , 2023년 1월,0.0,대학교재/전문서적,강의지원도서,"17,100"
421,"

22.  
",정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) , 2022년 10월,0.0,대학교재/전문서적,강의지원도서,"33,000"
422,"

23.  
",보건의료 관리와 리더십,이종율 (지은이) , 한올출판사 , 2023년 1월,0.0,대학교재/전문서적,강의지원도서,"28,800"
423,"

24.  
",Do it! 자바 프로그래밍 입문,박은종 (지은이) , 이지스퍼블리싱 , 2018년 8월,4.5,대학교재/전문서적,강의지원도서,"16,500"
424,"

25.  
",레트로의 유니티 게임 프로그래밍 에센스,이제민 (지은이) , 한빛미디어 , 2022년 2월,5.0,대학교재/전문서적,강의지원도서,"43,200"
425,"

26.  
",프셉마음 : 혈액검사 해석 및 간호편,"이재왕, 김지희 (지은이) ", 드림널스 , 2022년 9월,5.0,대학교재/전문서적,강의지원도서,"24,000"
426,"

27.  
",데이터베이스 개론,김연희 (지은이) , 한빛아카데미(교재) , 2022년 1월,0.0,대학교재/전문서적,강의지원도서,"29,000"
427,"

28.  
",C# 교과서,박용준 (지은이) , 길벗 , 2020년 6월,5.0,대학교재/전문서적,강의지원도서,"21,000"
428,"

29.  
",Do it! 자료구조와 함께 배우는 알고리즘 입문 - 자바 편 : 전면개정판,"시바타 보요 (지은이), 강민 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 5월,5.0,대학교재/전문서적,강의지원도서,"15,000"
429,"

30.  
",문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 , 2017년 4월,4.0,대학교재/전문서적,강의지원도서,"11,610"
430,"

31.  
",Do it! 알고리즘 코딩 테스트 - 파이썬 편,김종관 (지은이) , 이지스퍼블리싱 (주) , 2022년 8월,5.0,대학교재/전문서적,강의지원도서,"22,000"
431,"

32.  
",파이썬 코딩의 기술(개정2판),"브렛 슬라킨 (지은이), 오현석 (옮긴이) ", 길벗 , 2020년 11월,5.0,대학교재/전문서적,강의지원도서,"25,600"
432,"

33.  
",프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) , 2022년 2월,5.0,대학교재/전문서적,강의지원도서,"35,000"
433,"

34.  
",누구나 자료 구조와 알고리즘(개정2판),"제이 웬그로우 (지은이), 심지현 (옮긴이) ", 길벗 , 2021년 12월,5.0,대학교재/전문서적,강의지원도서,"26,400"
434,"

35.  
",프셉마음 - 심혈관계편,안정언 (지은이) , 드림널스 , 2022년 4월,0.0,대학교재/전문서적,강의지원도서,"24,000"
435,"

36.  
","논문, 쓰다",김용찬 (지은이) , 컬처룩 , 2020년 11월,5.0,대학교재/전문서적,강의지원도서,"11,200"
436,"

37.  
",양극성 장애,"조용래, 김빛나 (지은이) ", 학지사 , 2018년 10월,5.0,대학교재/전문서적,강의지원도서,"7,600"
437,"

38.  
",사회불안장애,김은정 (지은이) , 학지사 , 2018년 10월,0.0,대학교재/전문서적,강의지원도서,"7,600"
438,"

39.  
",프로테스탄티즘의 윤리와 자본주의 정신,"막스 베버 (지은이), 박성수 (옮긴이) ", 문예출판사 , 2013년 10월,4.0,대학교재/전문서적,강의지원도서,"7,500"
439,"

40.  
",프셉마음 - 의학용어편 Ⅰ: 외과계,드림널스 편집부 (지은이) , 드림널스 , 2022년 4월,4.0,대학교재/전문서적,강의지원도서,"17,600"
440,"

41.  
",프셉마음 - 중환자간호 입문편,전호웅 (지은이) , 드림널스 , 2022년 4월,4.5,대학교재/전문서적,강의지원도서,"22,400"
441,"

42.  
",계량경제학,"R. 카터 힐, William E. Griffiths, Guay C. Lim (지은이) ", 시그마프레스 , 2021년 2월,0.0,대학교재/전문서적,강의지원도서,"29,600"
442,"

43.  
",한국의 샤머니즘과 분석심리학,이부영 (지은이) , 한길사 , 2014년 11월,5.0,대학교재/전문서적,강의지원도서,"22,500"
443,"

44.  
",Do it! 지옥에서 온 문서 관리자 깃&깃허브 입문 (전면 개정판),"고경희, 이고잉 (지은이) ", 이지스퍼블리싱 (주) , 2022년 10월,5.0,대학교재/전문서적,강의지원도서,"12,000"
444,"

45.  
",프로그래머를 위한 확률과 통계,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 , 2019년 6월,5.0,대학교재/전문서적,강의지원도서,"25,600"
445,"

46.  
",최신 수술실 매뉴얼,"윤혜상, 장영진, 서은주 (지은이) ", 포널스 , 2021년 9월,5.0,대학교재/전문서적,강의지원도서,"32,000"
446,"

47.  
",해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) , 2021년 7월,0.0,대학교재/전문서적,강의지원도서,"26,000"
447,"

48.  
",Do it! 게임 10개 만들며 배우는 파이썬,"벤 포터, 쉬무엘 포터 (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 , 2022년 12월,5.0,대학교재/전문서적,강의지원도서,"15,000"
448,"

49.  
",Do it! 건축 BIM을 위한 Revit 입문,장동수 (지은이) , 이지스퍼블리싱 (주) , 2020년 5월,5.0,대학교재/전문서적,강의지원도서,"15,000"
449,"

50.  
",국제회의 통역사를 위한 노트테이킹 핵심기술,이상빈 (지은이) , 한국문화사 , 2021년 8월,0.0,대학교재/전문서적,강의지원도서,"14,400"
450,"

51.  
",간호 알고리즘 Vol.2,"전호웅, 한동수 (지은이) ", 포널스 , 2022년 6월,5.0,대학교재/전문서적,강의지원도서,"24,000"
451,"

52.  
",비극의 탄생,"프리드리히 니체 (지은이), 박찬국 (옮긴이) ", 아카넷 , 2015년 4월,4.5,대학교재/전문서적,강의지원도서,"12,600"
452,"

53.  
",쉽게 배워 바로 써먹는 디자인 패턴,이호진 (지은이) , 한빛미디어 , 2020년 10월,4.0,대학교재/전문서적,강의지원도서,"25,200"
453,"

54.  
",칼만 필터는 어렵지 않아,김성필 (지은이) , 한빛아카데미(교재) , 2020년 12월,4.5,대학교재/전문서적,강의지원도서,"26,000"
454,"

55.  
",역사철학강의,"게오르그 빌헬름 프리드리히 헤겔 (지은이), 권기철 (옮긴이) ", 동서문화동판(동서문화사) , 2008년 6월,4.5,대학교재/전문서적,강의지원도서,"6,860"
455,"

56.  
",심리음향학,오세진 (지은이) , 시그마프레스 , 2014년 6월,4.0,대학교재/전문서적,강의지원도서,"12,000"
456,"

57.  
",에다,"최윤영 (지은이), 임한순, 김길웅 (옮긴이) ", 서울대학교출판부 , 2015년 6월,5.0,대학교재/전문서적,강의지원도서,"42,000"
457,"

58.  
",언어,강범모 (지은이) , 한국문화사 , 2022년 9월,5.0,대학교재/전문서적,강의지원도서,"22,000"
458,"

59.  
",아동과 청소년의 심리치료,"Arthur E. Jongsma, Jr., David J. Berghuis, L. Mark Peterson, William P. McInnis (지은이), 김정휘, 홍종관, 허주연, 김은영 (옮긴이) ", 시그마프레스 , 2018년 4월,0.0,대학교재/전문서적,강의지원도서,"17,500"
459,"

60.  
",캐릭터 디자인 수업,"황정혜, 석금주, 홍윤미 (지은이) ", 청문각 , 2022년 8월,0.0,대학교재/전문서적,강의지원도서,"19,200"
460,"

61.  
",생활속의 응용윤리,박찬구 (지은이) , 세창출판사(세창미디어) , 2023년 1월,0.0,대학교재/전문서적,강의지원도서,"20,000"
461,"

62.  
",위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) , 2022년 12월,5.0,대학교재/전문서적,강의지원도서,"29,000"
462,"

63.  
",거시경제학,"그레고리 맨큐 (지은이), 이병락 (옮긴이) ", 시그마프레스 , 2023년 2월,0.0,대학교재/전문서적,강의지원도서,"31,500"
463,"

64.  
",알기 쉽게 해설한 자바 프로그래밍,김충석 (지은이) , 한빛아카데미(교재) , 2023년 2월,0.0,대학교재/전문서적,강의지원도서,"30,000"
464,"

65.  
",빅데이터 SPSS 최신 분석기법,조용준 (지은이) , (주)한나래플러스 , 2022년 4월,0.0,대학교재/전문서적,강의지원도서,"18,000"
465,"

66.  
",역주 손무자직해 오자직해 2,"성백효, 이난수 (지은이) ", 전통문화연구회 , 2021년 3월,0.0,대학교재/전문서적,강의지원도서,"8,750"
466,"

67.  
",Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희 (지은이) , 이지스퍼블리싱 (주) , 2021년 1월,4.5,대학교재/전문서적,강의지원도서,"19,000"
467,"

68.  
",만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 , 2016년 2월,4.0,대학교재/전문서적,강의지원도서,"15,750"
468,"

69.  
",청소년 및 성인을 위한 ADHD의 인지행동치료 (제2판),"Susan Young, Jessica Bramham (지은이), 최병휘, 곽욱환, 조철래, 김원, 임미정, 박준성, 김선욱, 김혜경 (옮긴이) ", 시그마프레스 , 2019년 4월,4.0,대학교재/전문서적,강의지원도서,"14,000"
469,"

70.  
",군주론 (개정판),"니콜로 마키아벨리 (지은이), 강정인, 김경희 (옮긴이) ", 까치 , 2019년 11월,4.5,대학교재/전문서적,강의지원도서,"7,000"
470,"

71.  
",수치심의 치유,존 브래드쇼 (지은이) , 도서출판 한국상담심리연구원 , 2021년 6월,4.5,대학교재/전문서적,강의지원도서,"11,000"
471,"

72.  
",군중심리,"귀스타브 르 봉 (지은이), 강주헌 (옮긴이) ", 현대지성 , 2021년 10월,5.0,대학교재/전문서적,강의지원도서,"7,900"
472,"

73.  
",무경계,"켄 윌버 (지은이), 김철수 (옮긴이) ", 정신세계사 , 2017년 1월,4.5,대학교재/전문서적,강의지원도서,"10,500"
473,"

74.  
",프셉마음 - 정형외과편,박기옥 (지은이) , 드림널스 , 2022년 4월,0.0,대학교재/전문서적,강의지원도서,"23,200"
474,"

75.  
",암또의 임상노트 Volume.1,암또 (지은이) , 포널스 , 2019년 11월,5.0,대학교재/전문서적,강의지원도서,"17,500"
475,"

76.  
",소비의 사회,"장 보드리야르 (지은이), 이상률 (옮긴이) ", 문예출판사 , 2015년 9월,4.0,대학교재/전문서적,강의지원도서,"14,400"
476,"

77.  
",낯선 곳에서 나를 만나다,한국문화인류학회 (엮은이) , 일조각 , 2021년 1월,4.0,대학교재/전문서적,강의지원도서,"10,000"
477,"

78.  
",코딩 자율학습 HTML + CSS + 자바스크립트,김기수 (지은이) , 길벗 , 2022년 4월,5.0,대학교재/전문서적,강의지원도서,"18,900"
478,"

79.  
",프셉마음 - 입문편,드림널스 편집부 (지은이) , 드림널스 , 2022년 4월,5.0,대학교재/전문서적,강의지원도서,"22,400"
479,"

80.  
",혼자 공부하는 R 데이터 분석,"강전희, 엄동란 (지은이) ", 한빛미디어 , 2022년 2월,5.0,대학교재/전문서적,강의지원도서,"15,840"
480,"

81.  
",파이썬 머신러닝 판다스 데이터 분석,오승환 (지은이) , 정보문화사 , 2019년 6월,5.0,대학교재/전문서적,강의지원도서,"17,000"
481,"

82.  
",프셉마음 - 응급실편,곽수진 (지은이) , 드림널스 , 2022년 4월,5.0,대학교재/전문서적,강의지원도서,"24,000"
482,"

83.  
",법의 정신,"샤를 드 몽테스키외 (지은이), 이재형 (옮긴이) ", 문예출판사 , 2015년 6월,4.5,대학교재/전문서적,강의지원도서,"7,200"
483,"

84.  
",소문난 명강의 김도형의 데이터 사이언스 스쿨 수학 편,김도형 (지은이) , 한빛미디어 , 2019년 11월,5.0,대학교재/전문서적,강의지원도서,"39,600"
484,"

85.  
",심리검사의 이해,최정윤 (지은이) , 시그마프레스 , 2016년 4월,4.0,대학교재/전문서적,강의지원도서,"14,000"
485,"

86.  
",마이어스의 심리학 개론,"데이비드 G. 마이어스, 네이선 드월 (지은이), 신현정 (옮긴이) ", 시그마프레스 , 2022년 3월,0.0,대학교재/전문서적,강의지원도서,"23,100"
486,"

87.  
",윤상훈·권병조의 알짜 근육학,"윤상훈, 권병조 (지은이) ", 군자출판사 , 2021년 5월,0.0,대학교재/전문서적,강의지원도서,"18,000"
487,"

88.  
",제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS,노경섭 (지은이) , 한빛아카데미(교재) , 2020년 12월,5.0,대학교재/전문서적,강의지원도서,"28,000"
488,"

89.  
",정보 보안 개론,양대일 (지은이) , 한빛아카데미(교재) , 2021년 6월,0.0,대학교재/전문서적,강의지원도서,"30,000"
489,"

90.  
",직업으로서의 학문,"막스 베버 (지은이), 이상률 (옮긴이) ", 문예출판사 , 2017년 4월,4.5,대학교재/전문서적,강의지원도서,"4,200"
490,"

91.  
",프로그래머를 위한 선형대수,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 , 2017년 4월,4.0,대학교재/전문서적,강의지원도서,"25,600"
491,"

92.  
",쉽게 배우는 소프트웨어 공학,김치수 (지은이) , 한빛아카데미(교재) , 2021년 7월,4.0,대학교재/전문서적,강의지원도서,"30,000"
492,"

93.  
",암또의 임상노트 Volume.2,암또 (지은이) , 포널스 , 2021년 4월,5.0,대학교재/전문서적,강의지원도서,"28,000"
493,"

94.  
",응용이 보이는 선형대수학,이건명 (지은이) , 한빛아카데미(교재) , 2020년 12월,0.0,대학교재/전문서적,강의지원도서,"31,000"
494,"

95.  
",운영체제,구현회 (지은이) , 한빛아카데미(교재) , 2020년 11월,3.0,대학교재/전문서적,강의지원도서,"27,000"
495,"

96.  
",프셉마음 - 기초편,"드림널스 편집부, 제갈성희, 고은희 (지은이) ", 드림널스 , 2022년 4월,5.0,대학교재/전문서적,강의지원도서,"24,000"
496,"

97.  
",프셉마음 - 의학용어편 Ⅱ : 내과계,"드림널스 편집부 (지은이), 권미수, 최고운 (감수) ", 드림널스 , 2022년 4월,0.0,대학교재/전문서적,강의지원도서,"17,600"
497,"

98.  
",프셉마음 : 소화기 간호편,박근혜 (지은이) , 드림널스 , 2022년 9월,5.0,대학교재/전문서적,강의지원도서,"24,000"
498,"

99.  
",2023 위아너스 간호사 국가시험 PASS 177 최종모의고사,"김명애, 이원진 (지은이) ", IMRN , 2022년 11월,5.0,대학교재/전문서적,강의지원도서,"18,720"
499,"

100.  
",법의학,이상한 (지은이) , 정문각(JMK) , 2019년 1월,0.0,대학교재/전문서적,강의지원도서,"35,000"
500,"

1.  
",우리에게는 비밀이 없다,"우샤오러 (지은이), 강초아 (옮긴이) ", 한즈미디어 , 2022년 11월,5.0,소설/시/희곡,문학,"11,600"
501,"

2.  
",구의 증명,최진영 (지은이) , 은행나무 , 2015년 3월,4.0,소설/시/희곡,문학,"6,480"
502,"

3.  
",아버지의 해방일지,정지아 (지은이) , 창비 , 2022년 9월,5.0,소설/시/희곡,문학,"12,000"
503,"

4.  
",수확자,"닐 셔스터먼 (지은이), 이수현 (옮긴이) ", 열린책들 , 2023년 1월,5.0,소설/시/희곡,문학,"11,250"
504,"

5.  
",살인 플롯 짜는 노파,"엘리 그리피스 (지은이), 신승미 (옮긴이) ", 나무옆의자 , 2023년 2월,4.5,소설/시/희곡,문학,"11,340"
505,"

6.  
",사랑의 이해,이혁진 (지은이) , 민음사 , 2019년 4월,4.0,소설/시/희곡,문학,"10,500"
506,"

7.  
",흑뢰성,"요네자와 호노부 (지은이), 김선영 (옮긴이) ", 리드비 , 2023년 2월,5.0,소설/시/희곡,문학,"11,760"
507,"

8.  
",데미안 (한글판),"헤르만 헤세 (지은이), 이순학 (옮긴이) ", 더클래식 , 2012년 10월,4.5,소설/시/희곡,문학,990
508,"

9.  
",이토록 평범한 미래,김연수 (지은이) , 문학동네 , 2022년 10월,4.5,소설/시/희곡,문학,"9,800"
509,"

10.  
",로렘 입숨의 책,구병모 (지은이) , 안온북스 , 2023년 1월,5.0,소설/시/희곡,문학,"9,450"
510,"

11.  
",작가는 어떻게 읽는가,"조지 손더스 (지은이), 정영목 (옮긴이) ", 어크로스 , 2023년 2월,4.5,소설/시/희곡,문학,"17,100"
511,"

12.  
",불편한 편의점,김호연 (지은이) , 나무옆의자 , 2021년 4월,4.5,소설/시/희곡,문학,"9,800"
512,"

13.  
",인간실격 (한글판),"다자이 오사무 (지은이), 김소영 (옮긴이) ", 미르북컴퍼니 , 2013년 12월,4.0,소설/시/희곡,문학,990
513,"

14.  
",눈물을 마시는 새 세트 (1~4권),이영도 (지은이) , 황금가지 , 2013년 10월,5.0,소설/시/희곡,문학,"28,600"
514,"

15.  
",배니시드,김도윤 (지은이) , 팩토리나인 , 2023년 2월,5.0,소설/시/희곡,문학,"12,000"
515,"

16.  
",단순한 열정,"아니 에르노 (지은이), 최정수 (옮긴이) ", 문학동네 , 2016년 12월,4.0,소설/시/희곡,문학,"6,300"
516,"

17.  
",불편한 편의점 2 (단풍 에디션),김호연 (지은이) , 나무옆의자 , 2022년 8월,4.5,소설/시/희곡,문학,"9,800"
517,"

18.  
",파친코 1,"이민진 (지은이), 신승미 (옮긴이) ", 인플루엔셜(주) , 2022년 10월,4.5,소설/시/희곡,문학,"12,500"
518,"

19.  
",파친코 2,이민진 (지은이) , 인플루엔셜(주) , 2022년 10월,5.0,소설/시/희곡,문학,"12,500"
519,"

20.  
",가재가 노래하는 곳,"델리아 오언스 (지은이), 김선형 (옮긴이) ", 살림 , 2019년 6월,4.5,소설/시/희곡,문학,"11,200"
520,"

21.  
",인생의 역사,신형철 (지은이) , 난다 , 2022년 12월,5.0,소설/시/희곡,문학,"12,600"
521,"

22.  
",노인과 바다 (한글+영문판),"어니스트 헤밍웨이 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2013년 6월,5.0,소설/시/희곡,문학,990
522,"

23.  
",어린 왕자 (한글+영문),"앙투안 드 생텍쥐페리 (지은이), 베스트트랜스 (옮긴이) ", 더클래식 , 2012년 4월,5.0,소설/시/희곡,문학,990
523,"

24.  
",나는 오래된 거리처럼 너를 사랑하고,진은영 (지은이) , 문학과지성사 , 2022년 11월,4.5,소설/시/희곡,문학,"8,400"
524,"

25.  
",참을 수 없는 존재의 가벼움,"밀란 쿤데라 (지은이), 이재룡 (옮긴이) ", 민음사 , 2021년 6월,4.5,소설/시/희곡,문학,"11,200"
