yes24_rank,title,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener
43,       BL  유언 때문에 죽는 건 잠깐 미뤘습니다                                   , 소림 저                                                            , 비욘드                                        , 2022년 12월                                 ,"3,200원",4,4,BL,문학
44,       BL  세컨드 러브 송 Second love song                                 , 코르테즈 저                                                            , MANZ                                         , 2023년 02월                                 ,"3,300원",0,0,BL,문학
45,      비혼주의입니다만   , 촤돌 글그림                                                            , Label RED                                        , 2022년 11월                                 ,500원,0,0,BL,문학
46,       BL  DASH                                   , 이젠 ijen  저                                                            , W Beast                                        , 2022년 01월                                 ,"4,400원",4,4,BL,문학
47,       BL  구멍 신부                                , 국산파이어팅커BL 저                                                            , 희우                                        , 2023년 02월                                 ,"2,700원",5,5,BL,문학
48,       BL  차사태신전                                , 급한 저                                                            , BLYNUE 블리뉴                                        , 2023년 01월                                 ,"3,400원",4,4,BL,문학
49,       BL  임께서 이르시되                                   , 짜오 저                                                            , 고렘팩토리                                        , 2022년 08월                                 ,"3,400원",4,4,BL,문학
50,       BL  캐럿                                   , 메카니스트 저                                                            , 더클북컴퍼니                                        , 2022년 11월                                 ,"3,000원",4,4,BL,문학
51,       BL  살아서 만납시다                                , 할로윈 저                                                            , 링크                                        , 2022년 11월                                 ,"3,400원",4,4,BL,문학
52,       BL  스위티  스위티  스위티 Sweetie  Sweetie  Sweetie                                    , 담적단 저                                                            , 러스트                                        , 2022년 09월                                 ,"3,300원",4,4,BL,문학
53,       BL  파문                                , 소조금 저                                                            , 모드                                        , 2022년 01월                                 ,"3,000원",4,4,BL,문학
54,       BL  비생산적 관계에 대한 비이성적 고찰                                   , 라휘 저                                                            , 시크노블                                        , 2023년 01월                                 ,"3,600원",4,4,BL,문학
55,      찌질한 서브공이 되었습니다  , 로보 저 백일 슬기 글 애림 그림                                                            , 서울미디어코믹스                                        , 2022년 11월                                 ,500원,0,0,BL,문학
56,       BL  오푸스 눌                                   , 정가재 저                                                            , 시크노블                                        , 2022년 10월                                 ,"4,200원",4,4,BL,문학
57,      가장 보통의 연애 , 조우 저 아나 글그림 먼지 그림                                                            , 북극여우                                        , 2022년 04월                                 ,600원,5,5,BL,문학
58,       BL  천관사복                                , 묵향동후 저                                                            , B Lab 비랩                                         , 2022년 05월                                 ,"3,500원",4,4,BL,문학
59,       연재  안전어는 빨간색 , 무나무 글그림                                                            , 대원씨아이                                        , 2021년 09월                                 ,500원,5,5,BL,문학
60,       BL  키스 더 그라운드                                   , 새몬 저                                                            , 모드                                        , 2020년 09월                                 ,"3,400원",4,4,BL,문학
61,       루비  투명한 사랑의 그릇  한정판                                 , hitomi 글그림                                                            , 현대지능개발사                                        , 2023년 02월                                 ,"3,780원",4,4,BL,문학
62,       BL  최면 교육                                   , B포 저                                                            , 블릿                                        , 2023년 02월                                 ,"3,000원",5,5,BL,문학
63,       BL  추화련                                     , 원랑 저                                                            , 모드                                        , 2022년 11월                                 ,"3,500원",4,4,BL,문학
64,       BL  미치도록 아름다운                                , leefail 저                                                            , 블루코드                                        , 2023년 01월                                 ,"3,600원",4,4,BL,문학
65,       BL  나쁜 놈 위에 나쁜 놈                                , 계자 저                                                            , 블래스트                                        , 2022년 11월                                 ,"2,600원",4,4,BL,문학
