제목,kyobo_순위,kyobo_저자,kyobo_출판사,kyobo_발매일,kyobo_가격,kyobo_평점,kyobo_장르,상명대학교_학술정보관_장르
이시형 박사의 면역 혁명,74,이시형,매일경제신문사,2020.09.15 (종이책 출간 2020.09.11),"9,900",7.5,건강/의학,건강/의학
중년을 위한 동의보감 이야기,75,윤소정,행성B,2020.10.29 (종이책 출간 2020.09.10),"9,180",10,건강/의학,건강/의학
내 몸과의 전쟁,76,피지컬갤러리,책들의정원,2020.02.13 (종이책 출간 2019.12.31),"9,720",8.6,건강/의학,건강/의학
반갑다 호전반응,77,정용준,모아북스,2017.01.02 (종이책 출간 2016.12.20),"5,670",9.5,건강/의학,건강/의학
절대 지치지 않는 몸,78,나카노 제임스 슈이치,비타북스,2022.06.13 (종이책 출간 2022.05.02),"9,450",9.9,건강/의학,건강/의학
건강 수지침,79,곽순애,넥서스BOOKS,2021.09.27 (종이책 출간 2016.06.10),"8,190",10,건강/의학,건강/의학
영양의 비밀,80,프레드 프로벤자,브론스테인,2020.06.10 (종이책 출간 2020.06.10),"16,200",9.6,건강/의학,건강/의학
그림으로 배우는 슬로 섹스,81,아담 도쿠나가,바닐라미디어,2015.01.19,"7,650",9,건강/의학,건강/의학
비우고 낮추면 반드시 낫는다,82,전홍준,에디터,2015.01.09 (종이책 출간 2013.11.11),"9,000",9.3,건강/의학,건강/의학
의사의 반란,83,신우섭,에디터,2015.01.09 (종이책 출간 2013.04.15),"8,400",10,건강/의학,건강/의학
헬스의 정석  근력운동 편,84,수피,한문화,2016.07.15 (종이책 출간 2016.06.27),"15,300",9.7,건강/의학,건강/의학
역류성 식도염·부정맥·갱년기 증상이 있으시다면,85,한진,지식과감성,2021.03.11 (종이책 출간 2021.02.10),"8,820",0,건강/의학,건강/의학
필라테스 바이블,86,조셉 필라테스,판미동,2020.11.03 (종이책 출간 2020.09.02),"13,860",10,건강/의학,건강/의학
똑게육아,1,로리(김준희),북로스트,2022.05.16 (종이책 출간 2022.02.24),"14,940",9.7,가정/생활/요리,가정/생활/요리
자발적 방관육아,2,최은아,쌤앤파커스,2023.01.19 (종이책 출간 2023.01.31),"10,800",9.6,가정/생활/요리,가정/생활/요리
세상에서 가장 쉬운 본질육아,3,지나영,21세기북스,2022.09.28 (종이책 출간 2022.09.28),"13,536",9.8,가정/생활/요리,가정/생활/요리
우리아이 괜찮아요. 2  성장편,4,서천석,예담프렌드,2015.01.16,"6,237",0,가정/생활/요리,가정/생활/요리
맛있어서 지속 가능한 디디미니 다이어트 레시피,5,미니 박지우,빅피시,2022.05.18 (종이책 출간 2022.05.23),"11,844",9.9,가정/생활/요리,가정/생활/요리
공부머리는 문해력이다,6,진동섭,포르체,2021.08.10 (종이책 출간 2021.07.01),"9,450",9.8,가정/생활/요리,가정/생활/요리
내 아이를 위한 감정코칭,7,최성애,해냄출판사,2020.02.19 (종이책 출간 2020.02.15),"9,720",9.9,가정/생활/요리,가정/생활/요리
영유아 몬테소리 육아대백과,8,시모네 데이비스,키출판사,2019.12.23 (종이책 출간 2019.12.17),"10,080",9.8,가정/생활/요리,가정/생활/요리
베이비 몬테소리 육아대백과,9,시모네 데이비스,키출판사,2021.07.13 (종이책 출간 2021.07.09),"10,710",9.9,가정/생활/요리,가정/생활/요리
"어머니, 사교육을 줄이셔야 합니다",10,정승익,메이트북스,2023.01.17 (종이책 출간 2023.01.17),"9,180",9.9,가정/생활/요리,가정/생활/요리
기분대로 아이를 키우지 않겠습니다,11,곽윤정,포레스트북스,2022.11.30 (종이책 출간 2022.11.23),"9,450",9.4,가정/생활/요리,가정/생활/요리
올드패션 베이킹북,12,이수정,책밥,2022.11.07 (종이책 출간 2022.10.05),"17,640",9.6,가정/생활/요리,가정/생활/요리
성심당 케익부띠끄 클래식레시피 60,13,안종섭,비앤씨월드,2022.11.07 (종이책 출간 2016.10.18),"14,400",7.9,가정/생활/요리,가정/생활/요리
엄마의 말 연습,14,윤지영,카시오페아,2022.09.22 (종이책 출간 2022.09.22),"11,025",9.4,가정/생활/요리,가정/생활/요리
아기가 잘 먹는 이유식은 따로 있다(후기이유식),15,저자 김정미,레시피팩토리,2021.03.31,"3,510",0,가정/생활/요리,가정/생활/요리
아기가 잘 먹는 이유식은 따로 있다(중기이유식),16,저자 김정미,레시피팩토리,2021.03.31,"3,510",0,가정/생활/요리,가정/생활/요리
나는 유치원생 엄마입니다,17,심미경,비센샤프트,2021.03.29,"7,200",0,가정/생활/요리,가정/생활/요리
2천만원으로 시골집 한 채 샀습니다,18,오미숙,포북(forbook),2014.06.20 (종이책 출간 2013.10.30),"9,450",8.3,가정/생활/요리,가정/생활/요리
푸름이 이렇게 영재로 키웠다,19,최희수,푸른육아,2012.04.03 (종이책 출간 2011.05.30),"5,400",9.6,가정/생활/요리,가정/생활/요리
새로운 제빵기초지식,20,타케야 코우지,비앤씨월드,2006.10.12 (종이책 출간 2003.01.08),"10,800",10,가정/생활/요리,가정/생활/요리
"중학생, 아빠가 필요한 나이",21,박미자,들녘,2014.10.24 (종이책 출간 2014.06.16),"8,190",10,가정/생활/요리,가정/생활/요리
그 아이만의 단 한 사람,22,권영애,아름다운사람들,2017.03.16 (종이책 출간 2016.09.02),"12,600",9.7,가정/생활/요리,가정/생활/요리
임포스터,23,리사 손,21세기북스,2022.01.07 (종이책 출간 2022.01.05),"12,960",9.8,가정/생활/요리,가정/생활/요리
어떻게 말해줘야 할까,24,오은영,김영사,2020.11.02 (종이책 출간 2020.10.25),"11,070",9.8,가정/생활/요리,가정/생활/요리
베이킹 하다 앳 홈,25,박정아,중앙북스,2022.02.16 (종이책 출간 2022.02.07),"12,960",10,가정/생활/요리,가정/생활/요리
시오코나 홈베이킹 수업,26,전익범,알에이치코리아,2014.09.03 (종이책 출간 2014.03.31),"10,710",9.3,가정/생활/요리,가정/생활/요리
라떼아트 홀로서는 방법,27,임현수,스토리위너컴퍼니,2021.04.05,"7,200",0,가정/생활/요리,가정/생활/요리
한나의 저탄수화물 홈 베이킹,28,한나,북드림,2020.09.17 (종이책 출간 2020.07.17),"14,850",9.7,가정/생활/요리,가정/생활/요리
아이의 떼 거부 고집을 다루다,29,정유진,미스터제이,2019.09.20 (종이책 출간 2019.03.19),"9,900",9.7,가정/생활/요리,가정/생활/요리
엄마표 돈 공부의 기적,30,이은주,위즈덤하우스,2021.10.07 (종이책 출간 2021.09.09),"9,450",9.8,가정/생활/요리,가정/생활/요리
초등 적기독서,31,장서영,글담출판,2021.02.09 (종이책 출간 2021.01.15),"10,080",9.8,가정/생활/요리,가정/생활/요리
용감한 육아,32,에스터 워지츠키,반비,2021.06.11 (종이책 출간 2021.04.23),"11,025",9.6,가정/생활/요리,가정/생활/요리
통곡 없이 잠 잘 자는 아기의 비밀,33,곽윤철,북라이프,2021.08.23 (종이책 출간 2021.08.24),"9,954",9.9,가정/생활/요리,가정/생활/요리
믿는 만큼 자라는 아이들,34,박혜란,나무를심는사람들,2019.10.28 (종이책 출간 2019.10.25),"8,694",9.9,가정/생활/요리,가정/생활/요리
아하부장의 맛,35,아하부장(김광용),프롬비,2021.11.24 (종이책 출간 2021.11.11),"15,300",10,가정/생활/요리,가정/생활/요리
발달놀이 육아법,36,오카다 다카시,예문아카이브,2018.05.16 (종이책 출간 2018.04.15),"11,376",8.7,가정/생활/요리,가정/생활/요리
다시 아이를 키운다면,37,박혜란,나무를심는사람들,2019.06.04 (종이책 출간 2019.05.30),"8,694",9.8,가정/생활/요리,가정/생활/요리
오! 이렇게 다양한 오트밀 요리,38,박현주,레시피팩토리,2020.11.26 (종이책 출간 2020.06.19),"8,694",9.7,가정/생활/요리,가정/생활/요리
에어프라이어로 시작하는 건강 다이어트 요리,39,김희영,레시피팩토리,2020.11.17 (종이책 출간 2020.01.03),"8,694",9.5,가정/생활/요리,가정/생활/요리
채소와 영양이 가득한 샌드위치 150,40,에다준,시그마북스,2022.08.19 (종이책 출간 2022.08.15),"11,340",9.2,가정/생활/요리,가정/생활/요리
반죽부터 다시 시작하는 피낭시에&마들렌,41,하영아,길벗,2021.10.14 (종이책 출간 2021.10.04),"10,710",10,가정/생활/요리,가정/생활/요리
영어책 읽기의 힘,42,고광윤,길벗,2020.02.26 (종이책 출간 2020.02.05),"12,474",9.4,가정/생활/요리,가정/생활/요리
와인보다 스토리,43,신인식,좋은땅,2017.10.23 (종이책 출간 2017.09.19),"7,020",8.5,가정/생활/요리,가정/생활/요리
하우 베이킹 웍스,44,파울라 피고니,터닝포인트,2022.09.02 (종이책 출간 2022.01.14),"23,400",9.9,가정/생활/요리,가정/생활/요리
큐브 밥솥 이유식,45,김정현,싸이프레스,2019.12.17 (종이책 출간 2019.07.10),"10,800",9.7,가정/생활/요리,가정/생활/요리
마들렌 & 피낭시에 수업,46,권향미,싸이프레스,2020.02.03 (종이책 출간 2019.04.01),"9,450",9.6,가정/생활/요리,가정/생활/요리
매일 20분 엄마와 함께하는 책 읽기의 힘,47,이미은,메이트북스,2021.05.24 (종이책 출간 2021.05.24),"8,640",9.6,가정/생활/요리,가정/생활/요리
슈가레인 카페 디저트 클래스,48,조한빛,비타북스,2022.03.11 (종이책 출간 2022.02.10),"11,340",9.8,가정/생활/요리,가정/생활/요리
엄마의 빈틈이 아이를 키운다,49,하지현,푸른숲,2014.03.18 (종이책 출간 2014.02.24),"9,900",9.7,가정/생활/요리,가정/생활/요리
꼼꼼한 홈베이킹,50,박정미,시대인,2017.01.05 (종이책 출간 2016.04.15),"9,720",9.4,가정/생활/요리,가정/생활/요리
우리 아이 기질 맞춤 양육 매뉴얼,51,정가은,서사원,2022.11.30 (종이책 출간 2023.01.05),"14,400",9.7,가정/생활/요리,가정/생활/요리
20세기 엄마의 21세기 명품 아들 만들기,52,이미애,물주는아이,2022.02.03 (종이책 출간 2021.12.20),"9,140",8.9,가정/생활/요리,가정/생활/요리
유치원의 힘,53,김경란,EBS BOOKS,2022.03.30 (종이책 출간 2020.12.30),"11,900",8.3,가정/생활/요리,가정/생활/요리
부모 인문학 수업,54,김종원,청림라이프,2022.08.17 (종이책 출간 2022.07.27),"10,080",10,가정/생활/요리,가정/생활/요리
신의진의 아이심리백과(30만 부 기념 최신 증보판),55,신의진,메이븐,2021.11.05 (종이책 출간 2021.11.08),"16,200",9.8,가정/생활/요리,가정/생활/요리
자녀교육 베스트 100,56,가토 노리코,서사원,2021.11.16 (종이책 출간 2021.06.09),"11,700",9.4,가정/생활/요리,가정/생활/요리
지금 런던(2022),1,맹지나,플래닝북스,2022.08.25 (종이책 출간 2022.08.25),"10,080",9.5,여행/취미,여행/취미
이탈리아 100배 즐기기(19-20),2,홍수연,알에이치코리아,2019.07.24 (종이책 출간 2019.07.05),"11,970",9.8,여행/취미,여행/취미
2023 Win-Q 스포츠지도사 2급 필기 초단기 합격+무료동영상(기출),3,SD기획연구소,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"17,640",9,여행/취미,여행/취미
GEO-INSIGHT 하노이,4,구양미 (엮음),푸른길,2020.03.02 (종이책 출간 2020.01.06),"13,860",0,여행/취미,여행/취미
체스 챔피언:이기는 체스 게임의 법칙,5,김도윤,성안당,2022.08.25 (종이책 출간 2022.08.05),"15,840",10,여행/취미,여행/취미
2023 스포츠지도사 2급 필기 한권합격+무료동영상(기출),6,배성우,시대고시기획,2022.08.26 (종이책 출간 2023.01.05),"18,270",10,여행/취미,여행/취미
독일 셀프트래블(2022-2023),7,김주희,상상출판,2022.09.26 (종이책 출간 2022.08.03),"11,340",10,여행/취미,여행/취미
탁구 마스터 가이드,8,오에 마사토,싸이프레스,2022.09.23 (종이책 출간 2011.04.30),"9,450",9,여행/취미,여행/취미
뉴질랜드 캠핑카 여행 떠나기 전 알았더라면 좋았을 것들,9,짠내부부,e퍼플,2020.01.10,"2,700",5.5,여행/취미,여행/취미
여행의 기술,10,알랭 드 보통,청미래,2014.12.19 (종이책 출간 2011.12.10),"8,820",9.3,여행/취미,여행/취미
운동처방과 질환별 운동치료 프로그램,11,서영환,대경북스,2019.07.08 (종이책 출간 2014.03.03),"11,250",0,여행/취미,여행/취미
"퐁당, 시칠리아",12,윤정인,이담북스,2020.04.25 (종이책 출간 2019.11.04),"8,640",8.2,여행/취미,여행/취미
베네룩스 맥주 산책,13,이현수,메이드마인드,2018.12.19 (종이책 출간 2018.06.01),"8,100",9.7,여행/취미,여행/취미
베이징 셀프트래블(2019-2020),14,김충식,상상출판,2019.06.19 (종이책 출간 2019.02.21),"7,560",7.5,여행/취미,여행/취미
당신이 모르는 그 곳 서울(Seoul),15,어라운더월드 편집부,어라운더월드,2021.04.12 (종이책 출간 2021.04.05),"10,800",10,여행/취미,여행/취미
홍콩 마카오 홀리데이(2019-2020),16,양인선,꿈의지도,2019.07.22 (종이책 출간 2019.06.05),"8,640",10,여행/취미,여행/취미
천연 세제 생활,17,박철원,나는북,2018.11.26 (종이책 출간 2018.11.13),"7,920",9.8,여행/취미,여행/취미
"인조이 나트랑, 달랏",18,양신혜,넥서스BOOKS,2022.08.06 (종이책 출간 2022.07.22),"8,190",10,여행/취미,여행/취미
인조이 두바이(2020),19,박지우,넥서스BOOKS,2020.02.27 (종이책 출간 2020.02.17),"6,480",0,여행/취미,여행/취미
처음 떠나는 혼자 여행 100배 즐기기,20,송은영,페스트북,2023.02.13,"10,800",0,여행/취미,여행/취미
마을버스로 세계여행,21,임택,넥서스BOOKS,2022.11.05,"11,340",0,여행/취미,여행/취미
서울미식 안내서/100 Taste of Seoul 2022 ,22,월간 바앤다이닝(Bar&Dining),워크컴퍼니,2022.09.30,"6,300",0,여행/취미,여행/취미
빈에서는 인생이 아름다워진다,23,박종호,김영사,2015.07.14 (종이책 출간 2015.07.13),"9,450",9.1,여행/취미,여행/취미
바람이 분다 당신이 좋다(체험판),24,이병률,달,2012.07.12,0,0,여행/취미,여행/취미
루어낚시 첫걸음  민물편,25,조홍식,예조원,2016.12.06 (종이책 출간 2010.05.25),"11,340",10,여행/취미,여행/취미
차프로의 쏙쏙 골프 레슨,26,차혁준,한솜미디어,2017.09.14 (종이책 출간 2016.06.07),"11,340",8.2,여행/취미,여행/취미
스포츠와 운동심리학,27,박정근,대한미디어,2016.05.04 (종이책 출간 2013.09.09),"9,000",0,여행/취미,여행/취미
저스트고 방콕(2018-2019),28,노소연,시공사,2019.04.30 (종이책 출간 2018.04.26),"9,000",10,여행/취미,여행/취미
도쿄 100배 즐기기(2019-2020),29,RHK 여행콘텐츠팀,알에이치코리아,2019.07.22 (종이책 출간 2019.04.15),"10,710",9.5,여행/취미,여행/취미
런던 100배 즐기기(18-19),30,김후영,알에이치코리아,2018.07.26 (종이책 출간 2018.06.18),"10,080",0,여행/취미,여행/취미
포에버 도그,31,로드니 하비브,코쿤북스,2022.09.05 (종이책 출간 2022.09.15),"15,750",10,여행/취미,여행/취미
제 마음대로 살아보겠습니다,32,이원지,상상출판,2019.12.13 (종이책 출간 2019.11.13),"7,668",9.8,여행/취미,여행/취미
뉴욕 셀프트래블(2019-2020),33,조은정,상상출판,2019.06.19 (종이책 출간 2019.04.16),"7,560",9.7,여행/취미,여행/취미
런던 셀프트래블(2019-2020),34,박정은,상상출판,2019.06.19 (종이책 출간 2019.04.03),"8,640",9.7,여행/취미,여행/취미
스위스 셀프트래블(2019-2020),35,맹현정,상상출판,2019.06.19 (종이책 출간 2019.04.01),"9,720",9.8,여행/취미,여행/취미
Total Tennis Solution,36,임지헌,메이킹북스,2022.04.08 (종이책 출간 2022.03.01),"47,250",10,여행/취미,여행/취미
푸켓 '패키지 여행'   비하인드 스토리 (진정한 바른 여행 TIP 대공개!),37,여행자클럽,유페이퍼,2017.01.19,"2,250",2.5,여행/취미,여행/취미
여행으로 먹고살기,38,김은지,왓북,2019.06.18 (종이책 출간 2019.04.15),"8,640",9.2,여행/취미,여행/취미
동남아 한 달 살기,39,천시내,포르체,2022.08.24 (종이책 출간 2022.08.24),"12,474",9.6,여행/취미,여행/취미
"텃밭, 주말농장 재배 가이드 - 잎들깨(깻잎)",40,도시농부,랜딩북스,2021.08.13,500,0,여행/취미,여행/취미
"텃밭DIY II, 천연비료 & 천연농약 만들기",41,유다경,시골생활,2016.03.15,"3,150",10,여행/취미,여행/취미
카지노 게임의 기술,42,미래컨텐츠창작연구소,21세기북스,2015.03.26,"1,980",7.5,여행/취미,여행/취미
도쿄! 스토리를 찾아 떠나는 미식 산책,43,이지성,이담북스,2020.04.24 (종이책 출간 2019.04.30),"9,720",10,여행/취미,여행/취미
런던 홀리데이(2019-2020),44,이정태,꿈의지도,2019.01.25 (종이책 출간 2018.11.22),"8,640",10,여행/취미,여행/취미
시나리오 어떻게 쓸 것인가 세트(전 2권),1,로버트 맥키,민음인,2019.02.27,"27,000",10,예술/대중문화,예술/대중문화
기생충 각본집 & 스토리보드북 세트,2,봉준호,플레인아카이브,2020.03.02 (종이책 출간 2019.10.21),"23,310",9.6,예술/대중문화,예술/대중문화
한계선을 넘다,3,크래프톤,황금가지,2022.11.28 (종이책 출간 2022.11.11),"16,200",10,예술/대중문화,예술/대중문화
스마트폰으로 사진 잘 찍는 책,4,유환준,정보문화사,2017.11.09 (종이책 출간 2017.10.20),"8,100",9.3,예술/대중문화,예술/대중문화
헤어질 결심 각본,5,정서경,을유문화사,2022.08.16 (종이책 출간 2022.08.05),"9,450",9.8,예술/대중문화,예술/대중문화
한국 대중음악사 개론,6,장유정.서병기,성안당,2016.06.16 (종이책 출간 2015.08.10),"15,750",8.9,예술/대중문화,예술/대중문화
시네마 리바이벌,7,조재휘,두두,2021.06.04 (종이책 출간 2020.09.13),"11,340",0,예술/대중문화,예술/대중문화
1일 1페이지 클래식 365,8,이채훈,사우,2021.02.09 (종이책 출간 2021.01.21),"11,340",9.2,예술/대중문화,예술/대중문화
태양,9,마에카와 도모히로,알마,2022.05.07 (종이책 출간 2021.09.23),"10,080",10,예술/대중문화,예술/대중문화
마크 레빈 재즈 피아노 보이싱,10,마크 레빈,태림스코어,2022.08.25 (종이책 출간 2022.02.28),"7,560",0,예술/대중문화,예술/대중문화
나의 해방일지 세트,11,박해영,오브제,2023.02.13 (종이책 출간 2023.01.30),"39,600",9.9,예술/대중문화,예술/대중문화
"나만의 도슨트, 오르세 미술관",12,서정욱,넥서스,2023.02.03 (종이책 출간 2023.01.25),"11,070",0,예술/대중문화,예술/대중문화
에우리피데스의 알케스티스,13,에우리피데스(Euripides),디즈비즈북스,2022.12.05,"6,750",0,예술/대중문화,예술/대중문화
한 번 더 피아노 앞으로,14,스티븐 허프,현암사,2022.11.10,"15,120",0,예술/대중문화,예술/대중문화
12마디 블루스 기타 워크북,15,박건태,토닉,2021.09.01,"15,300",0,예술/대중문화,예술/대중문화
"블루스 이야기 : 100년의 역사, 우리에게 어떤 영향을 끼쳤을까?",16,편집부,씨익북스,2019.08.11,"3,420",0,예술/대중문화,예술/대중문화
방구석 미술관,17,조원재,블랙피쉬,2018.09.05 (종이책 출간 2018.08.03),"9,900",9.5,예술/대중문화,예술/대중문화
너의 뒤에서 건네는 말,18,이샘,아트북스,2018.01.22 (종이책 출간 2017.05.15),"9,450",10,예술/대중문화,예술/대중문화
반 고흐를 좋아하는 사람이라면 꼭 알아야 할 32가지,19,최연욱,소울메이트,2016.05.09 (종이책 출간 2016.05.11),"8,100",9.7,예술/대중문화,예술/대중문화
브람스의 밤과 고흐의 별,20,김희경,한국경제신문,2022.04.11 (종이책 출간 2022.04.12),"12,096",9.4,예술/대중문화,예술/대중문화
나만의 그림책 만들기,21,슈니따,영진닷컴,2021.03.26 (종이책 출간 2019.07.19),"9,000",10,예술/대중문화,예술/대중문화
태도가 작품이 될 때,22,박보나,바다출판사,2022.05.31 (종이책 출간 2019.03.11),"9,900",9.5,예술/대중문화,예술/대중문화
인스타그램으로 웹툰 작가되기,23,이수경,보랏빛소,2019.12.23 (종이책 출간 2019.11.29),"8,100",7.9,예술/대중문화,예술/대중문화
스마트폰 감성사진의 모든 것,24,이윤정,유페이퍼,2021.12.06,"4,500",10,예술/대중문화,예술/대중문화
트로트 기타 리듬 vol.1,25,박민,유페이퍼,2021.10.24,"4,500",0,예술/대중문화,예술/대중문화
"좋아 보이는 것들의 비밀, 컬러(개정판)",26,김정해,길벗,2018.03.27 (종이책 출간 2018.02.28),"15,750",9.5,예술/대중문화,예술/대중문화
하루 한 장 아이패드 드로잉,27,보담(김보람),비타북스,2020.10.26 (종이책 출간 2020.08.20),"10,530",9.9,예술/대중문화,예술/대중문화
알케스티스,28,에우리피데스,지만지드라마,2020.12.22 (종이책 출간 2020.12.28),"10,656",0,예술/대중문화,예술/대중문화
윌리엄 모리스 노동과 미학,29,리타 테일러,좁쌀한알,2023.01.04 (종이책 출간 2018.09.20),"9,000",0,예술/대중문화,예술/대중문화
아무래도 그림을 사야겠습니다,30,손영옥,자음과모음,2020.11.24 (종이책 출간 2018.03.15),"10,620",9.2,예술/대중문화,예술/대중문화
모리스 예술론,31,윌리엄 모리스,필맥,2021.07.21 (종이책 출간 2020.12.30),"10,350",10,예술/대중문화,예술/대중문화
매일 풍경 드로잉,32,김형경,더디퍼런스,2019.08.05 (종이책 출간 2019.08.15),"8,100",8.8,예술/대중문화,예술/대중문화
매일 동물 드로잉,33,김형경,더디퍼런스,2017.08.25 (종이책 출간 2017.06.05),"9,000",0,예술/대중문화,예술/대중문화
김현경의 서양 음악사 산책,34,김현경,문학세계사,2017.07.27 (종이책 출간 2016.05.10),"9,000",8.8,예술/대중문화,예술/대중문화
폭풍이 지나가고,1,댄 야카리노,다봄,2022.11.28 (종이책 출간 2022.08.26),"11,340",9.8,유아,유아
우주에서 살아남기. 3,1,코믹컴,코믹컴,2019.04.22 (종이책 출간 2014.10.07),"7,056",9.3,아동,아동
배정원 교수의 십 대를 위한 자존감 성교육,2,배정원,김영사,2022.12.01 (종이책 출간 2022.12.01),"9,900",10,아동,아동
긴긴밤,3,루리,문학동네,2021.05.21 (종이책 출간 2021.02.03),"7,290",9.9,아동,아동
나 혼자 푼다! 수학 문장제 6학년 2학기,4,징검다리 교육연구소,이지스에듀,2020.12.10 (종이책 출간 2020.12.10),"4,950",8.7,아동,아동
거짓말 학원,5,신채연,잇츠북어린이,2021.09.06 (종이책 출간 2017.08.01),"8,064",9.8,아동,아동
초등코딩 엔트리 무작정 따라하기 (최신 버전 적용판),6,곽혜미,길벗,2022.08.19 (종이책 출간 2022.08.01),"11,340",9.3,아동,아동
십 년 가게 6: 수습생이 찾아왔습니다,7,히로시마 레이코,위즈덤하우스,2022.10.19 (종이책 출간 2022.08.31),"8,190",10,아동,아동
슈퍼카(Super Car) 속이 보이네,8,김필수,주니어골든벨,2015.12.10 (종이책 출간 2015.06.01),"6,300",10,아동,아동
다문화 백과사전,9,채인선,한권의책,2014.02.06 (종이책 출간 2012.10.23),"8,820",9.7,아동,아동
지진에서 살아남기,10,코믹컴,코믹컴,2019.04.22 (종이책 출간 2014.07.16),"7,056",9.9,아동,아동
그리스 로마 신화. 6: 디오뉘소스,11,홍은영,마므레북,2010.03.24 (종이책 출간 2009.04.16),"4,860",9.4,아동,아동
뉴초딩아우성,12,구성애,올리브엠앤비,2011.08.30 (종이책 출간 2011.01.15),"8,100",9.4,아동,아동
교과서와 함께 보는 어린이 사회사전,13,오픈키드어린이사전편찬위원회,열린어린이,2014.05.12 (종이책 출간 2005.09.15),"1,800",10,아동,아동
서라벌의 꿈,14,배유안,푸른숲주니어,2013.09.30 (종이책 출간 2012.08.09),"6,615",10,아동,아동
매직과학실험 115가지,15,윤실,전파과학사,2013.05.07 (종이책 출간 2005.10.05),"7,560",0,아동,아동
"조선 왕의 모든 것을 담은 기록, 조선왕조실록",16,안미란,개암나무,2021.08.30 (종이책 출간 2021.04.19),"6,930",10,아동,아동
쯩자매,17,김은희,북스,2015.07.03 (종이책 출간 2012.10.15),"6,174",7.5,아동,아동
내 가슴에 해마가 산다,18,김려령,문학동네,2011.09.27 (종이책 출간 2007.10.26),"7,290",9.7,아동,아동
언플러그드 놀이. 2,19,신갑천,영진닷컴,2019.01.23 (종이책 출간 2017.01.23),"6,300",7.5,아동,아동
백두공주와 백 장수,20,임정자,놀궁리,2022.06.02 (종이책 출간 2021.01.30),"7,560",0,아동,아동
나는 스마트헬스케어 전문가가 될 거야!,21,손지숙,국일아이,2021.08.25 (종이책 출간 2021.05.25),"8,070",9.8,아동,아동
초등학생을 위한 좋은 심리 습관. 4: 적극적인 아이,22,샤오허 심리연구소,오렌지연필,2022.04.11 (종이책 출간 2022.03.25),"8,190",0,아동,아동
전사들 예언의 시작. 6: 짙은 어둠의 시간,23,에린 헌터,가람어린이,2020.05.22 (종이책 출간 2019.07.10),"8,190",9.9,아동,아동
퍼시 잭슨과 올림포스의 신. 10  진정한 영웅,24,릭 라이어던,한솔수북,2014.05.14 (종이책 출간 2014.03.03),"6,300",9.7,아동,아동
"도그맨 3: 도그맨, 두 고양이 이야기",25,대브 필키,위즈덤하우스,2022.08.31 (종이책 출간 2022.07.08),"9,960",9.9,아동,아동
이상한 과자 가게 전천당 1,26,히로시마 레이코,길벗스쿨,2020.12.22 (종이책 출간 2019.07.05),"8,640",9.6,아동,아동
지역 이기주의 님비 현상,27,노지영,뭉치,2021.05.17 (종이책 출간 2020.09.01),"8,190",8.5,아동,아동
바쁜 초등학생을 위한 빠른 약수와 배수,28,징검다리 교육연구소,이지스에듀,2021.12.30 (종이책 출간 2022.01.05),"6,300",9.7,아동,아동
맛있는 자연 공부,29,김기명,현북스,2021.05.18 (종이책 출간 2020.10.05),"7,560",10,아동,아동
고구려 : 찬란했던 700년 역사 (개정판)-주춧돌01,30,이이화,사파리,2020.05.26 (종이책 출간 2016.01.25),"6,030",0,아동,아동
바쁜 초등학생을 위한 빠른 비와 비례,31,징검다리 교육연구소,출판사없음,2022.09.20,"6,750",0,아동,아동
헝겊 토끼,32,마저리 윌리엄스,마름쇠,2021.06.20,"1,800",10,아동,아동
유전자 조작 반려동물 뭉치,33,김해우,책과콩나무,2020.11.23 (종이책 출간 2019.11.30),"7,560",10,아동,아동
공학은 세상을 어떻게 바꾸었을까?,34,황진규,나무생각,2017.04.11 (종이책 출간 2017.04.03),"8,190",9.7,아동,아동
곰브리치 세계사,1,에른스트 H. 곰브리치,비룡소,2018.09.13 (종이책 출간 2010.08.13),"10,710",9.5,청소년,청소년
시간을 파는 상점. 2: 너를 위한 시간,2,김선영,자음과모음,2019.09.20 (종이책 출간 2019.09.25),"7,875",8.8,청소년,청소년
이런 공부법은 처음이야,3,신종호,21세기북스,2023.02.15 (종이책 출간 2023.02.15),"12,816",10,청소년,청소년
소크라테스의 변명:진리를 위해 죽다,4,안광복,사계절,2017.09.11 (종이책 출간 2004.03.15),"8,640",9.3,청소년,청소년
메타버스에선 무슨 일이 일어날까?,5,이동은,이지북,2022.09.06 (종이책 출간 2022.03.28),"8,190",10,청소년,청소년
이런 수학은 처음이야 3,6,최영기,21세기북스,2022.07.15 (종이책 출간 2022.07.13),"11,376",9.7,청소년,청소년
밀레니얼 칠드런,7,장은선,비룡소,2021.04.12 (종이책 출간 2014.11.21),"6,930",9.4,청소년,청소년
기억 전달자,8,로이스 로리,비룡소,2008.07.09 (종이책 출간 2007.05.18),"5,985",9.6,청소년,청소년
"알로하, 나의 엄마들",9,이금이,창비,2020.03.26 (종이책 출간 2020.03.25),"9,324",9.8,청소년,청소년
우아한 거짓말,10,김려령,창비,2014.10.17 (종이책 출간 2014.02.20),"8,694",9.5,청소년,청소년
도리언 그레이의 초상,11,오스카 와일드,신원문화사,2007.12.05 (종이책 출간 2007.07.30),"3,060",10,청소년,청소년
시간을 건너는 집,12,김하연,특별한서재,2020.12.08 (종이책 출간 2020.11.25),"7,830",9.7,청소년,청소년
