제목,저자,출판사,발매일,가격,평점,장르
자소서 바이블 2.0,면접왕 이형,엔알디3,2022.09.06 (종이책 출간 2022.08.25),"15,147원",9.9,자기계발
1퍼센트 부자의 법칙,사이토 히토리,나비스쿨,2023.02.06 (종이책 출간 2023.01.30),"10,800원",10,자기계발
악마의 연애술,나비,새움,2010.03.30 (종이책 출간 2010.03.30),"6,480원",7.2,자기계발
데일 카네기 인간관계론,데일 카네기,현대지성,2019.10.25 (종이책 출간 2019.10.07),"4,950원",9.5,자기계발
나폴레온 힐 성공의 법칙 1,나폴레온 힐,페이지2북스,2023.01.30 (종이책 출간 2023.01.30),"12,600원",10,자기계발
무조건 합격하는 암기의 기술,이윤규,더퀘스트,2023.01.26 (종이책 출간 2023.01.11),"13,536원",9.7,자기계발
신경 끄기 연습,나이토 요시히토,유노책주,2023.01.02 (종이책 출간 2023.01.02),"10,800원",9.9,자기계발
Give and Take(기브앤테이크),애덤 그랜트,생각연구소,2013.12.13 (종이책 출간 2013.06.07),"10,080원",9.7,자기계발
10배의 법칙,그랜트 카돈,부키,2022.04.01 (종이책 출간 2022.03.30),"10,800원",9.7,자기계발
마지막 몰입: 나를 넘어서는 힘,짐 퀵,비즈니스북스,2021.02.18 (종이책 출간 2021.02.23),"10,584원",9.4,자기계발
웰씽킹,켈리 최,다산북스,2021.11.12 (종이책 출간 2021.11.10),"10,080원",9.7,자기계발
쉽게 이해하고 실천하는 생애설계 길라잡이_최승훈 소장의 행복한 생애설계 이야기,최승훈,아웃소싱타임스,2023.02.17,"7,200원",0,자기계발
브레이킹 당신이라는 습관을 깨라,조 디스펜자,샨티,2023.02.11 (종이책 출간 2021.07.26),"18,000원",9,자기계발
당신의 뇌는 변화가 필요합니다,가비아 톨리키타,비즈니스북스,2022.12.20 (종이책 출간 2022.12.20),"10,584원",10,자기계발
설득의 심리학 1-3,로버트 치알디니,21세기북스,2015.06.09,"23,184원",9.8,자기계발
몰입,황농문,알에이치코리아,2008.01.11 (종이책 출간 2007.12.10),"7,560원",8.7,자기계발
보도 섀퍼 부의 레버리지,보도 섀퍼,비즈니스북스,2023.02.07 (종이책 출간 2023.02.07),"11,025원",10,자기계발
파워 오브 펀,캐서린 프라이스,한국경제신문,2023.01.19 (종이책 출간 2023.01.19),"12,960원",9.8,자기계발
부는 어디서 오는가,월리스 와틀스,포레스트북스,2022.12.25 (종이책 출간 2022.12.24),"9,450원",9.5,자기계발
조셉 머피 부의 초월자,조셉 머피,다산북스,2022.10.21 (종이책 출간 2022.10.19),"13,860원",9.8,자기계발
네 가지 질문,바이런 케이티,침묵의향기,2020.02.07 (종이책 출간 2013.09.17),"9,450원",10,자기계발
비움 효과,최현아,문예춘추사,2021.01.18 (종이책 출간 2021.02.15),"8,100원",9.4,자기계발
리얼리티 트랜서핑. 3,바딤 젤란드,정신세계사,2013.09.30 (종이책 출간 2009.05.15),"6,930원",9.6,자기계발
직장인에서 직업인으로,김호,김영사,2020.06.18 (종이책 출간 2020.06.01),"9,270원",9.8,자기계발
회복탄력성(15만부 기념 리커버),김주환,위즈덤하우스,2019.04.08 (종이책 출간 2019.03.29),"9,324원",9.3,자기계발
말더듬을 고치고 내 인생이 달라졌다,임유정,원앤원북스,2020.12.17 (종이책 출간 2020.12.15),"8,100원",9.8,자기계발
아주 작은 습관의 힘,제임스 클리어,비즈니스북스,2019.02.20 (종이책 출간 2019.02.26),"10,080원",9.6,자기계발
그릿(50만부 판매 기념 리커버 골드에디션),앤절라 더크워스,비즈니스북스,2019.02.15 (종이책 출간 2019.02.20),"11,340원",9.6,자기계발
폴리매스,와카스 아메드,안드로메디안,2020.09.29 (종이책 출간 2020.09.29),"11,700원",8.9,자기계발
명상과 함께 하는 삶,김지나,스노우폭스북스,2023.02.10 (종이책 출간 2023.01.18),"10,395원",10,자기계발
하버드 첫 강의 시간관리 수업(특별판 리커버 에디션),쉬셴장,리드리드출판,2023.03.10 (종이책 출간 2023.03.10),"11,214원",9.1,자기계발
모든 것이 괜찮아지는 기술,데런 브라운,너를위한,2023.01.11,"11,070원",10,자기계발
머릿속 생각을 제대로 말하는 법,마둥,시그마북스,2018.01.25 (종이책 출간 2018.01.15),"9,000원",8.4,자기계발
권력의 법칙,로버트 그린,웅진지식하우스,2014.11.03 (종이책 출간 2009.03.02),"12,600원",9.5,자기계발
데일 카네기 자기관리론(1948년 초판 완역본),데일 카네기,현대지성,2021.01.13 (종이책 출간 2021.01.13),"4,950원",9.7,자기계발
타이탄의 도구들,팀 페리스,토네이도,2017.04.03 (종이책 출간 2017.04.03),"12,960원",9.5,자기계발
콰이어트 모닝,추현호,클레이하우스,2023.02.01 (종이책 출간 2023.02.01),"10,350원",9.7,자기계발
특별한 마음을 위한 심리학,야오야오,미디어숲,2023.03.10 (종이책 출간 2023.03.10),"10,584원",9.9,자기계발
적당히 느슨하게 조금씩 행복해지는 습관,바쿠@정신과의,부키,2023.01.24 (종이책 출간 2023.01.11),"10,350원",9.8,자기계발
80세의 벽,"와다 히데키 저,김동연 역",한즈미디어,2022.12.20 (종이책 출간 2022.12.21),"9,990원",10,자기계발
오해받기도 이해하기도 지친 당신을 위한 책,황유선,다반,2022.12.07 (종이책 출간 2022.12.15),"9,000원",10,자기계발
반항의 기술,러비 아자이 존스,온워드,2022.12.01 (종이책 출간 2022.12.01),"10,710원",9.7,자기계발
