제목,저자,출판사,발매일,가격,평점,장르
예민한 아이를 위한 부모 수업,일레인 N. 아론,웅진지식하우스,2022.10.20 (종이책 출간 2022.10.11),"11,340원",10,가정/생활/요리
에어프라이어 119 레시피 미니책자,문성실,상상출판,2019.08.12,90원,8.4,가정/생활/요리
내 아이의 미래를 위한 키워드 정서지능,김윤희,세종미디어,2011.07.15 (종이책 출간 2011.05.07),"5,400원",9,가정/생활/요리
채식요리 185가지,낸시 메어,아라크네,2013.04.05 (종이책 출간 2011.05.06),"5,400원",10,가정/생활/요리
술 이야기,이종기,다할미디어,2010.01.19 (종이책 출간 2009.12.10),"6,120원",10,가정/생활/요리
엄마가 절대 모르는 아들의 사춘기,박형란,미래문화사,2020.04.24 (종이책 출간 2020.01.15),"8,100원",9.3,가정/생활/요리
유아식 레시피북,BLW연구소,경향BP,2022.01.26 (종이책 출간 2021.03.03),"11,880원",9.9,가정/생활/요리
영혼이 강한 아이로 키워라,조선미,쌤앤파커스,2017.06.14 (종이책 출간 2013.05.24),"8,820원",9.6,가정/생활/요리
내 아이 생각을 키우는 그림책 하브루타,김정해,경향미디어,2021.05.04 (종이책 출간 2020.12.16),"9,360원",9.2,가정/생활/요리
포도에서 와인으로,이석인,시대의창,2022.08.30 (종이책 출간 2022.05.02),"9,900원",10,가정/생활/요리
프랑스 아이처럼,파멜라 드러커맨,북하이브,2013.05.13 (종이책 출간 2013.03.20),"9,000원",9.7,가정/생활/요리
라임맘의 실패 없는 아이주도 이유식 & 유아식,라임맘 옥한나,중앙북스,2021.07.22 (종이책 출간 2021.05.17),"18,000원",9.9,가정/생활/요리
문해력 수업,전병규(콩나물쌤),알에이치코리아,2021.09.08 (종이책 출간 2021.07.23),"10,080원",10,가정/생활/요리
맛있고 따뜻한 한비네 부엌,이현정,알에이치코리아,2015.11.17 (종이책 출간 2015.11.10),"11,340원",9.1,가정/생활/요리
디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,미니 박지우,빅피시,2021.07.14 (종이책 출간 2021.06.07),"11,655원",9.9,가정/생활/요리
튼이 이유식,정주희,서사원,2019.11.27 (종이책 출간 2019.01.03),"16,650원",9.8,가정/생활/요리
최고의 유아 밥상,서정호,북스고,2019.01.18 (종이책 출간 2018.08.30),"9,900원",9,가정/생활/요리
아이주도 이유식 유아식 매뉴얼 세트,BLW 연구소,아퍼블리싱,2021.10.27 (종이책 출간 2021.08.31),"16,200원",9.7,가정/생활/요리
아이를 사랑하는 일,오카와 시게코,라이프앤페이지,2021.04.12 (종이책 출간 2021.03.23),"9,450원",9.9,가정/생활/요리
통곡 없이 잠 잘 자는 아기의 비밀,곽윤철,북라이프,2021.08.23 (종이책 출간 2021.08.24),"9,954원",9.9,가정/생활/요리
금지하지 않고 행동 수정하는 ABA 육아법 (문제행동편),이노우에 마사히코,마음책방,2021.01.22 (종이책 출간 2020.12.10),"12,474원",9.7,가정/생활/요리
하루 5분 뇌태교 동화,정홍,위즈덤하우스,2020.05.18 (종이책 출간 2020.04.27),"11,340원",9.8,가정/생활/요리
"매일 써먹는, 1일 1문장 엄마표 생활영어",고윤경,위즈덤하우스,2020.03.16 (종이책 출간 2020.02.27),"9,450원",10,가정/생활/요리
Super Easy English(슈퍼 이지 잉글리시),김종수,라온북,2021.05.28 (종이책 출간 2020.01.07),"9,900원",9.4,가정/생활/요리
영유아 몬테소리 육아대백과,시모네 데이비스,키출판사,2019.12.23 (종이책 출간 2019.12.17),"10,080원",9.8,가정/생활/요리
하루 5분 탈무드 태교 동화,정홍,위즈덤하우스,2017.06.16 (종이책 출간 2017.06.05),"10,710원",9.6,가정/생활/요리
"하루 10분, 엄마놀이",이임숙,카시오페아,2021.07.23 (종이책 출간 2016.03.21),"7,200원",9.2,가정/생활/요리
증류주개론,이종기,진한엠앤비,2016.12.20 (종이책 출간 2016.10.26),"18,900원",8.8,가정/생활/요리
자연주의 이유식,김수현,넥서스BOOKS,2021.03.23 (종이책 출간 2021.03.15),"10,080원",10,가정/생활/요리
배움이 느린 아이들,김영훈,시공사,2022.06.09 (종이책 출간 2022.03.22),"10,710원",9.8,가정/생활/요리
한 달에 7kg 빠지는 다이어트 레시피,송혜영(욜로리아),길벗,2021.03.27 (종이책 출간 2021.03.22),"9,954원",9.1,가정/생활/요리
만원으로 일주일 반찬 만들기,송혜영,길벗,2020.07.08 (종이책 출간 2020.06.09),"9,072원",9.9,가정/생활/요리
영어책 읽기의 힘,고광윤,길벗,2020.02.26 (종이책 출간 2020.02.05),"12,474원",9.4,가정/생활/요리
엄마들만 아는 세계,정우열,서랍의날씨,2021.04.26 (종이책 출간 2021.04.22),"9,000원",10,가정/생활/요리
주말엔 옷장 정리,이문연,휴머니스트,2020.07.09 (종이책 출간 2018.11.20),"7,245원",10,가정/생활/요리
프랑스 영재 교육법,올리비에 르볼,로그인,2017.03.10 (종이책 출간 2017.03.10),"8,190원",0,가정/생활/요리
3540 임신출산의 모든 것,김영아,길벗,2017.06.09 (종이책 출간 2017.03.20),"11,340원",8.3,가정/생활/요리
스콘 수업,권향미,싸이프레스,2020.01.02 (종이책 출간 2019.04.01),"9,450원",9.3,가정/생활/요리
엄마표 책 육아,지에스더,미디어숲,2020.03.30 (종이책 출간 2020.04.07),"9,324원",10,가정/생활/요리
한 그릇 베스트 다이어트 레시피 100,최희정,비타북스,2019.07.24 (종이책 출간 2019.04.20),"9,450원",9.2,가정/생활/요리
0~6세 똑소리나는 놀이백과,이민주,시대인,2022.06.17 (종이책 출간 2022.06.20),"10,080원",8.9,가정/생활/요리
민주선생님’s 똑소리나는 육아: 우리 아이 훈육편,이민주,시대인,2021.04.15 (종이책 출간 2021.04.30),"9,450원",9.7,가정/생활/요리
마늘이 다한 요리,김봉경,이덴슬리벨,2021.07.01 (종이책 출간 2021.05.10),"9,770원",10,가정/생활/요리
내 강아지 마음 상담소,강형욱,혜다,2020.02.03 (종이책 출간 2019.11.15),"11,988원",9.8,여행/취미
신화는 수메르에서 시작되었다,김산해,가람기획,2006.07.13 (종이책 출간 2003.06.16),"7,020원",8.8,여행/취미
카밍 시그널(Calming Signals),투리드 루가스,혜다,2018.11.06 (종이책 출간 2018.05.18),"11,988원",9.3,여행/취미
리얼 오사카(2023~2024),황성민,한빛라이프,2022.12.12 (종이책 출간 2022.12.12),"13,500원",0,여행/취미
프랑스 와인 여행(2022~2023),엄정선,꿈의지도,2021.08.18 (종이책 출간 2021.09.01),"9,720원",9.2,여행/취미
리얼 괌(2022~2023),민정아,한빛라이프,2022.03.15 (종이책 출간 2022.03.02),"12,240원",8.8,여행/취미
도쿄 셀프트래블(2019-2020),한혜원,상상출판,2019.01.14 (종이책 출간 2019.01.02),"7,290원",9.1,여행/취미
"여행, 살아보는 거야",맹선아,리얼북스,2017.09.21 (종이책 출간 2017.06.21),"9,900원",7.5,여행/취미
무작정 따라하기 타이베이·타이완 북부,이진경,길벗,2019.09.17 (종이책 출간 2019.09.02),"11,880원",9.3,여행/취미
스포츠심리학의 정석 개정판,김병준,레인보우북스,2023.01.01,"18,000원",0,여행/취미
인조이 파리(2023),김지선,넥서스BOOKS,2022.11.30,"11,340원",0,여행/취미
치앙마이 홀리데이(2023~2024),박애진,꿈의지도,2022.11.20 (종이책 출간 2022.11.20),"9,720원",10,여행/취미
퍼스트 이탈리아 - 처음 떠나는 해외여행 22,정기범,시공사,2016.03.03,"1,350원",0,여행/취미
힐링 보트 피스보트 1,이채이,엔블록,2013.04.28,"3,150원",0,여행/취미
처음 배우는 골프,우에무라 케이타,싸이프레스,2020.08.26 (종이책 출간 2011.02.17),"13,500원",9.4,여행/취미
종이오리기 백과,구마다 마리,아르고나인,2011.11.01 (종이책 출간 2010.09.20),"7,020원",0,여행/취미
제주 오름 여행   제주의 속살로 떠나는 특별한 감성 여행,김다니엘,북카라반,2016.09.10 (종이책 출간 2016.05.06),"9,450원",8.9,여행/취미
목공 짜맞춤 설계 교과서,테리 놀,보누스,2022.07.15 (종이책 출간 2022.07.15),"18,000원",9.2,여행/취미
대한민국 해안도로 여행지,이혁주,성하books,2013.04.16 (종이책 출간 2013.03.15),"8,460원",8.8,여행/취미
벤 호건 골프의 기본,벤 호건,한국경제신문,2022.03.23 (종이책 출간 2022.03.10),"14,400원",10,여행/취미
맨투맨바둑교실,김진섭 편,성안당,1993.11.01,"2,520원",9.6,여행/취미
이탈리아 100배 즐기기(19-20),홍수연,알에이치코리아,2019.07.24 (종이책 출간 2019.07.05),"11,970원",9.8,여행/취미
나고야 100배 즐기기(19-20),RHK 여행콘텐츠팀,알에이치코리아,2019.01.15 (종이책 출간 2018.11.28),"9,450원",9.9,여행/취미
김대리의 쉽게 뜨는 요즘 니트,바늘이야기 김대리,웅진리빙하우스,2022.01.03 (종이책 출간 2021.12.23),"12,420원",9.4,여행/취미
럭키 타로북,레이철 폴락,재미주의,2018.01.08 (종이책 출간 2017.12.28),"9,000원",8.9,여행/취미
영화 속 뉴욕 산책,정윤주,hummingbird,2022.08.10 (종이책 출간 2022.08.05),"11,214원",8.9,여행/취미
방구석에서 먼저 떠나는 이집트 여행,최돈근,피서산장,2021.04.09 (종이책 출간 2021.01.27),"10,800원",10,여행/취미
나의 보스턴 이야기,뎐,책내다,2022.02.11,"4,500원",9.4,여행/취미
스포츠토토 바이블,장은석,아티오,2021.02.15 (종이책 출간 2021.02.10),"13,860원",6.3,여행/취미
제 마음대로 살아보겠습니다,이원지,상상출판,2019.12.13 (종이책 출간 2019.11.13),"7,668원",9.6,여행/취미
태권도 실전 손기술,엄재영,애니빅,2020.09.16 (종이책 출간 2017.04.28),"18,000원",6.3,여행/취미
이탈리아 자동차 여행(2022~2023),이정운,꿈의지도,2022.06.24 (종이책 출간 2022.07.01),"9,900원",9.6,여행/취미
지금 런던(2022),맹지나,플래닝북스,2022.08.25 (종이책 출간 2022.08.25),"10,080원",9.5,여행/취미
무작정 따라하기 도쿄,정숙영,길벗,2019.05.27 (종이책 출간 2019.05.15),"11,880원",9.7,여행/취미
생각하는 퍼팅,이종원,좋은땅,2016.05.13 (종이책 출간 2016.04.08),"8,100원",10,여행/취미
레이스 데이터 분석의 기초,조순호,골든벨,2021.01.26 (종이책 출간 2017.09.11),"23,400원",7.5,여행/취미
핵심만 추린 목공 스케치업,데이비드 하임,씨아이알,2020.03.06 (종이책 출간 2020.02.25),"9,450원",7.7,여행/취미
하이브리드 목공,Marc Spagnuolo,씨아이알,2018.02.12 (종이책 출간 2016.02.03),"9,900원",9.4,여행/취미
[무료] 나 홀로 유럽. 1: 프롤로그,백원달,더플래닛,2022.12.01,0원,0,여행/취미
펠릭스 우푸에부와니 국립대 아프리카 꽃대궐 (아비장 코코디 국립대학),선미라,미디어북,2021.12.10,"3,510원",0,여행/취미
개정판│Check in 후쿠오카·다자이후·유후인: 스마트한 여행 가이드북(2018~2019),TravelStory Team,스토리클래스,2018.12.05,"4,050원",10,여행/취미
후쿠오카·유후인·벳푸 3박4일 일본자유여행,양재호,이클래스마켓,2017.08.07,"3,600원",7.5,여행/취미
클로즈업 후쿠오카(2019),유재우,에디터,2018.09.17 (종이책 출간 2018.09.21),"8,730원",9.5,여행/취미
리얼 뉴질랜드(2022~2023년),박선영,한빛라이프,2022.10.17 (종이책 출간 2022.06.23),"14,400원",10,여행/취미
포에버 도그,로드니 하비브,코쿤북스,2022.09.05 (종이책 출간 2022.09.15),"15,750원",10,여행/취미
꽃의 유혹,홍순희,e퍼플,2023.02.10,"4,500원",10,예술/대중문화
클래식 클라스,이인현,북오션,2021.08.19 (종이책 출간 2021.01.21),"9,000원",7.5,예술/대중문화
헤어질 결심 각본,정서경,을유문화사,2022.08.16 (종이책 출간 2022.08.05),"9,450원",9.8,예술/대중문화
재즈피아노 독학 가이드북 2: 장르별 연주법,박주언(박터틀),1458music,2022.05.30 (종이책 출간 2021.11.25),"16,650원",10,예술/대중문화
"좋아 보이는 것들의 비밀, 공간 디자인   인간과 동선, 삶이 녹아드는 공간 그리고 디자인",김석훈,길벗,2015.12.22 (종이책 출간 2015.11.20),"17,010원",8.9,예술/대중문화
우리들의 블루스 2,노희경,북로그컴퍼니,2022.07.22 (종이책 출간 2022.07.15),"13,860원",10,예술/대중문화
현대미술 키워드 1,진휘연,헥사곤,2023.01.01 (종이책 출간 2022.10.05),"14,400원",0,예술/대중문화
한국 근현대미술의 미의식에 대하여,이주영,미술문화,2022.12.20 (종이책 출간 2020.02.12),"13,500원",0,예술/대중문화
"예술, 과학과 만나다",홍성욱,이학사,2016.10.17 (종이책 출간 2007.12.31),"8,190원",0,예술/대중문화
한국 대중음악사 개론,장유정.서병기,성안당,2016.06.16 (종이책 출간 2015.08.10),"15,750원",8.9,예술/대중문화
일산오빠의 실용음악 시창 청음,윤영준,1458music,2021.05.27 (종이책 출간 2017.11.11),"13,320원",9.2,예술/대중문화
아티스트를 위한 인체 드로잉,크리스 레가스피,시그마북스,2020.10.07 (종이책 출간 2020.10.05),"12,600원",9.5,예술/대중문화
사토리얼리스트 맨,스콧 슈만,윌북,2021.05.10 (종이책 출간 2021.04.20),"18,000원",9.1,예술/대중문화
알레그로 모음집 1.,김은수,한나사운드,2022.12.31,"10,800원",0,예술/대중문화
안소연의 성우되는 법,안소연,시대인,2023.05.15 (종이책 출간 2023.05.15),"10,080원",10,예술/대중문화
한계선을 넘다,크래프톤,황금가지,2022.11.28 (종이책 출간 2022.11.11),"16,200원",10,예술/대중문화
22개 키워드로 보는 현대미술,양은희,키메이커,2017.02.24,"13,500원",8.4,예술/대중문화
"내 손 안의 미술관, 메리 카사트",김정일,피치플럼,2020.06.02,"1,800원",0,예술/대중문화
길버트의 드로잉 연습 예제,길버트,스토리클래스,2018.02.22,"2,700원",10,예술/대중문화
기초조형,김형석,아르떼,2014.09.19 (종이책 출간 2014.08.20),"11,340원",8.4,예술/대중문화
거짓말. 1,노희경,북로그컴퍼니,2010.06.21 (종이책 출간 2010.02.22),"10,800원",10,예술/대중문화
교방가요,정현석,온이퍼브,2014.09.17,"9,000원",0,예술/대중문화
방구석 미술관,조원재,블랙피쉬,2018.09.05 (종이책 출간 2018.08.03),"9,900원",9.5,예술/대중문화
뮤직 테크놀로지의 이해,박재록,음악세계,2015.09.17 (종이책 출간 2015.02.25),"11,700원",9,예술/대중문화
매력전쟁시대 창조예술로 plus 하라,태진미,생각나눔,2011.08.23 (종이책 출간 2011.08.01),"10,800원",10,예술/대중문화
스트리트 댄스,김상우,좋은땅,2012.08.30 (종이책 출간 2012.08.13),"10,800원",10,예술/대중문화
런던 일러스트 수업,박상희,아트북스,2014.09.30 (종이책 출간 2010.07.16),"12,150원",8.8,예술/대중문화
햄릿,셰익스피어,민음사,2013.02.22 (종이책 출간 1998.08.05),"4,410원",8.5,예술/대중문화
맥베스,셰익스피어,민음사,2013.02.25 (종이책 출간 1997.05.25),"4,410원",9.4,예술/대중문화
"통찰, 현대대중문화와 예술",김춘규,알에이치코리아,2021.12.02 (종이책 출간 2021.02.28),"11,340원",0,예술/대중문화
명화로 보는 꽃과 나무 이야기,이광만,나무와문화연구소,2021.11.03 (종이책 출간 2021.10.06),"9,900원",0,예술/대중문화
디자인 레시피 표지 디자인,달꽃 편집부,달꽃,2021.08.19 (종이책 출간 2020.09.21),"13,500원",9.1,예술/대중문화
한씨연대기,김석만,지만지드라마,2014.04.14 (종이책 출간 2014.02.13),"7,740원",0,예술/대중문화
빈센트 반 고흐,토지편집부,토지,2022.08.29,900원,0,예술/대중문화
르누아르,토지편집부,토지,2020.08.29,900원,0,예술/대중문화
한 권으로 배우는 음악 이야기,전기홍,상상출판,2021.08.13 (종이책 출간 2021.03.10),"10,395원",10,예술/대중문화
일산오빠의 실용음악 기초이론. 2,윤영준,1458music,2021.05.27 (종이책 출간 2015.09.18),"13,320원",9.4,예술/대중문화
베리는 알록달록 아이스크림 가게 사장님,송다감,원데이북,2023.02.20,"2,700원",10,유아
베싸육아,박정은,래디시,2023.01.31 (종이책 출간 2023.01.18),"13,860원",9.1,유아
"반은 늑대, 반은 양, 마음만은 온전히 하나인 울프",알렉스 라티머,소원나무,2019.02.21 (종이책 출간 2017.06.20),"7,200원",10,유아
그리스 로마 신화. 6: 디오뉘소스,홍은영,마므레북,2010.03.24 (종이책 출간 2009.04.16),"4,860원",9.4,아동
곤충세계에서 살아남기. 3,코믹컴,코믹컴,2019.04.22 (종이책 출간 2013.11.21),"7,056원",8.5,아동
마가리타 27호,양승채,다다북스,2023.01.20,"4,500원",0,아동
21세기 우리나라 좋은나라(서울),김 승민외,글수레,2014.01.14 (종이책 출간 2006.05.05),"5,130원",0,아동
톨스토이 동화,톨스토이,이북코리아,2010.08.05,"1,350원",0,아동
뉴초딩아우성,구성애,올리브엠앤비,2011.08.30 (종이책 출간 2011.01.15),"8,100원",9.4,아동
"안녕, 우주",에린 엔트라다 켈리,밝은미래,2018.11.08 (종이책 출간 2018.09.12),"9,000원",10,아동
어린이 패턴 영어회화,문호준,좋은글,2007.12.07 (종이책 출간 2006.07.05),"9,324원",10,아동
기묘한 분식집,박현숙,한솔수북,2022.05.30 (종이책 출간 2022.03.11),"9,360원",10,아동
돼지들의 모험,김정근,다다북스,2023.01.10,"4,500원",0,아동
상상력 쑥쑥! 판타지 전래동화 - 우렁각시의 전설,구자은,이프로엔터테인먼트,2023.01.26,"7,200원",0,아동
머니 아이큐(Money I.Q),샌디 도노반,초록개구리,2022.09.30 (종이책 출간 2017.09.20),"6,930원",0,아동
응답하라! 2009 낡은 일기장,정보향,크랩북스,2022.12.19,"4,500원",10,아동
참 쉬운 초등 입학 준비,박나정,유페이퍼,2022.11.08,"10,800원",0,아동
십 년 가게 6: 수습생이 찾아왔습니다,히로시마 레이코,위즈덤하우스,2022.10.19 (종이책 출간 2022.08.31),"8,190원",10,아동
그림 쏙 사진 쏙 세계사 - 악화는 양화를 구축한다│그레셤의 법칙,히스트,가람누리,2022.01.14,180원,0,아동
쥐의 결혼식 (세계민화 아프리카편),편집부,이북코리아,2010.07.29,"1,350원",0,아동
통문장 영어동화 50,김선아,채운어린이,2010.07.31 (종이책 출간 2010.07.20),"5,940원",9.8,아동
아름다운 아이,R. J. 팔라시오,책과콩나무,2020.08.12 (종이책 출간 2012.10.10),"8,190원",9.8,아동
오월의 달리기,김해원,푸른숲주니어,2015.01.15 (종이책 출간 2013.05.18),"6,570원",9.6,아동
두 국가를 세운 여장부 소서노,김은희,북스,2015.07.03 (종이책 출간 2012.08.13),"6,174원",0,아동
공부가 되는 세계사. 3: 근현대,글공작소,아름다운사람들,2014.12.10 (종이책 출간 2013.05.03),"11,880원",9.8,아동
재미있는 미생물과 감염병 이야기,천명선,가나출판사,2016.12.13 (종이책 출간 2014.01.10),"7,560원",8.9,아동
천체: 빛나는 내 친구야,조상호,꿈소담이,2009.08.18 (종이책 출간 2004.01.03),"6,480원",0,아동
나를 똑똑하게 만드는 좋은습관 나를 바보로 만드는 나쁜습관,오수진,글송이,2010.09.30 (종이책 출간 2007.06.05),"4,050원",0,아동
긴긴밤,루리,문학동네,2021.05.21 (종이책 출간 2021.02.03),"7,290원",9.9,아동
춘향전(만화로 보는 우리고전 5),홍성국,능인(NIBOOK),2007.08.12 (종이책 출간 2003.07.10),"3,375원",0,아동
탱크 만들기,편집부 편,해문출판사,2016.03.03 (종이책 출간 1990.02.01),"6,120원",10,아동
장발장,빅토르 위고,지경사,2014.01.06 (종이책 출간 2010.07.27),"3,510원",9.6,아동
요정 이야기,이명선,지경사,2007.04.05 (종이책 출간 2001.12.15),"4,320원",10,아동
콩쥐 팥쥐,정의명,예림당,2007.10.11 (종이책 출간 2006.12.20),"3,150원",10,아동
초등 놀이 코딩,카인 뉘고츠,마음이음,2021.05.17 (종이책 출간 2019.10.02),"7,560원",9.3,아동
다다다 다른 별 학교,윤진현,천개의바람,2019.06.28 (종이책 출간 2018.08.13),"7,560원",10,아동
3분 만화 세계사,사이레이,정민미디어,2022.05.25 (종이책 출간 2020.12.24),"8,190원",9.6,아동
모래소금,정종영,파란자전거,2016.10.04 (종이책 출간 2015.08.15),"6,174원",9.5,아동
어린이를 위한 가상현실과 메타버스 이야기,천윤정,팜파스,2021.11.18 (종이책 출간 2021.08.30),"7,560원",9.9,아동
토깽이네 지구 구출 대작전 4: 깨끗한 공기를 구하라!,토깽이네 (원작),위즈덤하우스,2022.08.31 (종이책 출간 2022.06.22),"8,510원",9.7,아동
남북한 어린이 말모이,정도상,창비교육,2021.05.19 (종이책 출간 2020.07.30),"7,560원",0,아동
나 혼자 푼다! 수학 문장제 6학년 2학기,징검다리 교육연구소,이지스에듀,2020.12.10 (종이책 출간 2020.12.10),"4,950원",8.7,아동
둥글둥글 지구촌 경제 이야기,석혜원,풀빛,2021.02.01 (종이책 출간 2019.06.05),"7,560원",10,아동
홍길동전,권순긍,휴머니스트,2022.03.24 (종이책 출간 2021.01.15),"7,560원",9.6,아동
Wow 잠 못 드는 귀신 이야기,도래미,형설아이,2020.05.13 (종이책 출간 2014.02.17),"4,455원",0,아동
백종원의 도전 요리왕. 7: 대한민국 2,백종원,위즈덤하우스,2021.04.27 (종이책 출간 2021.04.30),"7,560원",9.8,아동
메이플 스토리 오프라인 RPG 86~90권 세트,송도수,서울문화사,2020.04.29,"27,000원",7.5,아동
메이플 스토리 오프라인 RPG 1~5권 세트,송도수,서울문화사,2020.04.29,"27,000원",7.5,아동
세상을 바꾼 수학자 50인의 특강,조국향,아울북,2016.06.30 (종이책 출간 2016.05.23),"12,960원",9.3,아동
곰브리치 세계사,에른스트 H. 곰브리치,비룡소,2018.09.13 (종이책 출간 2010.08.13),"10,710원",9.8,청소년
중3 조은비,양호문,특별한서재,2018.02.05 (종이책 출간 2017.12.22),"6,750원",9.2,청소년
교과서 밖으로 나온 한국사 (삼국시대),최태성,MBC씨앤아이,2015.08.31,"6,300원",10,청소년
역사,헤로도토스,풀빛,2013.01.30 (종이책 출간 2009.05.14),"6,390원",8.8,청소년
"전교 꼴찌, 270일 만에 의대생이 된 공부 비법",김현수,북스고,2020.01.07 (종이책 출간 2019.10.18),"10,080원",9.9,청소년
"재미없는 영화, 끝까지 보는 게 좋을까?",박정호,나무를심는사람들,2018.06.21 (종이책 출간 2017.10.27),"8,190원",9.7,청소년
스포츠로 만나는 지리,최재희,휴머니스트,2022.04.21 (종이책 출간 2021.10.04),"8,505원",8.4,청소년
2023 청소년상담사 2급 한권으로 끝내기,SD 청소년상담사 수험연구소,시대고시기획,2023.03.06 (종이책 출간 2023.03.06),"27,720원",0,청소년
슈퍼리치보다 해피리치를 꿈꿔라,한지우,미디어숲,2023.03.10 (종이책 출간 2023.03.10),"10,584원",10,청소년
세상에서 가장 쉬운 재미있는 물리,미사와 신야,미디어숲,2023.03.10 (종이책 출간 2023.03.10),"11,214원",9.9,청소년
2023 기출이 답이다 청소년상담사 2급,SD 청소년상담사 수험연구소,시대고시기획,2023.03.06 (종이책 출간 2023.03.06),"20,160원",0,청소년
"니 몸, 네 맘 얼마나 아니    사실 십 대가 진짜 알고 싶었던 솔직한 성 이야기",배정원,팜파스,2018.04.17 (종이책 출간 2015.01.15),"7,560원",10,청소년
어느 날 내가 죽었습니다,이경혜,바람의아이들,2017.08.17 (종이책 출간 2016.02.25),"5,130원",9.3,청소년
세계의 분쟁 바로보기,오쓰카 가즈오 외,다시,2006.04.13 (종이책 출간 2004.01.30),"4,275원",10,청소년
학교에서 알려주지 않는 논리 수학에서 배우다,오다 도시히로,하늘아래,2013.05.30 (종이책 출간 2012.10.15),"5,850원",9.4,청소년
논어 필사노트,공자 (원저),시사패스,2019.08.01 (종이책 출간 2017.02.15),"2,250원",9.2,청소년
이대로 어른이 되어도 괜찮을까요?,이남석,우리교육,2019.05.29 (종이책 출간 2018.12.17),"6,930원",0,청소년
한국사,한정수,평단,2009.10.13 (종이책 출간 2009.08.10),"5,400원",0,청소년
청소년을 위한 사회학 에세이,구정화,해냄출판사,2014.12.26 (종이책 출간 2012.05.25),"8,532원",9.3,청소년
청소년을 위한 정의론,강영계,해냄출판사,2013.09.30 (종이책 출간 2012.12.20),"8,532원",9.1,청소년
난중일기,이순신,돋을새김,2014.05.27 (종이책 출간 2011.02.28),"6,480원",10,청소년
지못미 정치,장기표,시대의창,2013.03.11 (종이책 출간 2008.10.10),"7,200원",8.2,청소년
어느 외계인의 인류학 보고서,이경덕,사계절,2015.03.05 (종이책 출간 2013.09.30),"8,010원",9.1,청소년
청소년을 위한 나는 말랄라,말랄라 유사프자이,문학동네,2014.11.04 (종이책 출간 2014.10.06),"7,560원",9.7,청소년
"이 장면, 나만 불편한가요?",태지원,자음과모음,2021.05.21 (종이책 출간 2021.03.12),"8,730원",9.9,청소년
리만이 들려주는 적분2 이야기,전현정,자음과모음,2016.03.24 (종이책 출간 2010.03.05),"4,950원",10,청소년
예술을 꿀꺽 삼킨 과학,김문제,살림FRIENDS,2014.03.27 (종이책 출간 2012.08.14),"7,560원",9.7,청소년
하리하라 미드에서 과학을 보다,이은희,살림FRIENDS,2022.08.31 (종이책 출간 2010.01.25),"7,560원",9.5,청소년
기억 전달자,로이스 로리,비룡소,2008.07.09 (종이책 출간 2007.05.18),"5,985원",9.2,청소년
스켈리그,데이비드 알몬드,비룡소,2006.06.12 (종이책 출간 2002.01.14),"5,670원",9.5,청소년
1931 흡혈마전,김나경,창비,2021.03.16 (종이책 출간 2020.12.11),"8,190원",8.4,청소년
아직은 신이 아니야,듀나,창비,2015.02.06 (종이책 출간 2013.09.13),"7,560원",9,청소년
나의 첫 젠더 수업,김고연주,창비,2017.11.23 (종이책 출간 2017.11.10),"7,560원",9.2,청소년
우린 괜찮아,니나 라쿠르,든,2020.05.07 (종이책 출간 2020.04.08),"10,350원",9.6,청소년
체대입시의 신이 알려주는 체대학종의 비밀,김민중,라온북,2022.08.17 (종이책 출간 2022.07.19),"10,350원",9.7,청소년
왜 언론이 문제일까?,박영흠,반니,2021.08.19 (종이책 출간 2018.02.15),"8,100원",9.2,청소년
왜 세계화가 문제일까,게르트 슈나이더,반니,2014.02.06 (종이책 출간 2013.12.15),"7,200원",8.7,청소년
지금 이 순간 청소년 인문학,김재익,책담,2021.09.09 (종이책 출간 2016.01.04),"9,360원",9.8,청소년
미디어 리터러시 쫌 아는 10대,금준경,풀빛,2021.12.01 (종이책 출간 2020.11.25),"8,190원",10,청소년
어느 외계인의 인류학 보고서: 경제 편,이경덕,사계절,2019.06.07 (종이책 출간 2019.04.05),"10,080원",10,청소년
2023 합격하는 특목고ㆍ자사고 자기소개서와 면접,황원식,시대고시기획,2022.05.26 (종이책 출간 2022.07.05),"12,600원",10,청소년
공대에 가고 싶어졌습니다,서울대학교 공과대학 우수학생센터 '공우',메가스터디북스,2022.03.23 (종이책 출간 2021.12.30),"10,395원",9.9,청소년
수능력 바디,조민해,건강북스,2023.02.08,"8,100원",10,청소년
[필독서 따라잡기] 사진에 관하여,베리타스알파,베리타스알파,2021.02.25,900원,10,청소년
꼬마 철학자. 2,알퐁스 도데,민중출판사,2013.07.25 (종이책 출간 2007.09.20),"3,150원",0,청소년
굿바이 미스터 칩스,제임스 힐턴,문예출판사,2009.10.20 (종이책 출간 2005.11.30),"4,320원",8.8,청소년
프로테스탄트 윤리와 자본주의 정신(완역본),막스 베버,현대지성,2018.06.20 (종이책 출간 2018.06.01),"7,110원",9.2,청소년
산책을 듣는 시간,정은,사계절,2018.12.26 (종이책 출간 2018.08.20),"6,930원",9.2,청소년
시카고에서 온 메리 앨리스,리차드 펙,큰마루,2007.02.01 (종이책 출간 2006.12.15),"3,825원",9.2,청소년
하루라도 공부만 할 수 있다면,박철범,다산에듀,2009.08.28 (종이책 출간 2009.04.24),"5,400원",9,청소년
