순위,제목,저자,출판사,출간일,별점
80,[세트] 더클래식 셰익스피어의 4대 비극 컬렉션 세트 (한글판+영문판),"윌리엄 셰익스피어 (지은이), 한우리, 김민애 (옮긴이) ", 더클래식 , 2015년 11월,5.0
81,오늘부터 차근차근 아이패드 드로잉,배성규 (지은이) , 북라이프 , 2021년 6월,5.0
82,현대미술은 처음인데요 : 큐레이터가 들려주는 친절한 미술이야기,"제시카 체라시, 안휘경 (지은이), 조경실 (옮긴이) ", 행성B(행성비) , 2017년 8월,4.5
83,스토리 창작자를 위한 빌런 작법서 : 당신의 이야기를 빛내줄 악당 키워드 17,차무진 (지은이) , 요다 , 2020년 11월,4.5
84,로미오와 줄리엣 (한글판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 11월,0.0
85,앤드류 루미스의 인체 드로잉,앤드류 루미스 (지은이) , 아르드 , 2020년 3월,0.0
86,벚꽃동산 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 , 2013년 12월,3.5
87,박찬욱의 몽타주,박찬욱 (지은이) , 마음산책 , 2014년 4월,4.0
88,인형의 집,"헨리크 입센 (지은이), 박진권 (옮긴이) ", 더클래식 , 2022년 5월,0.0
89,한여름 밤의 꿈,"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2013년 2월,3.5
90,시련,"아서 밀러 (지은이), 최영 (옮긴이) ", 민음사 , 2018년 12월,4.5
91,미니 캐릭터 다양하게 그리기,"카도마루 츠부라, 미야츠키 모소코 (지은이), 문성호 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2018년 12월,5.0
92,이야기의 탄생,"윌 스토 (지은이), 문희경 (옮긴이) ", 흐름출판 , 2020년 6월,4.5
93,맥베스,"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2013년 2월,4.0
94,"스토리, 꼭 그래야 할까?","양혜석, 문아름 (지은이) ", 시공아트 , 2022년 7월,5.0
95,위로의 미술관,진병관 (지은이) , 빅피시 , 2022년 8월,5.0
96,영화는 두 번 시작된다 : 이동진 영화 평론집,이동진 (지은이) , 위즈덤하우스 , 2019년 10월,4.0
97,[세트] 디테일 사전 (총2권),"안젤라 애커만, 베카 푸글리시 (지은이), 최세희 (옮긴이) ", 윌북 , 2021년 5월,4.0
98,오이디푸스 왕,"소포클레스 (지은이), 강대진 (옮긴이) ", 민음사 , 2022년 5월,4.5
99,방구석 미술관  : 가볍고 편하게 시작하는 유쾌한 교양 미술,조원재 (지은이) , 블랙피쉬 , 2020년 4월,3.5
100,재즈 잇 업 jazz it up,남무성 (지은이) , 서해문집 , 2018년 4월,5.0
