순위,제목,저자,출판사,출간일,별점,장르
2051,맥심 MAXIM 2016년 12월호,맥심코리아 편집부 (엮은이) , 와이미디어(맥심) , 2016년 12월,5.0,잡지
2052,맥심 MAXIM 2018년 05월호,맥심코리아 편집부 (지은이) , 와이미디어(맥심) , 2018년 5월,0.0,잡지
2053,한국 스켑틱 SKEPTIC vol.29 : 양자역학은 어떻게 세상을 바꾸는가,스켑틱협회 편집부 (지은이) , 바다출판사 , 2022년 12월,5.0,잡지
2054,맥심 MAXIM 2016년 05월호,와이미디어 편집부 (지은이) , 와이미디어(맥심) , 2016년 5월,0.0,잡지
2055,청소년 큐티인 2023년 1.2월호,QTM편집부 (지은이) , QTM , 2022년 12월,0.0,잡지
2056,싱글즈 2017년 01월호 (월간),싱글즈 편집부 (지은이) , 더북컴퍼니 , 2017년 1월,5.0,잡지
2057,"묵상과설교 2020년 1,2월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2020년 1월,0.0,잡지
2058,"묵상과설교 2018년 9,10월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2018년 8월,0.0,잡지
2059,플래툰 2023년 02월호,멀티매니아호비스트 (지은이) , 멀티매니아호비스트 , 2023년 2월,0.0,잡지
2060,릿터 36호,릿터 편집부 (지은이) , 민음사 , 2022년 6월,5.0,잡지
2061,좋은생각 : 2022년 03월호,좋은생각 편집부 (지은이) , (주)좋은생각사람들 , 2022년 2월,0.0,잡지
2062,릿터 34호,릿터 편집부 (지은이) , 민음사 , 2022년 4월,5.0,잡지
2063,플래툰 2023년 01월호,멀티매니아호비스트 (지은이) , 멀티매니아호비스트 , 2023년 1월,0.0,잡지
2064,한경비즈니스 1416-1417호,한국경제매거진 (지은이) , 한국경제매거진 , 2023년 1월,0.0,잡지
2065,"묵상과 설교 2017년 3,4월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2017년 2월,0.0,잡지
2066,플래툰 2022년 11월호,멀티매니아호비스트 (지은이) , 멀티매니아호비스트 , 2022년 11월,0.0,잡지
2067,창작과비평 197호(2022년 가을호),창작과비평 편집부 (지은이) , 창비 , 2022년 9월,5.0,잡지
2068,한국 스켑틱 SKEPTIC vol.10 : 지구 온난화의 과학,스켑틱 협회 편집부 (지은이) , 바다출판사 , 2017년 6월,4.5,잡지
2069,기획회의 576호,한국출판마케팅연구소 (지은이) , 한국출판마케팅연구소 , 2023년 1월,0.0,잡지
2070,"묵상과 설교 2017년 7,8월호",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2017년 6월,0.0,잡지
2071,기획회의 577호,한국출판마케팅연구소 (지은이) , 한국출판마케팅연구소 , 2023년 2월,0.0,잡지
2072,한경비즈니스 1418호,한국경제매거진 (지은이) , 한국경제매거진 , 2023년 1월,0.0,잡지
2073,청소년 큐티인 2022년 1.2월호,QTM편집부 (지은이) , QTM , 2021년 12월,0.0,잡지
2074,계간 미스터리 2022.겨울호,"장우석, 유재이, 박소해 (지은이) ", 나비클럽 , 2023년 1월,5.0,잡지
2075,서울의 3년 이하 서점들: 책 팔아서 먹고살 수 있느냐고 묻는다면?,브로드컬리 편집부 (지은이) , 브로드컬리 , 2018년 6월,4.0,잡지
2076,월간 뉴턴 Newton 2022년 07월호,아이뉴턴 편집부 (지은이) , (주)아이뉴턴 , 2022년 7월,5.0,잡지
2077,웨딩21 2022년 12월호,(주)케이티웨딩컴퍼니 (지은이) , (주)케이티웨딩컴퍼니 , 2022년 12월,0.0,잡지
2078,핫뮤직(HOT MUSIC) 1996년 11월호,세계와나 편집부 (지은이) , 컨텐츠코리아 , 2016년 11월,0.0,잡지
2079,월간 미술 2022년 12월호,(주)월간미술 (지은이) , (주)월간미술 , 2022년 12월,0.0,잡지
2080,한경비즈니스 1419호,한국경제매거진 (지은이) , 한국경제매거진 , 2023년 2월,0.0,잡지
2081,월간 뉴턴 Newton 2022년 05월호,아이뉴턴 편집부 (지은이) , (주)아이뉴턴 , 2022년 5월,0.0,잡지
2082,서울의 3년 이하 서점들: 솔직히 책이 정말 팔릴 거라 생각했나?,브로드컬리 편집부 (지은이) , 브로드컬리 , 2018년 6월,4.0,잡지
2083,에스콰이어 2019년 3월호,허스트 (지은이) , 허스트중앙 , 2019년 3월,0.0,잡지
2084,한국 스켑틱 SKEPTIC vol.31 : 수학이 세상을 만날 떄,스켑틱 협회 편집부 (지은이) , 바다출판사 , 2023년 2월,3.5,잡지
2085,이코노미조선 2023년 01월호 475호,(주)조선비즈 (지은이) , (주)조선비즈 , 2023년 1월,0.0,잡지
2086,장애와 테크놀로지,이음 편집부 (지은이) , 이음 , 2022년 3월,5.0,잡지
2087,월간 CASA LIVING 2022년 05월호,까사리빙 편집부 (지은이) , 시공사 , 2022년 4월,0.0,잡지
2088,이코노미조선 2023년 02월호 478호,(주)조선비즈 (지은이) , (주)조선비즈 , 2023년 2월,0.0,잡지
2089,더그아웃(DUGOUT) 2023년 01월호,(주)대단한미디어 (지은이) , (주)대단한미디어 , 2023년 1월,0.0,잡지
2090,전원속의 내집 2022년 12월호,(주)주택문화사 (지은이) , (주)주택문화사 , 2022년 12월,0.0,잡지
2091,우먼카인드 vol. 3,우먼카인드 편집부 (지은이) , 바다출판사 , 2018년 5월,4.5,잡지
2092,기획회의 578호,한국출판마케팅연구소 (지은이) , 한국출판마케팅연구소 , 2023년 2월,0.0,잡지
2093,점프볼 2023년 02월호,(주)제이앤제이미디어 (지은이) , (주)제이앤제이미디어 , 2023년 2월,0.0,잡지
2094,엄마는 생각쟁이 2023년 02월호,엄마는 생각쟁이 편집부 (지은이) , 웅진씽크빅 , 2023년 2월,0.0,잡지
2095,월간 뉴턴 Newton 2021년 06월호,아이뉴턴 편집부 (지은이) , (주)아이뉴턴 , 2021년 6월,0.0,잡지
2096,우먼카인드 Vol.20,우먼카인드 편집부 (지은이) , 바다출판사 , 2022년 12월,0.0,잡지
2097,싱글즈 2022년 08월호 (월간),싱글즈 편집부 (지은이) , 더북컴퍼니 , 2022년 7월,0.0,잡지
2098,emoTure vol.9,이모쳐 편집진 (지은이) , 유페이퍼 , 2016년 1월,0.0,잡지
2099,emoTure vol.8,이모쳐 편집진 (지은이) , 유페이퍼 , 2016년 1월,0.0,잡지
2100,마니에르 드 부아르 7호 Maniere de voir 2022,브누아 브레빌 (지은이) , 르몽드디플로마티크(잡지) , 2023년 2월,5.0,잡지
2101,DO IT 두잇,데이비드 차 (지은이) , 아크 , 2023년 2월,0.0,종교/역학
2102,메시지 S 스탠더드 에디션 : 일상의 언어로 쓰여진 성경 옆의 성경,"유진 피터슨 (지은이), 홍종락, 김순현, 윤종석, 이종태 (옮긴이), 김회권, 김영봉 (감수) ", 복있는사람 , 2018년 4월,4.0,종교/역학
2103,나의 사주명리,현묘 (지은이) , 날(도서출판) , 2022년 11월,5.0,종교/역학
2104,스크루테이프의 편지,"C. S. 루이스 (지은이), 김선형 (옮긴이) ", 홍성사 , 2016년 4월,4.5,종교/역학
2105,요한계시록에 가면,"제프리 와이마 (지은이), 전성현 (옮긴이) ", 도서출판 학영 , 2022년 11월,5.0,종교/역학
2106,월터 브루그만과 함께하는 사순절 묵상집,"월터 브루그만 (지은이), 리처드 플로이드 (엮은이), 박형국 (옮긴이) ", 한국장로교출판사 , 2021년 2월,3.0,종교/역학
2107,수심결과 마음공부,법상 (지은이) , 불광출판사 , 2023년 2월,0.0,종교/역학
2108,부활의 아침을 향하여,강산 (지은이) , 감은사 , 2023년 2월,0.0,종교/역학
2109,놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 , 2013년 11월,5.0,종교/역학
2110,동산의 샘,제시카 윤 (지은이) , 규장(규장문화사) , 2023년 2월,0.0,종교/역학
2111,관계,김일환 (지은이) , 규장(규장문화사) , 2023년 2월,0.0,종교/역학
2112,지금 이 순간을 살아라,"에크하르트 톨레 (지은이), 노혜숙, 유영일 (옮긴이) ", 양문 , 2014년 5월,4.5,종교/역학
2113,"팀 켈러, 결혼을 말하다","캐시 켈러, 팀 켈러 (지은이), 최종훈 (옮긴이) ", 두란노 , 2022년 4월,4.5,종교/역학
2114,팀 켈러의 용서를 배우다,"팀 켈러 (지은이), 윤종석 (옮긴이) ", 두란노 , 2022년 12월,5.0,종교/역학
2115,청소년 교사를 부탁해,정석원 (지은이) , 홍성사 , 2022년 6월,0.0,종교/역학
2116,순전한 기독교,"C. S. 루이스 (지은이), 이종태, 장경철 (옮긴이) ", 홍성사 , 2013년 12월,5.0,종교/역학
2117,"매일성경 순 2023년 1-2월호(민수기 1-10장, 마태복음1-14장)",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2023년 1월,0.0,종교/역학
2118,"소명, 하나님의 시간을 잇는 싸움",김남국 (지은이) , 규장(규장문화사) , 2022년 12월,5.0,종교/역학
2119,신학이 무슨 소용이냐고 묻는 이들에게,"알리스터 맥그래스 (지은이), 이은진 (옮긴이) ", 포이에마 , 2023년 1월,4.5,종교/역학
2120,헨리 나우웬의 공동체,"헨리 나우웬 (지은이), 윤종석 (옮긴이) ", 두란노 , 2022년 6월,5.0,종교/역학
2121,풍성한 삶의 기초,김형국 (지은이) , 비아토르 , 2022년 11월,5.0,종교/역학
2122,신학이 있는 믿음,"로니 커츠 (지은이), 정성묵 (옮긴이) ", 두란노 , 2023년 2월,0.0,종교/역학
2123,신천지 돌발 질문에 대한 친절한 답변,양형주 (지은이) , 기독교포털뉴스 , 2023년 1월,5.0,종교/역학
2124,더 이상 바랄 것이 없었다,홍민기 (지은이) , 규장(규장문화사) , 2023년 2월,0.0,종교/역학
2125,한국 교회 트렌드 2023,"지용근, 김영수, 조성실 (지은이) ", 규장(규장문화사) , 2022년 9월,5.0,종교/역학
2126,팀 켈러의 탈기독교시대 전도,"팀 켈러 (지은이), 장성우 (옮긴이) ", 두란노 , 2022년 5월,5.0,종교/역학
2127,말씀대로 믿고 살고 누리는 큐티인(QTIN) (2023년 1/2월호),QTM편집부 (지은이) , QTM , 2022년 12월,0.0,종교/역학
2128,하나님의 열심,박영선 (지은이) , 무근검(남포교회출판부) , 2020년 2월,5.0,종교/역학
2129,풍성한 삶으로의 초대,김형국 (지은이) , 비아토르 , 2018년 4월,4.5,종교/역학
2130,조정민의 답답답,조정민 (지은이) , 두란노 , 2022년 9월,0.0,종교/역학
2131,돈보다 운을 벌어라 : 주역의 원리로 운을 경영하는 법,김승호 (지은이) , 쌤앤파커스 , 2015년 12월,4.0,종교/역학
2132,인문학을 좋아하는 사람들을 위한 불교수업 : 연기·공·유식·선은 어떻게 삶이 되는가!,김사업 (지은이) , 불광출판사 , 2018년 2월,4.5,종교/역학
2133,신과 악마 사이,"헬무트 틸리케 (지은이), 손성현 (옮긴이) ", 복있는사람 , 2022년 6월,5.0,종교/역학
2134,조셉 머피 영적 성장의 비밀,"조셉 머피 (지은이), 조율리 (옮긴이) ", 다산북스 , 2022년 12월,5.0,종교/역학
2135,당신의 아름다운 세계,"스티븐 미첼, 바이런 케이티 (지은이), 이창엽 (옮긴이) ", 침묵의향기 , 2020년 1월,4.0,종교/역학
2136,왕의 십자가,"팀 켈러 (지은이), 정성묵 (옮긴이) ", 두란노 , 2022년 4월,5.0,종교/역학
2137,상황별 영어기도문,"Joel H. Lee (지은이), Matthew Banner (감수) ", 넥서스CROSS , 2019년 11월,5.0,종교/역학
2138,한 번에 한 사람,"카일 아이들먼 (지은이), 정성묵 (옮긴이) ", 두란노 , 2022년 3월,5.0,종교/역학
2139,조지 뮬러의 당신은 진짜 하나님을 신뢰하는가,"조지 뮬러 (지은이), 이종수 (옮긴이) ", 형제들의집 , 2022년 3월,0.0,종교/역학
2140,쉬운말성경 구약 (창세기~말라기),성서원 편집팀 (지은이) , 성서원 , 2020년 2월,0.0,종교/역학
2141,주님은 나의 최고봉,"오스왈드 챔버스 (지은이), 스데반 황 (옮긴이) ", 도서출판 토기장이 , 2022년 12월,4.5,종교/역학
2142,"마음을 쏘다, 활","오이겐 헤리겔 (지은이), 정창호 (옮긴이) ", 걷는책 , 2021년 9월,5.0,종교/역학
2143,이재철 목사의 로마서 3,이재철 (지은이) , 홍성사 , 2018년 9월,5.0,종교/역학
2144,크리스천을 위한 마음코칭,"헨리 클라우드.존 타운센드 (지은이), 전병철 (옮긴이) ", 생명의말씀사 , 2011년 2월,5.0,종교/역학
2145,이것이 예배이다,"A. W. 토저 (지은이), 이용복 (옮긴이) ", 규장(규장문화사) , 2020년 9월,4.5,종교/역학
2146,"내가 구원받았는지 어떻게 알 수 있는가 : 구원과 영생, 복음의 성경적 정의","존 오트버그 (지은이), 정성묵 (옮긴이) ", 두란노 , 2020년 1월,5.0,종교/역학
2147,광야에서 부르는 노래 (사순절 묵상 40일),김리아 (지은이) , 나다북스 , 2014년 2월,5.0,종교/역학
2148,주님은 나의 최고봉 한영합본,"오스왈드 챔버스 (지은이), 스데반 황 (옮긴이) ", 도서출판 토기장이 , 2022년 12월,0.0,종교/역학
2149,아이엠 I AM,박영수 (지은이) , 북팟 , 2022년 11월,0.0,종교/역학
2150,삶으로 다시 떠오르기,"에크하르트 톨레 (지은이), 류시화 (옮긴이) ", 연금술사 , 2013년 8월,4.5,종교/역학
2151,5가지 사랑의 언어,"게리 채프먼 (지은이), 장동숙 (옮긴이) ", 생명의말씀사 , 2010년 3월,4.5,종교/역학
2152,성경전서 <구약+신약> 개혁한글판 (모바일 전자성경책),대한성서공회 (지은이) , 유페이퍼 , 2016년 6월,0.0,종교/역학
2153,팀 켈러의 일과 영성 : 인간의 일과 하나님의 역사 사이의 줄 잇기,"팀 켈러 (지은이), 최종훈 (옮긴이) ", 두란노 , 2015년 5월,4.5,종교/역학
2154,팀 켈러의 내가 만든 신 : 하나님 자리를 훔치다,"팀 켈러 (지은이), 윤종석 (옮긴이) ", 두란노 , 2017년 5월,5.0,종교/역학
2155,성경신학 스터디 바이블,"D. A. 카슨, 리처드 S. 헤스, T. D. 알렉산더 (지은이) ", 복있는사람 , 2021년 7월,5.0,종교/역학
2156,팀 켈러의 기도 : 의무를 지나 기쁨에 이르는 길 찾기,"팀 켈러 (지은이), 최종훈 (옮긴이) ", 두란노 , 2015년 5월,5.0,종교/역학
2157,숫타니파타 ; 최초의 불교 경전(해석본),작자미상 (지은이) , 문학공감대 , 2017년 5월,5.0,종교/역학
2158,침묵,"엔도 슈사쿠 (지은이), 공문혜 (옮긴이) ", 홍성사 , 2020년 10월,5.0,종교/역학
2159,하나님의 임재 연습 (완역판) : 세계기독교고전 17,"로렌스 형제 (지은이), 이광식 (옮긴이) ", CH북스(크리스천다이제스트) , 2017년 11월,5.0,종교/역학
2160,법륜 스님의 반야심경 강의,법륜 (지은이) , 정토출판 , 2022년 6월,5.0,종교/역학
2161,정서적으로 건강한 영성,"피터 스카지로 (지은이), 강소희 (옮긴이) ", 두란노 , 2017년 7월,4.5,종교/역학
2162,카이로스 : 하나님의 시공간,고성준 (지은이) , 규장(규장문화사) , 2020년 11월,4.5,종교/역학
2163,고통의 문제,"C. S. 루이스 (지은이), 이종태 (옮긴이) ", 홍성사 , 2019년 10월,5.0,종교/역학
2164,천로역정 (완역판) : 세계기독교고전 15,"존 번연 (지은이), 루이스 레드 형제 (그림), 유성덕 (옮긴이) ", CH북스(크리스천다이제스트) , 2015년 8월,5.0,종교/역학
2165,스님의 주례사 (개정판) : 행복한 결혼생활을 위한 남녀 마음 이야기,"법륜 (지은이), 김점선 (그림) ", 휴(休) , 2018년 5월,4.5,종교/역학
2166,풍성한 삶의 첫걸음,김형국 (지은이) , 비아토르 , 2018년 4월,0.0,종교/역학
2167,새신자반,이재철 (지은이) , 홍성사 , 2013년 4월,5.0,종교/역학
2168,천로역정,"존 번연 (지은이), C. J. 로빅 (엮은이), 마이크 윔머 (그림), 최종훈 (옮긴이) ", 포이에마 , 2020년 7월,4.5,종교/역학
2169,신학 용어 사전 - 신행사전 004,"데이비드 거레츠키, 체리스 피 노들링, 스탠리 J. 그렌츠 (지은이), 진규선 (옮긴이) ", IVP , 2022년 3월,3.0,종교/역학
2170,"not a fan. 팬인가, 제자인가 (개정판)","카일 아이들먼 (지은이), 정성묵 (옮긴이) ", 두란노 , 2017년 1월,5.0,종교/역학
2171,명리 명강 : 하나의 원리로 실전까지 통하는 사주역학의 정석,김학목 (지은이) , 판미동 , 2016년 7월,4.5,종교/역학
2172,내향적인 그리스도인을 위한 교회 사용 설명서,"애덤 S. 맥휴 (지은이), 강신덕 (옮긴이) ", IVP , 2022년 9월,4.5,종교/역학
2173,예수아 채널링,"이균형 (옮긴이), 파멜라 크리베 ", 정신세계사 , 2016년 10월,5.0,종교/역학
2174,살아나는 교회를 해부하다,"톰 레이너 (지은이), 정성묵 (옮긴이) ", 두란노 , 2022년 12월,0.0,종교/역학
2175,"청소년 매일성경 2023년 1-2월호(민수기 1-10장, 마태복음1-14장)",성서유니온 출판부 (지은이) , 한국성서유니온선교회 , 2023년 1월,0.0,종교/역학
2176,제자도 (반양장),"존 스토트 (지은이), 김명희 (옮긴이) ", IVP , 2021년 3월,5.0,종교/역학
2177,믿음으로 걸어라,네빌 고다드 (지은이) , 서른세개의계단 , 2022년 10월,4.5,종교/역학
2178,성경 2.0 구약 2,"하이툰닷컴, 김동순 (지은이), 배광선 (그림) ", 씨엠크리에이티브(CM Creative) , 2021년 8월,5.0,종교/역학
2179,따라 하는 기도 2,장재기 (지은이) , 규장(규장문화사) , 2022년 2월,4.0,종교/역학
2180,정신과 의사의 체험으로 보는 사마타와 위빠사나,전현수 (지은이) , 불광출판사 , 2018년 11월,5.0,종교/역학
2181,하나님의 숨결,김병삼 (지은이) , 두란노 , 2023년 1월,5.0,종교/역학
2182,직접적인 길,"아디야샨티 (지은이), 이창엽, 김윤 (옮긴이) ", 침묵의향기 , 2022년 12월,0.0,종교/역학
2183,하나님의 임재 연습,"로렌스 형제 (지은이), 윤종석 (옮긴이) ", 두란노 , 2020년 1월,5.0,종교/역학
2184,잠근 동산,제시카 윤 (지은이) , CLC기독교문서선교회 , 2021년 6월,4.5,종교/역학
2185,성경 2.0 구약 4,"하이툰닷컴, 김동순 (지은이), 배광선 (그림) ", 씨엠크리에이티브(CM Creative) , 2021년 9월,5.0,종교/역학
2186,덮은 우물,제시카 윤 (지은이) , CLC기독교문서선교회 , 2021년 6월,5.0,종교/역학
2187,성경 2.0 구약 3,"김동순 (지은이), 배광선 (그림) ", 씨엠크리에이티브(CM Creative) , 2021년 8월,4.5,종교/역학
2188,이재철 목사의 로마서 1,이재철 (지은이) , 홍성사 , 2016년 9월,5.0,종교/역학
2189,성숙자반,이재철 (지은이) , 홍성사 , 2013년 4월,4.5,종교/역학
2190,내가 알지 못했던 성령,"잭 레비슨 (지은이), 최현만 (옮긴이) ", 감은사 , 2022년 12월,5.0,종교/역학
2191,윤리학 용어 사전 - 신행사전 003 : 복음주의 기독교 관점에서 서술한,"제이 T. 스미스, 스탠리 J. 그렌츠 (지은이), 이여진 (옮긴이) ", 알맹e , 2018년 3월,0.0,종교/역학
2192,기도의 능력 (개정판),"E. M. 바운즈 (지은이), 김원주 (옮긴이) ", CH북스(크리스천다이제스트) , 2019년 4월,5.0,종교/역학
2193,호흡하세요 그리고 미소지으세요,"타라 브랙 (지은이), 윤서인 (옮긴이) ", 불광출판사 , 2018년 7월,5.0,종교/역학
2194,당신의 영원을 어디서 보낼 것인가? ,변승우 (엮은이) , 거룩한진주 , 2023년 1월,0.0,종교/역학
2195,벌코프 조직신학,"루이스 벌코프 (지은이), 권수경, 이상원 (옮긴이) ", CH북스(크리스천다이제스트) , 2020년 4월,0.0,종교/역학
2196,영적 침체,"마틴 로이드 존스 (지은이), 정상윤 (옮긴이) ", 복있는사람 , 2022년 11월,5.0,종교/역학
2197,고대근동의 신화와 성경의 믿음,"포스터 R. 맥컬리 (지은이), 주원준 (옮긴이) ", 감은사 , 2022년 6월,0.0,종교/역학
2198,숫따니빠따,일아 (지은이) , 불광출판사 , 2015년 3월,0.0,종교/역학
2199,예수는 역사다 (개정증보판),"리 스트로벨 (지은이), 윤관희, 박중렬 (옮긴이) ", 두란노 , 2022년 2월,4.5,종교/역학
2200,마태복음 1:1-13:52,신현우 (지은이) , 감은사 , 2022년 12월,0.0,종교/역학
2201,세상에서 가장 쉬운 본질육아,지나영 (지은이) , 21세기북스 , 2022년 9월,5.0,좋은 부모
2202,자발적 방관육아,최은아 (지은이) , 쌤앤파커스 , 2023년 1월,5.0,좋은 부모
2203,초등입학 엄마의 비밀노트,지서영 (지은이) , 이페이지 , 2023년 1월,5.0,좋은 부모
2204,똑게육아,로리(김준희) (지은이) , 북로스트 , 2022년 5월,5.0,좋은 부모
2205,아들의 뇌,곽윤정 (지은이) , 포레스트북스 , 2021년 10월,5.0,좋은 부모
2206,0~5세 말걸기 육아의 힘,김수연 (지은이) , 위즈덤하우스 , 2020년 9월,5.0,좋은 부모
2207,내 아이를 위한 감정코칭,"조벽, 최성애, 존 가트맨 (지은이) ", 해냄출판사 , 2020년 2월,4.5,좋은 부모
2208,부모 인문학 수업,김종원 (지은이) , 청림Life , 2022년 7월,5.0,좋은 부모
2209,어떻게 말해줘야 할까,"오은영 (지은이), 차상미 (그림) ", 김영사 , 2020년 11월,5.0,좋은 부모
2210,돌봄과 작업,"홍한별, 정서경, 서유미 (지은이) ", 돌고래 , 2022년 12월,4.5,좋은 부모
2211,기분대로 아이를 키우지 않겠습니다,곽윤정 (지은이) , 포레스트북스 , 2022년 11월,5.0,좋은 부모
2212,우리 아이 기질 맞춤 양육 매뉴얼,정가은 (지은이) , 서사원 , 2022년 11월,5.0,좋은 부모
2213,공부머리 독서법 : 실현 가능하고 지속 가능한 독서교육의 모든 것,최승필 (지은이) , 책구루 , 2018년 7월,4.5,좋은 부모
2214,신의진의 아이심리백과 : 0~2세 편 (30만 부 기념 최신 증보판),신의진 (지은이) , 메이븐 , 2020년 6월,5.0,좋은 부모
2215,0~5세 뇌가 쑥쑥 자라는 놀이 육아,이보연 (지은이) , 위즈덤하우스 , 2020년 2월,5.0,좋은 부모
2216,잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 , 2014년 9월,5.0,좋은 부모
2217,케이크를 자르지 못하는 아이들,"미야구치 코지 (지은이), 부윤아 (옮긴이), 박찬선 (감수) ", 인플루엔셜(주) , 2020년 10월,4.5,좋은 부모
2218,엄마의 말 연습,윤지영 (지은이) , 카시오페아 , 2022년 10월,5.0,좋은 부모
2219,수학 잘하는 아이는 이렇게 공부합니다,류승재 (지은이) , 블루무스 , 2021년 3월,4.5,좋은 부모
2220,나는 내가 좋은 엄마인 줄 알았습니다,"앤절린 밀러 (지은이), 이미애 (옮긴이) ", 윌북 , 2020년 3월,5.0,좋은 부모
2221,ADHD 우리 아이 어떻게 키워야 할까,신윤미 (지은이) , 웅진지식하우스 , 2022년 9월,5.0,좋은 부모
2222,믿는 만큼 자라는 아이들,박혜란 (지은이) , 나무를심는사람들 , 2019년 10월,5.0,좋은 부모
2223,똑똑한 아이낳는 탈무드 태교 동화,글공작소 (엮은이) , 아름다운사람들 , 2013년 2월,4.5,좋은 부모
2224,10대 놀라운 뇌 불안한 뇌 아픈 뇌,김붕년 (지은이) , (주)대성 , 2021년 8월,5.0,좋은 부모
2225,다시 아이를 키운다면 (개정판),박혜란 (지은이) , 나무를심는사람들 , 2019년 5월,4.5,좋은 부모
2226,최강의 육아,"트레이시 커크로 (지은이), 정세영 (옮긴이) ", 앵글북스 , 2018년 7월,5.0,좋은 부모
2227,세상에서 제일 좋은 아이중심 몬테소리,씬디티쳐 박명진 (지은이) , 슬로래빗 , 2021년 2월,5.0,좋은 부모
2228,"어머니, 사교육을 줄이셔야 합니다",정승익 (지은이) , 메이트북스 , 2023년 1월,5.0,좋은 부모
2229,양육가설 : 부모가 자녀의 성장에 미치는 영향에 대한 탐구,"주디스 리치 해리스 (지은이), 최수근 (옮긴이), 황상민 (감수) ", 이김 , 2018년 5월,4.5,좋은 부모
2230,수학 잘하는 아이를 만드는 초등수학 심화 공부법,류승재 (지은이) , 블루무스 , 2022년 9월,5.0,좋은 부모
2231,하루 5분 언어 자극 놀이 120,"장재진 (지은이), 임소희 (그림) ", 카시오페아 , 2022년 12월,5.0,좋은 부모
2232,적당히 육아법,황미숙 (옮긴이) , 웅진리빙하우스 , 2020년 3월,5.0,좋은 부모
2233,오픈도어,"김승언 (지은이), 안동현 (감수) ", 한언출판사 , 2019년 7월,4.5,좋은 부모
2234,스스로 잘 자는 아기를 위한 스르륵 수면교육,범은경 (지은이) , 더블:엔 , 2022년 6월,4.0,좋은 부모
2235,균형 육아,정우열 (지은이) , 팬덤북스 , 2017년 7월,5.0,좋은 부모
2236,내 아이의 강점지능,"곽윤정, 강민수, 이지혜, 엄채윤 (지은이) ", 21세기북스 , 2013년 2월,5.0,좋은 부모
2237,관계가 힘든 아이 잘 키우는 법,민경미 (지은이) , 빌리버튼 , 2023년 2월,0.0,좋은 부모
2238,못 참는 아이 욱하는 부모,오은영 (지은이) , 코리아닷컴(Korea.com) , 2017년 6월,5.0,좋은 부모
2239,4~7세보다 중요한 시기는 없습니다,이임숙 (지은이) , 카시오페아 , 2021년 8월,5.0,좋은 부모
2240,프랑스 아이처럼,"파멜라 드러커맨 (지은이), 이주혜 (옮긴이) ", 북하이브(타임북스) , 2013년 5월,4.5,좋은 부모
2241,스카이 버스,분당강쌤 (지은이) , 다산에듀 , 2023년 1월,5.0,좋은 부모
2242,불안한 엄마 무관심한 아빠,오은영 (지은이) , 김영사 , 2021년 4월,5.0,좋은 부모
2243,칼 비테의 자녀교육 불변의 법칙,"칼 비테 (지은이), 베스트트랜스 (옮긴이) ", MIREDU(미르에듀) , 2011년 9월,4.5,좋은 부모
2244,임포스터,리사 손 (지은이) , 21세기북스 , 2022년 1월,5.0,좋은 부모
2245,메타인지 학습법,리사 손 (지은이) , 21세기북스 , 2019년 7월,4.5,좋은 부모
2246,영유아 몬테소리 육아대백과,"시모네 데이비스 (지은이), 조은경 (옮긴이), 히요코 이마이 (일러스트) ", 키출판사 , 2019년 12월,5.0,좋은 부모
2247,우리 아이 괜찮아요 1 : 마음편,서천석 (지은이) , 예담Friend , 2014년 11월,5.0,좋은 부모
2248,작은 변화에도 걱정이 많아지는 예비 엄마들에게,전종관 (지은이) , 시공사 , 2021년 12월,5.0,좋은 부모
2249,베이비 몬테소리 육아대백과,"시모네 데이비스, 주니파 우조다이크 (지은이), 조은경 (옮긴이) ", 키출판사 , 2021년 7월,5.0,좋은 부모
2250,신의진의 아이심리백과 : 3~4세 편 (30만 부 기념 최신 증보판),신의진 (지은이) , 메이븐 , 2020년 6월,5.0,좋은 부모
2251,신의진의 아이심리백과 (30만 부 기념 최신 증보판),신의진 (지은이) , 메이븐 , 2021년 11월,5.0,좋은 부모
2252,나는 예민한 엄마입니다,송희재 (지은이) , 북드림 , 2022년 2월,5.0,좋은 부모
2253,서두르지 않고 성장 발달에 맞추는 ABA 육아법 (기초편),"한상민 (지은이), 조성헌 (그림) ", 마음책방 , 2021년 2월,5.0,좋은 부모
2254,아이 마음을 다 안다는 착각,천근아 (지은이) , 위즈덤하우스 , 2022년 11월,5.0,좋은 부모
2255,난독의 시대,"박세당, 박세호 (지은이) ", 다산스마트에듀 , 2022년 12월,4.5,좋은 부모
2256,예민한 아이 잘 키우는 법,최치현 (지은이) , 유노라이프 , 2021년 10월,4.5,좋은 부모
2257,영혼이 강한 아이로 키워라,조선미 (지은이) , 쌤앤파커스 , 2017년 6월,5.0,좋은 부모
2258,푸름아빠 거울육아,최희수 (지은이) , 한국경제신문 , 2020년 6월,4.5,좋은 부모
2259,현서네 유튜브 영어 학습법,배성기 (지은이) , 넥서스 , 2020년 12월,4.5,좋은 부모
