aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,aladin_가격
  46    ,팩트풀니스 : 우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,"올라 로슬링, 안나 로슬링 뢴룬드, 한스 로슬링 (지은이), 이창신 (옮긴이) ", 김영사 ,2018-02-01,4.5,인문학,인문,11880
  47    ,군주론,"니콜로 마키아벨리 (지은이), 이시연 (옮긴이) ", 더클래식 ,2018-11-01,4.5,인문학,인문,2200
  48    ,빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클 (지은이), 이시형 (옮긴이) ", 청아출판사 ,2020-07-01,4.5,인문학,인문,7800
  49    ,유혹의 기술,강미경 (옮긴이) , 웅진지식하우스 ,2014-10-01,4.5,인문학,인문,14500
  50    ,유혹하는 글쓰기 : 스티븐 킹의 창작론,"스티븐 킹 (지은이), 김진준 (옮긴이) ", 김영사 ,2020-02-01,4.5,인문학,인문,7920
  51    ,나의 사주명리,현묘 (지은이) , 날(도서출판) ,2022-11-01,5.0,인문학,인문,12600
  52    ,인생이 지옥처럼 느껴질 때,"마샤 리네한 (지은이), 박지니, 정미나 (옮긴이) ", 비잉(Being) ,2022-04-01,3.0,인문학,인문,14000
  53    ,빈곤 과정,조문영 (지은이) , 글항아리 ,2022-12-01,4.0,인문학,인문,18000
  54    ,비폭력 대화,"마셜 B. 로젠버그 (지은이), 캐서린 한 (옮긴이) ", 한국NVC출판사 ,2022-10-01,4.5,인문학,인문,12600
  55    ,몸이 아프다고 생각했습니다,"앨러스테어 샌트하우스 (지은이), 신소희 (옮긴이) ", 심심 ,2022-12-01,5.0,인문학,인문,15120
  56    ,건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 ,2022-07-01,5.0,인문학,인문,15000
  57    ,생각에 관한 생각,"대니얼 카너먼 (지은이), 이창신 (옮긴이) ", 김영사 ,2018-04-01,4.5,인문학,인문,15750
  58    ,마음의 법칙,"폴커 키츠, 마누엘 투쉬 (지은이), 김희상 (옮긴이) ", 포레스트북스 ,2022-02-01,4.5,인문학,인문,11200
  59    ,명상록 : 철학자 황제가 전쟁터에서 자신에게 쓴 일기,"마르쿠스 아우렐리우스 (지은이), 박문재 (옮긴이) ", 현대지성 ,2018-04-01,4.5,인문학,인문,5500
  60    ,트라우마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 임상훈 (옮긴이) ", 윌북 ,2020-04-01,5.0,인문학,인문,15900
  61    ,차라투스트라는 이렇게 말했다,"프리드리히 니체 (지은이), 장희창 (옮긴이) ", 민음사 ,2012-10-01,4.0,인문학,인문,7700
  62    ,마이너 필링스,"캐시 박 홍 (지은이), 노시내 (옮긴이) ", 마티 ,2021-11-01,4.5,인문학,인문,10800
  63    ,홀로서기 심리학,"라라 E. 필딩 (지은이), 이지민 (옮긴이) ", 메이븐 ,2020-11-01,5.0,인문학,인문,10500
  64    ,어떻게든 완성시켜드립니다,"도나 바커 (지은이), 이한이 (옮긴이) ", 위즈덤하우스 ,2023-01-01,5.0,인문학,인문,11200
  65    ,인간의 흑역사 : 인간의 욕심은 끝이 없고 똑같은 실수를 반복한다,"톰 필립스 (지은이), 홍한결 (옮긴이) ", 윌북 ,2019-10-01,4.5,인문학,인문,10900
  66    ,어른의 문해력,김선영 (지은이) , 블랙피쉬 ,2022-06-01,4.5,인문학,인문,9800
  67    ,사랑 수업,윤홍균 (지은이) , 심플라이프 ,2020-12-01,4.5,인문학,인문,11500
  68    ,은유의 글쓰기 상담소,은유 (지은이) , 김영사 ,2023-01-01,5.0,인문학,인문,10400
  69    ,"다시, 어떻게 읽을 것인가","나오미 배런 (지은이), 전병근 (옮긴이) ", 어크로스 ,2023-01-01,4.5,인문학,인문,14000
  70    ,타인의 마음,"김경일, 사피엔스 스튜디오 (지은이) ", 샘터사 ,2022-12-01,5.0,인문학,인문,12600
  71    ,하멜 표류기 : 1668년 오리지널 초판본 표지디자인,"헨드릭 하멜 (지은이), 유동익 (옮긴이) ", 더스토리 ,2020-02-01,5.0,인문학,인문,1980
  72    ,설득의 심리학 2 (개정판),"노아 골드스타인, 스티브 마틴, 로버트 치알디니 (지은이), 윤미나 (옮긴이) ", 21세기북스 ,2015-01-01,4.0,인문학,인문,12000
  73    ,한편 9호 : 외모,민음사 편집부 (엮은이) , 민음사 ,2022-09-01,0.0,인문학,인문,7000
  74    ,신은 성서를 쓰지 않았다,"카럴 판스하이크, 카이 미헬 (지은이), 추선영 (옮긴이) ", 시공사 ,2023-01-01,5.0,인문학,인문,27300
  75    ,백전백승 웹소설 스토리 디자인,김선민 (지은이) , 허들링북스 ,2022-12-01,5.0,인문학,인문,13000
  76    ,나는 어떻게 성형미인이 되었나,임소연 (지은이) , 돌베개 ,2022-12-01,5.0,인문학,인문,10500
  77    ,김연준의 1Day 포인트 클래스,김연준 (지은이) , 아이이북 ,2023-02-01,0.0,인문학,인문,3000
  78    ,한 문장이라도 제대로 쓰는 법,이연정 (지은이) , 21세기북스 ,2023-02-01,5.0,인문학,인문,14400
  79    ,내 문장이 그렇게 이상한가요?,김정선 (지은이) , 유유 ,2016-03-01,4.0,인문학,인문,8400
  80    ,12가지 인생의 법칙 (40만 부 기념 스페셜 에디션),"조던 B. 피터슨 (지은이), 강주헌 (옮긴이) ", 메이븐 ,2023-02-01,0.0,인문학,인문,12700
  81    ,지구가 평평하다고 믿는 사람과 즐겁고 생산적인 대화를 나누는 법,"리 매킨타이어 (지은이), 노윤기 (옮긴이) ", 위즈덤하우스 ,2022-12-01,4.5,인문학,인문,15400
  82    ,나는 왜 나를 함부로 대할까,문요한 (지은이) , 해냄출판사 ,2022-07-01,5.0,인문학,인문,10080
  83    ,감정 어휘,유선경 (지은이) , 앤의서재 ,2022-06-01,4.0,인문학,인문,11200
  84    ,놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 ,2013-11-01,5.0,인문학,인문,13300
  85    ,나는 왜 네 말이 힘들까,박재연 (지은이) , 한빛라이프 ,2020-07-01,4.5,인문학,인문,12060
  86    ,아리스토텔레스 시학 (그리스어 원전 완역본),"아리스토텔레스 (지은이), 박문재 (옮긴이) ", 현대지성 ,2021-03-01,5.0,인문학,인문,4950
  87    ,첫 문장의 힘,"샌드라 거스 (지은이), 지여울 (옮긴이) ", 윌북 ,2022-03-01,4.5,인문학,인문,10360
  88    ,위어드,"조지프 헨릭 (지은이), 유강은 (옮긴이) ", 21세기북스 ,2022-10-01,4.5,인문학,인문,33600
  89    ,과학이 사랑에 대해 말해줄 수 있는 모든 것,"애나 마친 (지은이), 제효영 (옮긴이) ", 어크로스 ,2022-12-01,4.5,인문학,인문,14000
  90    ,의존성 성격장애와 회피성 성격장애,"민병배, 남기숙 (지은이) ", 학지사 ,2018-10-01,5.0,인문학,인문,7600
  91    ,혼자 시작하는 사주명리 공부,김원 (지은이) , 더퀘스트 ,2022-08-01,5.0,인문학,인문,19600
  92    ,사물의 소멸,"한병철 (지은이), 전대호 (옮긴이) ", 김영사 ,2022-09-01,5.0,인문학,인문,11250
  93    ,틸리 서양철학사,"프랭크 틸리 (지은이), 김기찬 (옮긴이) ", 현대지성 ,2020-03-01,4.5,인문학,인문,15500
  94    ,아동 심리치료 치료계획서,"Arthur E. Jongsma, Jr., L. Mark Peterson, William P. McInnis, Timothy J. Bruce (지은이), 송영혜 (옮긴이) ", 시그마프레스 ,2015-09-01,5.0,인문학,인문,16100
  95    ,겸손한 공감,김병수 (지은이) , 더퀘스트 ,2022-04-01,5.0,인문학,인문,11200
  96    ,우크라이나에서 온 메시지,"볼로디미르 젤렌스키 (지은이), 박누리, 박상현 (옮긴이) ", 웅진지식하우스 ,2023-01-01,4.0,인문학,인문,9900
  97    ,기분이 태도가 되지 않으려면,나겨울 (지은이) , 떠오름 ,2021-12-01,5.0,인문학,인문,9450
  98    ,스트레스의 힘,"켈리 맥고니걸 (지은이), 신예경 (옮긴이) ", 21세기북스 ,2020-06-01,5.0,인문학,인문,15840
  99    ,사람의 마음을 움직이는 47가지 심리학 법칙,"타쿠미 에이지 (지은이), 최우영 (옮긴이) ", 생각의날개 ,2022-12-01,5.0,인문학,인문,10400
  100    ,사소절,"이덕무 (지은이), 이동희 (옮긴이) ", 전통문화연구회 ,2013-06-01,4.5,인문학,인문,3000
  1    ,사이토 히토리의 1퍼센트 부자의법칙,"사이토 히토리 (지은이), 김진아 (옮긴이) ", 나비스쿨 ,2023-02-01,5.0,자기계발,에세이/산문,12000
  2    ,김미경의 마흔 수업,김미경 (지은이) , 어웨이크북스 ,2023-02-01,4.5,자기계발,에세이/산문,12600
  3    ,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),김혜남 (지은이) , 메이븐 ,2022-11-01,4.5,자기계발,에세이/산문,12000
  4    ,원씽,"게리 켈러, 제이 파파산 (지은이), 구세희 (옮긴이) ", 비즈니스북스 ,2013-08-01,4.0,자기계발,에세이/산문,10000
  5    ,무조건 합격하는 암기의 기술,이윤규 (지은이) , 더퀘스트 ,2023-01-01,5.0,자기계발,에세이/산문,15040
  6    ,역행자,자청 (지은이) , 웅진지식하우스 ,2022-05-01,4.0,자기계발,에세이/산문,11070
  7    ,챗GPT,반병현 (지은이) , 생능북스 ,2023-02-01,5.0,자기계발,에세이/산문,11000
  8    ,데일 카네기 인간관계론,"데일 카네기 (지은이), 임상훈 (옮긴이) ", 현대지성 ,2019-10-01,4.5,자기계발,에세이/산문,5500
  9    ,[100% 페이백] 하나를 비우니 모든 게 달라졌다,이초아 (지은이) , 북스톤 ,2023-02-01,0.0,자기계발,에세이/산문,11000
  10    ,모든 것이 괜찮아지는 기술,"데런 브라운 (지은이), 김정희 (옮긴이) ", 너를위한 ,2023-01-01,5.0,자기계발,에세이/산문,12300
  11    ,보도 섀퍼 부의 레버리지,"보도 섀퍼 (지은이), 한윤진 (옮긴이) ", 비즈니스북스 ,2023-02-01,5.0,자기계발,에세이/산문,11030
  12    ,어른의 어휘 공부,신효원 (지은이) , 책장속북스 ,2022-09-01,5.0,자기계발,에세이/산문,12800
  13    ,게으른 완벽주의자를 위한 심리학,"헤이든 핀치 (지은이), 이은정 (옮긴이) ", 시크릿하우스 ,2022-08-01,5.0,자기계발,에세이/산문,11900
  14    ,데일 카네기 자기 관리론 (국내 최초 무삭제 완역본),"데일 카네기 (지은이), 유광선(WILDS), 김광수 (옮긴이) ", 와일드북 ,2023-01-01,5.0,자기계발,에세이/산문,4500
  15    ,악인론,손수현 (지은이) , 다산북스 ,2023-02-01,2.5,자기계발,에세이/산문,11610
  16    ,레버리지 (20만 부 기념 블랙에디션),"롭 무어 (지은이), 김유미 (옮긴이) ", 다산북스 ,2023-02-01,4.0,자기계발,에세이/산문,11340
  17    ,진짜 쓰는 실무 엑셀,오빠두(전진권) (지은이) , 제이펍 ,2022-09-01,5.0,자기계발,에세이/산문,14700
  18    ,신경 끄기 연습,"나이토 요시히토 (지은이), 김한나 (옮긴이) ", 유노책주 ,2023-01-01,5.0,자기계발,에세이/산문,12000
  19    ,데일 카네기 자기관리론,데일 카네기 (지은이) , 현대지성 ,2021-01-01,4.5,자기계발,에세이/산문,5500
  20    ,부는 어디서 오는가,"월리스 D. 와틀스 (지은이), 이상미 (옮긴이) ", 포레스트북스 ,2022-12-01,4.5,자기계발,에세이/산문,10500
  21    ,사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 ,2022-10-01,5.0,자기계발,에세이/산문,6900
  22    ,"우리, 편하게 말해요",이금희 (지은이) , 웅진지식하우스 ,2022-10-01,4.5,자기계발,에세이/산문,10800
  23    ,되는 사람,"도널드 밀러 (지은이), 김은영 (옮긴이) ", 윌북 ,2023-02-01,5.0,자기계발,에세이/산문,12500
  24    ,일생에 단 한번은 독기를 품어라,권민창 (지은이) , 마인드셋 ,2023-02-01,5.0,자기계발,에세이/산문,11000
  25    ,타이탄의 도구들,"팀 페리스 (지은이), 박선령, 정지현 (옮긴이) ", 토네이도 ,2017-04-01,4.0,자기계발,에세이/산문,14400
  26    ,아주 작은 습관의 힘,"제임스 클리어 (지은이), 이한이 (옮긴이) ", 비즈니스북스 ,2019-02-01,4.5,자기계발,에세이/산문,11200
  27    ,설득의 심리학 (개정판),"로버트 치알디니 (지은이), 황혜숙 (옮긴이) ", 21세기북스 ,2013-08-01,4.5,자기계발,에세이/산문,12800
  28    ,그릿(50만부 판매 기념 리커버 골드에디션),"앤절라 더크워스 (지은이), 김미정 (옮긴이) ", 비즈니스북스 ,2019-02-01,4.5,자기계발,에세이/산문,12600
  29    ,웰씽킹,켈리 최 (지은이) , 다산북스 ,2021-11-01,4.5,자기계발,에세이/산문,11200
  30    ,10배의 법칙,"그랜트 카돈 (지은이), 최은아 (옮긴이) ", 부키 ,2022-04-01,4.5,자기계발,에세이/산문,12000
  31    ,합리적 남자,"롤로 토마시 (지은이), 임현진 (옮긴이) ", 아니마 ,2020-02-01,4.5,자기계발,에세이/산문,7800
  32    ,The Secret 시크릿,"론다 번 (지은이), 김우열 (옮긴이) ", 살림Biz ,2012-10-01,4.0,자기계발,에세이/산문,9000
  33    ,멘탈을 바꿔야 인생이 바뀐다,박세니 (지은이) , 마인드셋 ,2022-05-01,4.0,자기계발,에세이/산문,11000
  34    ,데일리 필로소피,"라이언 홀리데이, 스티븐 핸슬먼 (지은이), 장원철 (옮긴이) ", 다산초당 ,2021-12-01,4.5,자기계발,에세이/산문,12600
  35    ,당신의 뇌는 최적화를 원한다,"가바사와 시온 (지은이), 오시연 (옮긴이) ", 쌤앤파커스 ,2019-02-01,4.0,자기계발,에세이/산문,10500
  36    ,비상식적 성공 법칙,"간다 마사노리 (지은이), 서승범 (옮긴이) ", 생각지도 ,2022-06-01,4.5,자기계발,에세이/산문,13000
  37    ,생각이 너무 많은 서른 살에게,김은주 (지은이) , 메이븐 ,2021-06-01,4.0,자기계발,에세이/산문,11000
  38    ,조셉 머피 끌어당김의 기적,"조셉 머피 (지은이), 조율리 (옮긴이) ", 다산북스 ,2023-01-01,4.5,자기계발,에세이/산문,15400
  39    ,화이트 스페이스,"줄리엣 펀트 (지은이), 안기순 (옮긴이) ", 알키 ,2023-02-01,5.0,자기계발,에세이/산문,13680
  40    ,회복탄력성 (리커버),김주환 (지은이) , 위즈덤하우스 ,2019-04-01,5.0,자기계발,에세이/산문,10360
  41    ,지금 이 순간을 살아라,"에크하르트 톨레 (지은이), 노혜숙, 유영일 (옮긴이) ", 양문 ,2014-05-01,4.5,자기계발,에세이/산문,7500
  42    ,가진 돈은 몽땅 써라,"호리에 다카후미 (지은이), 윤지나 (옮긴이) ", 쌤앤파커스 ,2022-06-01,4.0,자기계발,에세이/산문,9800
  43    ,당신도 초자연적이 될 수 있다,"조 디스펜자 (지은이), 추미란 (옮긴이) ", 샨티 ,2022-11-01,4.5,자기계발,에세이/산문,22000
  44    ,무조건 팔리는 카피,"글렌 피셔 (지은이), 박지혜 (옮긴이) ", 동양북스(동양문고) ,2023-01-01,5.0,자기계발,에세이/산문,13000
  45    ,감정은 습관이다,박용철 (지은이) , 유노책주 ,2023-01-01,5.0,자기계발,에세이/산문,13000
  46    ,사람을 얻는 지혜,"발타자르 그라시안 (지은이), 임정재 (옮긴이) ", 타커스(끌레마) ,2016-03-01,5.0,자기계발,에세이/산문,7590
  47    ,유혹의 기술,강미경 (옮긴이) , 웅진지식하우스 ,2014-10-01,4.5,자기계발,에세이/산문,14500
  48    ,밥 프록터 부의 확신,"밥 프록터 (지은이), 김문주 (옮긴이) ", 비즈니스북스 ,2022-07-01,5.0,자기계발,에세이/산문,11200
  49    ,이유 없는 편안함,노랑검정 (지은이) , 레버리지 ,2020-02-01,4.5,자기계발,에세이/산문,12400
  50    ,내가 알고 있는 걸 당신도 알게 된다면 (리커버 에디션),"칼 필레머 (지은이), 박여진 (옮긴이) ", 토네이도 ,2022-08-01,5.0,자기계발,에세이/산문,13600
  51    ,밥 프록터의 위대한 확언,"밥 프록터 (지은이), 김잔디 (옮긴이), 조성희 (감수) ", 페이지2(page2) ,2022-12-01,5.0,자기계발,에세이/산문,12500
  52    ,악마의 연애술 : 그를 내 남자로 만드는 긴자의 법칙 133,"나비 (지은이), 신현정 (옮긴이) ", 새움 ,2013-04-01,4.0,자기계발,에세이/산문,7200
  53    ,"부자는 됐고, 적당히 벌고 적당히 잘사는 법","풍백(임다혜) (지은이), 화이트아울프로젝트 (옮긴이) ", 잇콘 ,2023-01-01,5.0,자기계발,에세이/산문,11200
  54    ,삶을 바꾸는 질문의 기술,"엘커 비스 (지은이), 유동익, 강재형 (옮긴이) ", 동양북스(동양문고) ,2023-02-01,5.0,자기계발,에세이/산문,11000
  55    ,처음 20시간의 법칙,"조시 카우프만 (지은이), 방영호, 조혜란 (옮긴이) ", 알키 ,2014-03-01,4.0,자기계발,에세이/산문,9700
  56    ,일 잘하는 디자이너,"시부야 료이치(파치파치 디자인) (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 ,2023-02-01,5.0,자기계발,에세이/산문,11000
  57    ,아이디어가 팔리는 순간,"탬슨 웹스터 (지은이), 박세연 (옮긴이) ", 현대지성 ,2023-01-01,5.0,자기계발,에세이/산문,11000
  58    ,마음의 법칙,"폴커 키츠, 마누엘 투쉬 (지은이), 김희상 (옮긴이) ", 포레스트북스 ,2022-02-01,4.5,자기계발,에세이/산문,11200
  59    ,나는 4시간만 일한다,"팀 페리스 (지은이), 최원형, 윤춘송 (옮긴이) ", 다른상상 ,2017-10-01,4.0,자기계발,에세이/산문,10360
  60    ,나는 무조건 합격하는 공부만 한다,이윤규 (지은이) , 비즈니스북스 ,2019-12-01,4.0,자기계발,에세이/산문,10500
  61    ,백만장자 시크릿,"하브 에커 (지은이), 나선숙 (옮긴이) ", 알에이치코리아(RHK) ,2020-08-01,4.5,자기계발,에세이/산문,11200
  62    ,더 시스템,"스콧 애덤스 (지은이), 김인수 (옮긴이) ", 베리북 ,2020-08-01,4.0,자기계발,에세이/산문,11200
  63    ,무기가 되는 스토리 : 브랜드 전쟁에서 살아남는 7가지 문장 공식,"도널드 밀러 (지은이), 이지연 (옮긴이) ", 윌북 ,2018-09-01,4.5,자기계발,에세이/산문,10360
  64    ,나는 왜 혼자가 편할까?,"오카다 다카시 (지은이), 김해용 (옮긴이) ", 동양북스(동양문고) ,2022-02-01,4.5,자기계발,에세이/산문,10000
  65    ,말센스,"셀레스트 헤들리 (지은이), 김성환 (옮긴이) ", 스몰빅라이프 ,2019-02-01,4.0,자기계발,에세이/산문,10000
  66    ,찰리 멍거 바이블,"이건, 김재현 (지은이) ", 에프엔미디어 ,2022-12-01,4.5,자기계발,에세이/산문,17000
  67    ,영어 필사 100일의 기적,퍼포먼스 코치 리아 (지은이) , 넥서스 ,2021-11-01,4.5,자기계발,에세이/산문,10500
  68    ,어른의 문해력,김선영 (지은이) , 블랙피쉬 ,2022-06-01,4.5,자기계발,에세이/산문,9800
  69    ,사랑 수업,윤홍균 (지은이) , 심플라이프 ,2020-12-01,4.5,자기계발,에세이/산문,11500
  70    ,허브 코헨의 협상의 기술 1,"허브 코헨 (지은이), 양진성 (옮긴이) ", 김영사 ,2021-01-01,4.5,자기계발,에세이/산문,10530
  71    ,무례한 사람에게 휘둘리지 않는 법,정재훈 (지은이) , 마인드셋 ,2022-05-01,5.0,자기계발,에세이/산문,10500
  72    ,린치핀,"세스 고딘 (지은이), 윤영삼 (옮긴이) ", 라이스메이커 ,2019-12-01,4.0,자기계발,에세이/산문,12600
  73    ,타인의 마음,"김경일, 사피엔스 스튜디오 (지은이) ", 샘터사 ,2022-12-01,5.0,자기계발,에세이/산문,12600
  74    ,일론 머스크: 미래의 설계자,"애슐리 반스 (지은이), 안기순 (옮긴이) ", 김영사 ,2015-05-01,4.5,자기계발,에세이/산문,11250
  75    ,"눈치껏 못 배웁니다, 일센스",공여사들 (지은이) , 21세기북스 ,2021-05-01,5.0,자기계발,에세이/산문,12800
  76    ,오케팅: 실전 마케팅 & 퍼스널브랜딩,오두환 (지은이) , 대한출판사 ,2021-07-01,5.0,자기계발,에세이/산문,9900
  77    ,설득의 심리학 2 (개정판),"노아 골드스타인, 스티브 마틴, 로버트 치알디니 (지은이), 윤미나 (옮긴이) ", 21세기북스 ,2015-01-01,4.0,자기계발,에세이/산문,12000
  78    ,시간을 선택하는 기술 블럭식스,정지하(룩말) (지은이) , 한즈미디어 ,2021-12-01,5.0,자기계발,에세이/산문,11900
  79    ,어떻게 능력을 보여 줄것인가 : 당신의 가치를 빛나게 할 능력 어필의 기술,안인희 (옮긴이) , 갤리온 ,2018-09-01,4.0,자기계발,에세이/산문,10500
  80    ,무라카미 하루키 명언 30,무라카미 하루키 (지은이) , GOT(group of text) ,2023-02-01,0.0,자기계발,에세이/산문,2000
  81    ,[세트] 현대지성 클래식 오디오북 (총10권),"발타자르 그라시안 (지은이), 김유경 (옮긴이), 박상훈 (낭독) ", 현대지성 ,2023-02-01,0.0,자기계발,에세이/산문,65900
  82    ,미라클 모닝,"할 엘로드 (지은이), 김현수 (옮긴이) ", 한빛비즈 ,2020-02-01,4.0,자기계발,에세이/산문,8400
  83    ,감정 어휘,유선경 (지은이) , 앤의서재 ,2022-06-01,4.0,자기계발,에세이/산문,11200
  84    ,더 해빙,"이서윤, 홍주연 (지은이) ", 수오서재 ,2021-11-01,4.0,자기계발,에세이/산문,12500
  85    ,서울 자가에 대기업 다니는 김 부장 이야기 3 : 송 과장 편,송희구 (지은이) , 서삼독 ,2021-11-01,4.5,자기계발,에세이/산문,12000
  86    ,[요약발췌본] 하버드 100년 전통 말하기 수업,"이에스더 (옮긴이), 선호제 (낭독) ", 리드리드출판(한국능률협회) ,2020-07-01,4.5,자기계발,에세이/산문,6000
  87    ,힘들어도 사람한테 너무 기대지 마세요,정우열 (지은이) , 동양북스(동양문고) ,2022-05-01,5.0,자기계발,에세이/산문,9450
  88    ,프레임,최인철 (지은이) , 21세기북스 ,2021-07-01,5.0,자기계발,에세이/산문,16000
  89    ,네빌고다드의 부활,네빌 고다드 (지은이) , 서른세개의계단 ,2013-12-01,4.5,자기계발,에세이/산문,9500
  90    ,왓칭 WATCHING,김상운 (지은이) , 정신세계사 ,2016-01-01,4.0,자기계발,에세이/산문,9100
  91    ,조셉 머피 부의 초월자,"조셉 머피 (지은이), 조율리 (옮긴이) ", 다산북스 ,2022-10-01,4.0,자기계발,에세이/산문,15400
  92    ,일 잘하는 사람은 단순하게 말합니다,박소연 (지은이) , 더퀘스트 ,2020-05-01,5.0,자기계발,에세이/산문,11550
  93    ,보도 섀퍼의 이기는 습관,"보도 섀퍼 (지은이), 박성원 (옮긴이) ", 토네이도 ,2022-04-01,4.5,자기계발,에세이/산문,13600
  94    ,리얼리티 트랜서핑.,"바딤 젤란드 (지은이), 박인수 (옮긴이) ", 정신세계사 ,2012-08-01,4.5,자기계발,에세이/산문,7700
  95    ,나는 무조건 한 번에 합격한다,이형재 (지은이) , 웅진지식하우스 ,2022-07-01,5.0,자기계발,에세이/산문,12000
  96    ,하루 24시간 어떻게 살 것인가,"아널드 베넷 (지은이), 이미숙 (옮긴이) ", 더스토리 ,2020-03-01,5.0,자기계발,에세이/산문,990
  97    ,면접 바이블 2.0,면접왕 이형 (지은이) , 얼라이브북스(Alivebooks) ,2022-04-01,5.0,자기계발,에세이/산문,16830
  98    ,모든 것이 되는 법 : 꿈이 너무 많은 당신을 위한 새로운 삶의 방식,김보미 (옮긴이) , 웅진지식하우스 ,2017-12-01,4.5,자기계발,에세이/산문,10360
  99    ,더 바이브 The Vibe,이하영 (지은이) , 미다스북스 ,2023-01-01,5.0,자기계발,에세이/산문,9000
  100    ,"울트라러닝, 세계 0.1％가 지식을 얻는 비밀","스콧 영 (지은이), 이한이 (옮긴이) ", 비즈니스북스 ,2020-02-01,4.0,자기계발,에세이/산문,11200
  1    ,세상에서 가장 쉬운 본질육아,지나영 (지은이) , 21세기북스 ,2022-09-01,5.0,좋은 부모,가정/생활,15040
  2    ,초등입학 엄마의 비밀노트,지서영 (지은이) , 이페이지 ,2023-01-01,5.0,좋은 부모,가정/생활,1000
  3    ,자발적 방관육아,최은아 (지은이) , 쌤앤파커스 ,2023-01-01,5.0,좋은 부모,가정/생활,12000
  4    ,내 아이를 위한 감정코칭,"조벽, 최성애, 존 가트맨 (지은이) ", 해냄출판사 ,2020-02-01,4.5,좋은 부모,가정/생활,10800
  5    ,"어머니, 사교육을 줄이셔야 합니다",정승익 (지은이) , 메이트북스 ,2023-01-01,5.0,좋은 부모,가정/생활,10200
  6    ,어떻게 말해줘야 할까,"오은영 (지은이), 차상미 (그림) ", 김영사 ,2020-11-01,5.0,좋은 부모,가정/생활,11070
  7    ,못 참는 아이 욱하는 부모,오은영 (지은이) , 코리아닷컴(Korea.com) ,2017-06-01,5.0,좋은 부모,가정/생활,11800
  8    ,똑게육아,로리(김준희) (지은이) , 북로스트 ,2022-05-01,5.0,좋은 부모,가정/생활,14940
  9    ,공부머리 독서법 : 실현 가능하고 지속 가능한 독서교육의 모든 것,최승필 (지은이) , 책구루 ,2018-07-01,4.5,좋은 부모,가정/생활,12000
  10    ,아들의 뇌,곽윤정 (지은이) , 포레스트북스 ,2021-10-01,5.0,좋은 부모,가정/생활,10500
  11    ,0~5세 말걸기 육아의 힘,김수연 (지은이) , 위즈덤하우스 ,2020-09-01,5.0,좋은 부모,가정/생활,12250
  12    ,부모 인문학 수업,김종원 (지은이) , 청림Life ,2022-07-01,5.0,좋은 부모,가정/생활,11200
  13    ,엄마의 말 연습,윤지영 (지은이) , 카시오페아 ,2022-10-01,5.0,좋은 부모,가정/생활,12250
  14    ,기분대로 아이를 키우지 않겠습니다,곽윤정 (지은이) , 포레스트북스 ,2022-11-01,5.0,좋은 부모,가정/생활,10500
  15    ,우리 아이 기질 맞춤 양육 매뉴얼,정가은 (지은이) , 서사원 ,2022-11-01,5.0,좋은 부모,가정/생활,16000
  16    ,난독의 시대,"박세당, 박세호 (지은이) ", 다산스마트에듀 ,2022-12-01,4.5,좋은 부모,가정/생활,12600
  17    ,똑똑한 아이낳는 탈무드 태교 동화,글공작소 (엮은이) , 아름다운사람들 ,2013-02-01,4.5,좋은 부모,가정/생활,6000
  18    ,잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 ,2014-09-01,5.0,좋은 부모,가정/생활,9900
  19    ,돌봄과 작업,"홍한별, 정서경, 서유미 (지은이) ", 돌고래 ,2022-12-01,4.5,좋은 부모,가정/생활,12000
  20    ,영유아 몬테소리 육아대백과,"시모네 데이비스 (지은이), 조은경 (옮긴이), 히요코 이마이 (일러스트) ", 키출판사 ,2019-12-01,5.0,좋은 부모,가정/생활,11200
  21    ,0~5세 뇌가 쑥쑥 자라는 놀이 육아,이보연 (지은이) , 위즈덤하우스 ,2020-02-01,5.0,좋은 부모,가정/생활,11200
  22    ,수학 잘하는 아이는 이렇게 공부합니다,류승재 (지은이) , 블루무스 ,2021-03-01,4.5,좋은 부모,가정/생활,11760
  23    ,예민한 아이 잘 키우는 법,최치현 (지은이) , 유노라이프 ,2021-10-01,4.5,좋은 부모,가정/생활,12000
  24    ,최강의 육아,"트레이시 커크로 (지은이), 정세영 (옮긴이) ", 앵글북스 ,2018-07-01,5.0,좋은 부모,가정/생활,11300
  25    ,수학 잘하는 아이를 만드는 초등수학 심화 공부법,류승재 (지은이) , 블루무스 ,2022-09-01,5.0,좋은 부모,가정/생활,13860
