aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_가격,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,현재 날짜
  37    ,미적분의 힘,"스티븐 스트로가츠 (지은이), 이충호 (옮긴이) ", 해나무 ,2021-11-01,15000,5.0,과학,자연/과학,2023-02-23
  38    ,수학은 어떻게 문명을 만들었는가,"마이클 브룩스 (지은이), 고유경 (옮긴이) ", 브론스테인 ,2022-09-01,15400,4.0,과학,자연/과학,2023-02-23
  39    ,정재승의 과학 콘서트 (개정증보 2판),정재승 (지은이) , 어크로스 ,2020-07-01,11500,4.5,과학,자연/과학,2023-02-23
  40    ,최종 경고 : 6도의 멸종,"마크 라이너스 (지은이), 김아림 (옮긴이) ", 세종(세종서적) ,2022-07-01,14000,5.0,과학,자연/과학,2023-02-23
  41    ,지구를 구할 여자들,"카트리네 마르살 (지은이), 김하현 (옮긴이) ", 부키 ,2022-09-01,12500,5.0,과학,자연/과학,2023-02-23
  42    ,나는 어떻게 성형미인이 되었나,임소연 (지은이) , 돌베개 ,2022-12-01,10500,5.0,과학,자연/과학,2023-02-23
  43    ,신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 ,2022-05-01,13200,0.0,과학,자연/과학,2023-02-23
  44    ,정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) ,2022-10-01,33000,0.0,과학,자연/과학,2023-02-23
  45    ,헨리에타 랙스의 불멸의 삶,"레베카 스클루트 (지은이), 김정한, 김정부 (옮긴이) ", 꿈꿀자유 ,2023-02-01,18000,0.0,과학,자연/과학,2023-02-23
  46    ,엔드 오브 타임,"브라이언 그린 (지은이), 박병철 (옮긴이) ", 와이즈베리 ,2021-02-01,15400,5.0,과학,자연/과학,2023-02-23
  47    ,데이터는 어떻게 인생의 무기가 되는가,"세스 스티븐스 다비도위츠 (지은이), 안진이 (옮긴이) ", 더퀘스트 ,2022-10-01,15040,5.0,과학,자연/과학,2023-02-23
  48    ,나는 오늘 나에게 ADHD라는 이름을 주었다,신지수 (지은이) , 휴머니스트 ,2021-07-01,11200,4.0,과학,자연/과학,2023-02-23
  49    ,느끼고 아는 존재,"안토니오 다마지오 (지은이), 고현석 (옮긴이), 박문호 (감수) ", 흐름출판 ,2021-09-01,13600,4.5,과학,자연/과학,2023-02-23
  50    ,까면서 보는 해부학 만화,"압듈라 (지은이), 신동선 (감수) ", 한빛비즈 ,2020-07-01,12950,4.5,과학,자연/과학,2023-02-23
  51    ,생각은 어떻게 행동이 되는가,"데이비드 바드르 (지은이), 김한영 (옮긴이) ", 해나무 ,2022-03-01,14850,5.0,과학,자연/과학,2023-02-23
  52    ,공감은 지능이다,"자밀 자키 (지은이), 정지인 (옮긴이) ", 심심 ,2021-04-01,16500,4.5,과학,자연/과학,2023-02-23
  53    ,어떻게 물리학을 사랑하지 않을 수 있을까?,"짐 알칼릴리 (지은이), 김성훈 (옮긴이) ", 윌북 ,2022-05-01,12460,4.5,과학,자연/과학,2023-02-23
  54    ,도덕을 왜 자연에서 찾는가?,"로레인 대스턴 (지은이), 홍성욱, 이지혜 (옮긴이) ", 김영사 ,2022-11-01,9900,4.5,과학,자연/과학,2023-02-23
  55    ,파란하늘 빨간지구,조천호 (지은이) , 동아시아 ,2019-03-01,9600,4.5,과학,자연/과학,2023-02-23
  56    ,오래된 기억들의 방,"베로니카 오킨 (지은이), 김병화 (옮긴이) ", 알에이치코리아(RHK) ,2022-09-01,13300,4.5,과학,자연/과학,2023-02-23
  57    ,바디,"빌 브라이슨 (지은이), 이한음 (옮긴이) ", 까치 ,2020-01-01,16100,4.5,과학,자연/과학,2023-02-23
  58    ,오래된 연장통,전중환 (지은이) , 사이언스북스 ,2017-07-01,16000,4.0,과학,자연/과학,2023-02-23
  59    ,나는 어쩌다 명왕성을 죽였나,"마이크 브라운 (지은이), 지웅배 (옮긴이) ", 롤러코스터 ,2021-04-01,13500,4.5,과학,자연/과학,2023-02-23
  60    ,대량살상수학무기,"캐시 오닐 (지은이), 김정혜 (옮긴이) ", 흐름출판 ,2017-10-01,12800,4.5,과학,자연/과학,2023-02-23
  61    ,주의력 연습,"아미시 자 (지은이), 안진이 (옮긴이) ", 어크로스 ,2022-10-01,14000,4.5,과학,자연/과학,2023-02-23
  62    ,우리는 모두 조금은 이상한 것을 믿는다,"대니얼 록스턴, 니콜라 고브리트 (지은이), 스켑틱 협회 편집부 (엮은이) ", 바다출판사 ,2022-09-01,12800,4.5,과학,자연/과학,2023-02-23
  63    ,피타고라스 생각 수업,이광연 (지은이) , 유노라이프 ,2023-01-01,15000,5.0,과학,자연/과학,2023-02-23
  64    ,수학으로 생각하기,"스즈키 간타로 (지은이), 최지영 (옮긴이), 최정담(디멘) (감수) ", 포레스트북스 ,2022-06-01,11000,5.0,과학,자연/과학,2023-02-23
  65    ,더 브레인,"데이비드 이글먼 (지은이), 전대호 (옮긴이) ", 해나무 ,2017-10-01,12000,4.0,과학,자연/과학,2023-02-23
  66    ,프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) ,2022-02-01,35000,5.0,과학,자연/과학,2023-02-23
  67    ,기적을 부르는 뇌 - 뇌가소성 혁명이120 일구어낸 인간 승리의 기록들,"노먼 도이지 (지은이), 김미선 (옮긴이) ", 지호 ,2012-08-01,18400,4.5,과학,자연/과학,2023-02-23
  68    ,가까운 사람이 자기애성 성격 장애일 때,"우도 라우흐플라이슈 (지은이), 장혜경 (옮긴이) ", 심심 ,2021-03-01,13500,4.5,과학,자연/과학,2023-02-23
  69    ,아인슈타인이 괴델과 함께 걸을 때,"짐 홀트 (지은이), 노태복 (옮긴이) ", 소소의책 ,2020-05-01,21600,4.5,과학,자연/과학,2023-02-23
  70    ,파인만 씨 농담도 잘하시네 2,"리처드 파인만 (지은이), 김희봉 (옮긴이) ", 사이언스북스 ,2014-07-01,5600,4.5,과학,자연/과학,2023-02-23
  71    ,해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) ,2021-07-01,26000,0.0,과학,자연/과학,2023-02-23
  72    ,콘택트 1,"칼 세이건 (지은이), 이상원 (옮긴이) ", 사이언스북스 ,2019-08-01,8000,4.5,과학,자연/과학,2023-02-23
  73    ,프로그래머를 위한 확률과 통계,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 ,2019-06-01,25600,5.0,과학,자연/과학,2023-02-23
  74    ,작은 것들이 만든 거대한 세계,"멀린 셸드레이크 (지은이), 김은영 (옮긴이), 홍승범 (감수) ", 아날로그(글담) ,2021-05-01,14000,5.0,과학,자연/과학,2023-02-23
  75    ,양자역학 이야기,"팀 제임스 (지은이), 김주희 (옮긴이) ", 한빛비즈 ,2022-11-01,12600,5.0,과학,자연/과학,2023-02-23
  76    ,콘택트 2,"칼 세이건 (지은이), 이상원 (옮긴이) ", 사이언스북스 ,2019-08-01,8000,4.5,과학,자연/과학,2023-02-23
  77    ,10대의 뇌,"에이미 엘리스 넛 (지은이), 김성훈 (옮긴이) ", 웅진지식하우스 ,2020-02-01,12600,4.5,과학,자연/과학,2023-02-23
  78    ,아내를 모자로 착각한 남자,"올리버 색스 (지은이), 이정호 (그림), 조석현 (옮긴이) ", 알마 출판사 ,2016-11-01,13650,4.5,과학,자연/과학,2023-02-23
  79    ,"기억하는 뇌, 망각하는 뇌",이인아 (지은이) , 21세기북스 ,2022-07-01,13600,5.0,과학,자연/과학,2023-02-23
  80    ,"지구 격동의 이력서, 암석 25","도널드 R. 프로세로 (지은이), 김정은 (옮긴이) ", 뿌리와이파리 ,2022-06-01,17500,4.5,과학,자연/과학,2023-02-23
  81    ,죽는 게 참 어렵습니다,"김영화, 김호성, 나경희 (지은이) ", 시사IN북 ,2021-12-01,10400,4.0,과학,자연/과학,2023-02-23
  82    ,식물학 수업,"이나가키 히데히로 (지은이), 장은정 (옮긴이) ", 키라북스 ,2021-02-01,10000,0.0,과학,자연/과학,2023-02-23
  83    ,기초 회로이론,최윤식 (지은이) , 한빛아카데미(교재) ,2020-12-01,24000,0.0,과학,자연/과학,2023-02-23
  84    ,복잡계 개론,"윤영수, 채승병 (지은이) ", 삼성글로벌리서치 ,2022-10-01,12500,4.5,과학,자연/과학,2023-02-23
  85    ,식물의 책,이소영 (지은이) , 책읽는수요일 ,2020-11-01,10500,4.0,과학,자연/과학,2023-02-23
  86    ,로봇공학,정슬 (지은이) , 청문각 ,2019-12-01,23000,0.0,과학,자연/과학,2023-02-23
  87    ,다윈 지능,최재천 (지은이) , 사이언스북스 ,2023-02-01,16000,0.0,과학,자연/과학,2023-02-23
  88    ,탄소 농업 (미래를 바꾸는),허북구 (지은이) , 중앙생활사 ,2022-08-01,12000,5.0,과학,자연/과학,2023-02-23
  89    ,수학보다 데이터 문해력,정성규 (지은이) , EBS BOOKS ,2022-12-01,11900,5.0,과학,자연/과학,2023-02-23
  90    ,면역력,"이시하라 니나 (지은이), 김혜숙 (옮긴이), 박주홍 (감수) ", 성안당 ,2022-12-01,7800,5.0,과학,자연/과학,2023-02-23
  91    ,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 ,2023-01-01,17100,0.0,과학,자연/과학,2023-02-23
  92    ,위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) ,2022-12-01,29000,5.0,과학,자연/과학,2023-02-23
  93    ,가상현실과 증강현실의 역사,공병훈 (지은이) , 세계와나 ,2017-01-01,3500,0.0,과학,자연/과학,2023-02-23
  94    ,라파엘로가 사랑한 철학자들,김종성 (지은이) , 비제이퍼블릭 ,2023-02-01,16000,5.0,과학,자연/과학,2023-02-23
  95    ,만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 ,2016-02-01,15750,4.0,과학,자연/과학,2023-02-23
  96    ,미적분의 쓸모,한화택 (지은이) , 더퀘스트 ,2022-05-01,13650,5.0,과학,자연/과학,2023-02-23
  97    ,"빌 게이츠, 기후재앙을 피하는 법","빌 게이츠 (지은이), 김민주, 이엽 (옮긴이) ", 김영사 ,2021-02-01,10800,4.5,과학,자연/과학,2023-02-23
  98    ,신비롭지 않은 여자들,임소연 (지은이) , 민음사 ,2022-06-01,10500,4.5,과학,자연/과학,2023-02-23
  99    ,나는 내가 죽었다고 생각했습니다,장호연 (옮긴이) , 윌북 ,2018-11-01,9660,4.5,과학,자연/과학,2023-02-23
  100    ,차이에 관한 생각,"프란스 드 발 (지은이), 이충호 (옮긴이) ", 세종(세종서적) ,2022-12-01,15400,5.0,과학,자연/과학,2023-02-23
  1    ,이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 ,2019-02-01,14000,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  2    ,Do it! 알고리즘 코딩 테스트 - 자바 편,김종관 (지은이) , 이지스퍼블리싱 (주) ,2022-04-01,22000,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  3    ,비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 ,2022-08-01,13000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  4    ,이것이 자바다,신용권 (지은이) , 한빛미디어 ,2022-09-01,25920,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  5    ,아동 심리치료 치료계획서,"Arthur E. Jongsma, Jr., L. Mark Peterson, William P. McInnis, Timothy J. Bruce (지은이), 송영혜 (옮긴이) ", 시그마프레스 ,2015-09-01,16100,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  6    ,프셉마음 - 산부인과편,정유정 (지은이) , 드림널스 ,2022-04-01,23200,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  7    ,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 (지은이) , 한빛미디어 ,2020-09-01,24480,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  8    ,Do it! 점프 투 파이썬 -전면 개정판,박응용 (지은이) , 이지스퍼블리싱 ,2019-06-01,13000,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  9    ,파이썬 알고리즘 인터뷰,"박상길 (지은이), 정진호 (그림) ", 책만 ,2020-10-01,30400,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  10    ,한국전문소생술 4판,대한심폐소생협회 (지은이) , 군자출판사 ,2021-11-01,10000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  11    ,헤드 퍼스트 디자인 패턴,"케이시 시에라, 버트 베이츠, 엘리자베스 롭슨 (지은이) ", 한빛미디어 ,2022-04-01,25920,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  12    ,의존성 성격장애와 회피성 성격장애,"민병배, 남기숙 (지은이) ", 학지사 ,2018-10-01,7600,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  13    ,보육교사 장기 미종사자 직무교육,"윤매자, 하수연, 정연옥 (지은이) ", 공동체 ,2022-12-01,12000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  14    ,ChatGPT와 DALLE2로 인공지능 내맘대로 다루기,초보AI (지은이) , e퍼플 ,2023-02-01,12000,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  15    ,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희 (지은이) , 이지스퍼블리싱 (주) ,2021-01-01,19000,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  16    ,프셉마음 : 혈액검사 해석 및 간호편,"이재왕, 김지희 (지은이) ", 드림널스 ,2022-09-01,24000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  17    ,틸리 서양철학사,"프랭크 틸리 (지은이), 김기찬 (옮긴이) ", 현대지성 ,2020-03-01,15500,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  18    ,프셉마음 - 입문편,드림널스 편집부 (지은이) , 드림널스 ,2022-04-01,22400,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  19    ,프셉마음 - 약물편,"남소희, 허연정 (지은이) ", 드림널스 ,2022-04-01,20000,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  20    ,난생처음 치과진료,윤지혜 (지은이) , 군자출판사 ,2021-02-01,40000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  21    ,계량경제학,"R. 카터 힐, William E. Griffiths, Guay C. Lim (지은이) ", 시그마프레스 ,2021-02-01,29600,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  22    ,불륜의 심리학,"게르티 젱어, 발터 호프만 (지은이), 함미라 (옮긴이) ", 탐나는책 ,2023-02-01,14000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  23    ,정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) ,2022-10-01,33000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  24    ,거시경제학,"그레고리 맨큐 (지은이), 이병락 (옮긴이) ", 시그마프레스 ,2023-02-01,31500,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  25    ,보건의료 관리와 리더십,이종율 (지은이) , 한올출판사 ,2023-01-01,28800,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  26    ,레트로의 유니티 게임 프로그래밍 에센스,이제민 (지은이) , 한빛미디어 ,2022-02-01,43200,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  27    ,프셉마음 - 정형외과편,박기옥 (지은이) , 드림널스 ,2022-04-01,23200,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  28    ,Do it! 자료구조와 함께 배우는 알고리즘 입문 - 자바 편 : 전면개정판,"시바타 보요 (지은이), 강민 (옮긴이) ", 이지스퍼블리싱 (주) ,2022-05-01,15000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  29    ,C# 교과서,박용준 (지은이) , 길벗 ,2020-06-01,21000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  30    ,문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 ,2017-04-01,11610,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  31    ,파이썬 코딩의 기술(개정2판),"브렛 슬라킨 (지은이), 오현석 (옮긴이) ", 길벗 ,2020-11-01,25600,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  32    ,프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) ,2022-02-01,35000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  33    ,정보 보안 개론,양대일 (지은이) , 한빛아카데미(교재) ,2021-06-01,30000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  34    ,프셉마음 : 심혈관계편,안정언 (지은이) , 드림널스 ,2022-04-01,24000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  35    ,프셉마음 - 중환자간호 입문편,전호웅 (지은이) , 드림널스 ,2022-04-01,22400,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  36    ,운영체제,구현회 (지은이) , 한빛아카데미(교재) ,2020-11-01,27000,3.0,대학교재/전문서적,강의지원도서,2023-02-23
  37    ,사회불안장애,김은정 (지은이) , 학지사 ,2018-10-01,7600,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  38    ,프셉마음 : 신경과편,신사랑 (지은이) , 드림널스 ,2022-06-01,23200,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  39    ,프셉마음 - 의학용어편 Ⅰ: 외과계,드림널스 편집부 (지은이) , 드림널스 ,2022-04-01,17600,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  40    ,Do it! 게임 10개 만들며 배우는 파이썬,"벤 포터, 쉬무엘 포터 (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 ,2022-12-01,15000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  41    ,한국의 샤머니즘과 분석심리학,이부영 (지은이) , 한길사 ,2014-11-01,22500,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  42    ,수용전념치료(ACT) 은유(메타포) 모음집,"Jill A. Stoddard, Niloofar Afari (지은이), 손정락 (옮긴이), 스티븐 헤이즈 ", 시그마프레스 ,2016-03-01,12600,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  43    ,최신 수술실 매뉴얼,"윤혜상, 장영진, 서은주 (지은이) ", 포널스 ,2021-09-01,32000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  44    ,해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) ,2021-07-01,26000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  45    ,프로그래머를 위한 확률과 통계,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 ,2019-06-01,25600,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  46    ,예방의학과 공중보건학 세트 : 제4판,대한예방의학회 (지은이) , 계축문화사 ,2021-04-01,80000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  47    ,간호 알고리즘 Vol.1,"전호웅, 한동수 (지은이) ", 포널스 ,2022-06-01,28000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  48    ,임상신경정신약물학,"박원명, 김찬형 (지은이) ", 시그마프레스 ,2019-06-01,56000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  49    ,국제회의 통역사를 위한 노트테이킹 핵심기술,이상빈 (지은이) , 한국문화사 ,2021-08-01,14400,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  50    ,프셉마음 - 감염환자 간호편,"남소희, 허연정, 황정아 (지은이) ", 드림널스 ,2022-04-01,23200,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  51    ,지속가능 성장을 위한 인적자원관리,"권석균, 이병철, 양재완 (지은이) ", 시대가치 ,2021-12-01,30000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  52    ,비극의 탄생,"프리드리히 니체 (지은이), 박찬국 (옮긴이) ", 아카넷 ,2015-04-01,12600,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  53    ,파이썬으로 배우는 음성인식,"다카시마 료이치 (지은이), 정권우 (옮긴이) ", 비제이퍼블릭 ,2023-01-01,21600,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  54    ,간호 알고리즘 Vol.2,"전호웅, 한동수 (지은이) ", 포널스 ,2022-06-01,24000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  55    ,예술의 종말 이후,"아서 단토 (지은이), 김광우, 이성훈 (옮긴이) ", 미술문화 ,2015-05-01,15000,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  56    ,기초 회로이론,최윤식 (지은이) , 한빛아카데미(교재) ,2020-12-01,24000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  57    ,로봇공학,정슬 (지은이) , 청문각 ,2019-12-01,23000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  58    ,탄소 농업 (미래를 바꾸는),허북구 (지은이) , 중앙생활사 ,2022-08-01,12000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  59    ,겐지 모노가타리 1,"무라사키 시키부 (지은이), 이미숙 (옮긴이) ", 서울대학교출판문화원 ,2014-10-01,30000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  60    ,쉽게 배워 바로 써먹는 디자인 패턴,이호진 (지은이) , 한빛미디어 ,2020-10-01,25200,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  61    ,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 ,2023-01-01,17100,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  62    ,불교의 무아론,한자경 (지은이) , 이화여자대학교출판문화원 ,2022-03-01,17600,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  63    ,중용,"자사 (지은이), 김학주 (옮긴이) ", 서울대학교출판문화원 ,2015-10-01,14000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  64    ,캐릭터 디자인 수업,"황정혜, 석금주, 홍윤미 (지은이) ", 청문각 ,2022-08-01,19200,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  65    ,아동과 청소년의 심리치료,"Arthur E. Jongsma, Jr., David J. Berghuis, L. Mark Peterson, William P. McInnis (지은이), 김정휘, 홍종관, 허주연, 김은영 (옮긴이) ", 시그마프레스 ,2018-04-01,17500,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  66    ,위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) ,2022-12-01,29000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  67    ,에다,"최윤영 (지은이), 임한순, 김길웅 (옮긴이) ", 서울대학교출판부 ,2015-06-01,42000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  68    ,생활속의 응용윤리,박찬구 (지은이) , 세창출판사(세창미디어) ,2023-01-01,20000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  69    ,만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 ,2016-02-01,15750,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  70    ,청소년 및 성인을 위한 ADHD의 인지행동치료 (제2판),"Susan Young, Jessica Bramham (지은이), 최병휘, 곽욱환, 조철래, 김원, 임미정, 박준성, 김선욱, 김혜경 (옮긴이) ", 시그마프레스 ,2019-04-01,14000,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  71    ,군주론 (개정판),"니콜로 마키아벨리 (지은이), 강정인, 김경희 (옮긴이) ", 까치 ,2019-11-01,7000,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  72    ,수치심의 치유,존 브래드쇼 (지은이) , 도서출판 한국상담심리연구원 ,2021-06-01,11000,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  73    ,군중심리,"귀스타브 르 봉 (지은이), 강주헌 (옮긴이) ", 현대지성 ,2021-10-01,7900,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  74    ,무경계,"켄 윌버 (지은이), 김철수 (옮긴이) ", 정신세계사 ,2017-01-01,10500,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  75    ,암또의 임상노트 Volume.1,암또 (지은이) , 포널스 ,2019-11-01,17500,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  76    ,데이터베이스 개론,김연희 (지은이) , 한빛아카데미(교재) ,2022-01-01,29000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  77    ,소비의 사회,"장 보드리야르 (지은이), 이상률 (옮긴이) ", 문예출판사 ,2015-09-01,14400,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  78    ,아들러의 인간이해,"알프레드 아들러 (지은이), 홍혜경 (옮긴이) ", 을유문화사 ,2016-09-01,9000,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  79    ,경제학원론 (제2판),"데이빗 레입슨, 대런 애쓰모글루, 존 리스트 (지은이), 손광락, 박경로, 성한경, 권남훈, 김원중, 정태훈 (옮긴이) ", 시그마프레스 ,2019-09-01,26600,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  80    ,코딩 자율학습 HTML + CSS + 자바스크립트,김기수 (지은이) , 길벗 ,2022-04-01,18900,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  81    ,Do it! 알고리즘 코딩 테스트 - 파이썬 편,김종관 (지은이) , 이지스퍼블리싱 (주) ,2022-08-01,22000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  82    ,낯선 곳에서 나를 만나다,한국문화인류학회 (엮은이) , 일조각 ,2021-01-01,10000,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  83    ,누구나 자료 구조와 알고리즘(개정2판),"제이 웬그로우 (지은이), 심지현 (옮긴이) ", 길벗 ,2021-12-01,26400,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  84    ,프셉마음 - 응급실편,곽수진 (지은이) , 드림널스 ,2022-04-01,24000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  85    ,법의 정신,"샤를 드 몽테스키외 (지은이), 이재형 (옮긴이) ", 문예출판사 ,2015-06-01,7200,4.5,대학교재/전문서적,강의지원도서,2023-02-23
  86    ,소문난 명강의 김도형의 데이터 사이언스 스쿨 수학 편,김도형 (지은이) , 한빛미디어 ,2019-11-01,39600,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  87    ,심리검사의 이해,최정윤 (지은이) , 시그마프레스 ,2016-04-01,14000,4.0,대학교재/전문서적,강의지원도서,2023-02-23
  88    ,MySQL로 배우는 데이터베이스 개론과 실습,"박우창, 남송휘, 이현룡 (지은이) ", 한빛아카데미(교재) ,2020-12-01,27000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  89    ,윤상훈·권병조의 알짜 근육학,"윤상훈, 권병조 (지은이) ", 군자출판사 ,2021-05-01,18000,0.0,대학교재/전문서적,강의지원도서,2023-02-23
  90    ,"논문, 쓰다",김용찬 (지은이) , 컬처룩 ,2020-11-01,11200,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  91    ,암또의 임상노트 Volume.2,암또 (지은이) , 포널스 ,2021-04-01,28000,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  92    ,양극성 장애,"조용래, 김빛나 (지은이) ", 학지사 ,2018-10-01,7600,5.0,대학교재/전문서적,강의지원도서,2023-02-23
  93    ,직업으로서의 학문,"막스 베버 (지은이), 이상률 (옮긴이) ", 문예출판사 ,2017-04-01,4200,4.5,대학교재/전문서적,강의지원도서,2023-02-23
